"","","","","","","","","","","","","","","","","",""
"TABLE 1","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","HYDROGRAPH","NETWORK","","STATIONS","OF","GUJARAT","AND","UT OF","DAMAN","&","DIU MAY","2016","",""
"WATER
District","DATA OF
Location","pH","EC","TDS","CO3","HCO3","CI","NO3","SO4","F","Alk","Ca","Mg","TH","Na","K",""
"","","","uS/cm","mg/L","","","","","","","","","","TH","Na","K",""
"District","Location","pH","EC","TDS","CO3","HCO3","CI","NO3","SO4","F","Alk","Ca","Mg","","863","2.0",""
"Kacchh","Bambhedai","","8320 7.83","5034","","0","293 1985","","43 687","","0.77","240","280 240","24","700","605","3.3"
"Kacchh","Ughedi","","7.77 7514","2616","","0","415 1134","","15 38","","1.20","340","92","10","270","360.0 341",""
"Kacchh","vadala","","7.83 3905","1340","","0","488","447","12 347","","0.70","400","92","26","440","210","9.2"
"Kachchh","Bhadia mota","","8.08 2000 1762","1181","","0","329","425","6 10","","1.80","270","88","7","250","66","9.0"
"Kachchh","Bhadreshwar","","8.09","743 498","","0","281","106","6 5","","0.48","230","180","144","1050","472","13.0"
"Kachchh","Bhuj1","","8.2","2616","","0","366","1170","2 96","","1.35","120","52","62","390","174","16,7"
"Kachchh","Chandranagar","","8.06","992","","0","146","291","8 217","","0.05","270","112","77","600","190","36.0"
"Kachchh","Deshalpur rapar","","8.20","1341","","0","329","390","44 140","","1.80","","","","","",""
"Kachchh","Devisar","","8.26","2002","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"TABLE 4","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","439","177","8","23","1.00","360","72","17","250","182","1.8",""
"Kachchh","Dunai","8.07","1239","830","0","439
134","78","29","60","0.47","210","72","5","200","58","11.9",""
"Kachchh","Gandhidham1","9.16","792","531
872","60
0","305","262","8","69","1.20","250","64","53","380","150","9.1",""
"Kachchh","Haboi","8.13","1301","872","0","268","71","11","221","0.58","220","76","24","290","24","6.1",""
"Kachchh","Kanmer","8.04","661","443","60","403","78","14","54","1.40","430","20","7","80","245","2.4",""
"Kachchh","Karagoga","8.45","1160","777
953","192","73","184","15","77","2.80","380","28","5","90","300","4.3",""
"Kachchh","Kotadi","8.42","1422","","0","512","213","22","25","1.80","420","52","14","190","268","1.3",""
"Kachchh","Kotaya","8.28","1371","919","0","","886","2","30","0.80","260","140","108","800","350","6.6",""
"Kachchh","Kotda jadvapur","8.12","3012","2018","0","317","","15","28","0.35","410","120","12","350","676","24.5",""
"Kachchh","Kothara","8.09","3750","2513","0","500
537","957
156","26","10","0.88","440","104","43","440","118","16.5",""
"Kachchh","Kuda","8.12","1380","925","0","537
281","745","4","291","0.34","230","220","72","850","276","5.5",""
"Kachchh","LAKHPAT","7.26","2678","1794
4597","0
0","281
256","1666","72","741","0.90","210","56","120","1900","700","13.6",""
"Kachchh","Lilpur","7.78","6861","","0","293","603","29","146","1.35","240","220","24","650","290","15.6",""
"Kachchh","Lodai","8.05","2340","1568","0","476","291","14","404","0.28","390","80","10","240","280","6.3",""
"Kachchh","Mota Asambia","8.20","1630","1092","0","366","1099","24","70","0.13","300","240","48","800","496","59.0",""
"Kachchh","Moti cher","7.91
8.08","4000
1534","2680
1028","0","451","241","56","374","1.20","370","60","26","260","240","5.4",""
"Kachchh","Mou-moti","8.08","","","96","500","425","30","213","1.10","570","100","24","350","495","4.0",""
"Kachchh","Naliya1","8.47","2665","1786","96","","957","74","663","0.97","250","300","120","1250","400","38.0",""
"Kachchh","Rapar2","7.94","4207","2819","0
0","305
464","213","10","87","0.20","380","100","55","480","140","12.4",""
"Kachchh","Rathanpurkhadin","8.44","1443","967","0
0","488","1170","84","49","1.90","400","160","108","850","619","11.2",""
"Kachchh","Samkhiari","7.96","4385","2938","0","244","113","0","52","0.08","200","56","43","320","44","3.0",""
"Kachchh","Sedat","8.19","742","497","0
0","268","957","2","9","0.70","220","160","24","500","494","8.4",""
"Kachchh","Shinaya","8.09","3092","2072","","244","1773","8","818","0.90","200","100","384","1850","710","22.4",""
"Kachchh","Sirani Vandh","7.98","6640","4449","0","964","1099","56","127","2.10","790","140","36","500","940","8.6",""
"Kachchh","Tera","8.29","5000","3350","0","415","674","3","12","1.30","340","140","24","450","390","9.9",""
"Kachchh","Vinjhan1","8.08","2565","1719","","464","503","140","163","0.97","380","132","91","710","310","11.0",""
"Kheda","Alina","7.92","2611","1749","0","464","121","20","30","0.60","190","64","31","290","56","2.1",""
"Kheda","Balasinor1","8.13","793","531","0","232","121
43","4","10","0.84","220","56","17","210","40","4.0",""
"Kheda","Bar","8.20","580","389","0
0","268
512","106","30","113","0.60","420","44","72","410","140","17.0",""
"Kheda","Bariyavi","8.28","1260","844","0
0","939","170","21","28","1.04","770","88","55","450","281","19.2",""
"Kheda","Dakor","8.29","2080","1394","0","1025","815","30","217","0.77","840","300","132","1300","440","33.0",""
"Kheda","Juna vasadra","8.27","4370","2928","0","","57","11","105","1.28","490","44","53","330","167","0.7",""
"Kheda","Kalesar","8.55","1167","782","96","403
573","461","43","15","3.20","470","80","96","600","270","15.0",""
"Kheda","Ladvel","8.24","2287","1532","0","659","425","75","5","0.96","540","220","24","650","260","52.0",""
"Kheda","Mahudha","8.29","2486","1666","0","","2836","2","551","0.70","280","400","312","2300","1200","17.4",""
"Kheda","Muliyad","7.68","9879","6619","0
0","342
622","2836
92","1","78","0.80","510","52","127","660","30","0,5",""
"Kheda","Nadiad2","8.29","1300","871","","","993","10","172","0.18","620","100","120","750","500","300.0",""
"Kheda","Shekhupura","8.27","4253","2850","0","756
268","28","60","3","0.07","220","64","14","220","42","40.0",""
"Mahesana","Asjol","7.87","642","430","0","415","418","45","7","0.70","340","36","43","270","328","2.0",""
"Mahesana","Bhandupara","7.03","1940","1300","0
0","598","291","20","27","0.80","490","160","36","550","185","0.7",""
"Mahesana","Budasan","8.25","1816","1217","0","671","163","8","19","1.08","550","52","50","340","217","3.9",""
"Mahesana","Dharpura","8.06","1630","1092","","","773","9","21","0.15","260","46","109","570","379","10.0",""
"Mahesana","Dosaj","8.28","1760","1179","0","317
537","149","35","25","1.50","440","36","48","290","194","40,0",""
"Mahesana","Kheralui","8.29","1435","961","0","915","681","2","363","0.00","750","120","276","1450","300","9.4",""
"Mahesana","Maguna","8.00","4260","2854","0","476","744","50","116","0.20","390","140","120","850","352","20.0",""
"Mahesana","Panchot","7.96","3012","2018","0","586","64","14","30","0.50","480","48","31","250","146","44.0",""
"Mahesana","Rampura1","7.91","1200","804","","220","92","8","16","0.70","260","48","26","230","86","27.0",""
"Mahesana","Sihi","8.42","860","576","48","244","71","12","20","0.02","200","48","26","230","38","20.0",""
"Mahesana","Tarabh","8.02","700","469","","573","106","50","6","1.08","470","144","31","490","83","5.1",""
"Mahesana","Timba","8.09","1200","804","","1403","2021","34","178","0.88","1150","140","300","1600","1220","160.0",""
"Mahesana","Unad","8.29","9000","6030","","952","780","175","25","0.64","780","160","120","900","535","75.0",""
"Mahesana","Unawa","7.98","4090","2740","","0 549","638","14","213","1.27","450","100","120","750","390","77,0",""
"Mahesana","Unjha","8.11","3160","2117","","647","532","42","133","0.01","530","140","156","1000","213","12.9",""
"Mahesana","Vidaj","8.06","2902","1944","","354","21","","24","0.50","290","72","15","240","51","0.5",""
"Narmada","Amiyar","7.99","515","345","","281","21","","6 34","0.35","230","72","","7 210","42","0.6",""
"Narmada","Besana","8.09","395","265","","","35","25","38","0.40","240","88","10","260","42","0.7",""
"Narmada","Devji Faliya","8.02","534","358","","305","64","11","12","0.60","250","68","15","230","62","0.2",""
"Narmada","Jankh","8.07","544","364","","464","78","12","112","0.30","380","104","24","360","119","5.9",""
"Narmada","Kanbi pitha","7.86","808","541","","192","78","11","17","0.35","157","68","24","270","12","2.8",""
"Narmada","Khadiapada","7.73","591","396","","0","","","4 0","0.65","400","64","29","280","104","0.6",""
"Narmada","Khota amba","7.69","621","416","","0 488
268","21","","9 34","0.35","220","48","19","200","43","0.1",""
"Narmada","Moti Singlot","8.10","357","239","","232","57","","3 2","0.60","190","36","22","180","45","0.2",""
"Narmada","Ralda","7.95","408","273","","0
0 476","319","10","20","0.35","390","120","44","480","182","4.4",""
"Narmada","Rasela","7.77","1943","1302","","0 293","78","","4 18","0.55","240","","52 27","240","62","0.4",""
"Narmada","Ringani","7.76","483","324","","","57","140","25","0.65","290","","72 32","310","93","0.3",""
"Narmada","Selemba","7.85","741","496","","0","64","","3 16","0,35","230","","60 24","250","","0,8",""
"Narmada","Sunderpura","7.84","540","362","","0
0 256","92","","22","0.35","210","","56 17","210","","0.3",""
"Narmada","Umaran","7.94","496","332","","464","781","","2 47","0.23","380","","88 112","680","399","18.0",""
"Navsari","Abrama","7.91","3091","2071","","0","","","9 42","0,60","260","","72 32","310","","57 2.0","2.0"
"Navsari","Chandav","7.84","886","594","","0","554","85","2 210","0.22","700","","48","63 380","289","556.0",""
"Navsari","Chinam","8.28","3020","2023","","0
0","163","","44 10","0.00","400","","40","280","145","66.1",""
"Navsari","Dandi","7.89","1337
474","896
318","","0 183","","36","0 44","0.35","150","","52","17 200","","22","0.6"
"Navsari","Doldha(New)","","","629","","0 427","","78","5 40","1.18","350","","56","41 310","","92",""
"Navsari","Duvada","7.93","939","629","","0","135","","44 6","0,77","300","","48","32 250","132","","6.9"
"Navsari","Eru","8.20","988","662","","0","121","","46 0","0.22","400","156","156","22 480","","60 13.2",""
"Navsari","Hond","7.39","1262","846","","0","","71","9 60","0.30","250","","96","32 370","","24","2.7"
"Navsari","Kaliyari","7.72","853","572","","0","","64","9 15","0.22","240","","68","24 270","","39","0.3"
"Navsari","Khergam","7.79","735","492","","0","","35","2 20","0.77","230","","56","19 220","","39","0.3"
"Navsari","Manavkhadak","7.86","602","403","","0","","43","23 4","0.72","300","","52","36 280","280","51","1.3"
"Navsari","Moti Valzar","7.52","716","480","","0","2059","","23 47","0.35","260","","260 219","1550","791","","9.9"
"Navsari","Navsari1","7.70","6349","4254","","0
0","199","","2 3","0.36","290","290","84","29 330","330","115","5.8"
"","","7.98","1157","775","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"TABLE 5","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","305","107","10","26","0.23","250","84","41","380","27","",""
"Navsari","Panikhadak","7,74","851","570","0
0","549","57","8","5","2.40","450","12","29","150","180","5.5",""
"Navsari","Parajan","8.28","1055","707","0","195","35","2","7","0.53","160","40","17","170","23","0.2",""
"Navsari","Ramla","7.92","443","297","0
0","378","653","0","27","0.07","310","108","124","780","226","33.5",""
"Navsari","Sari khurd","7.86","2635","1765","","427","121","18","20","1.19","350","64","22","250","130","26.2",""
"Navsari","Ubhrat","7.65","1088","729","0","305","71","38","63","0.94","250","92","22","320","60","1.5",""
"Panchmahals","Chhabanpur","7.73","831","557
1683","0
132","305
73","567","45","173","5.20","280","120","36","450","400","2.3",""
"Panchmahals","Dhanol nani","8.42","2512","1683","0","281","113","23","31","0.98","230","92","24","330","53","4.2",""
"Panchmahals","Gadhar","7.72","873","585","0","317","64","32","13","3.20","260","84","19","290","50","5.4",""
"","","8.28","710","476","0","317","","","","","","","43","290","78","2.5",""
"Panchmahals","Godhara (College","","","","0","378","71","27","23","0.93","310","44","","","","",""
"Panchmahals","Godhara Jilla Sev","7.96","843","565","0","329","142","28","48","1.18","270","44","50","320","105","1.7",""
"Panchmahals","Godhra(Mandir)","8.07","1028","689","36","134","21","3","15","0.40","170","48","14","180","18","2.1",""
"Panchmahals","Godhra(Sch","8.71","392","263","36","281","50","43","79","1.12","230","36","43","270","70","1.0",""
"Panchmahals","Jambughora","8.26","800","536","0
0","537","156","5","8","1.23","440","96","38","400","128","7.7",""
"Panchmahals","Jokha","8.14","1338","896","0
0","64","163","80","484","1.00","52","32","77","400","210","0.8",""
"Panchmahals","Kalol urban 1","8.16","1957","1311","0
0","683","78","5","26","2.20","560","44","60","360","160","1.9",""
"","Khadki","8.21","1352","906","","","","","","0.65","230","72","29","300","48","0.9",""
"Panchmahals","","","","","","281","71","31","44","","","","","","","",""
"Panchmahals","Khanpur","7.80","782","524","0
0","317","92","10","39","0.99","260","80","7","230","98","1.9",""
"Panchmahals","Kotha","7.80","806","540
1206","0","305","340","64","85","0.65","250","124","58","530","160","4.8",""
"Panchmahals","Kothamba","7.71","1800","1206","0","390","71","7","59","1.05","320","68","43","350","65","1.9",""
"Panchmahals","Limbadia peti","7.90","974","653
1199","0","513","319","45","4","0.20","420","208","31","650","123","20.3
2.0",""
"Panchmahals","Lunawada","8.03","1790","1199","0","256","50","7","71","0.98","210","76","19","270","43","2.0",""
"Panchmahals","Malekpur1","8.00","668","448","0","207","113","28","22","1.40","170","92","5","250","60","2.3",""
"Panchmahals","Natapur","7.93","686","460","0","464","461","100","220","1.50","380","320","36","950","185","6.3",""
"Panchmahals","Ranipura","7.79","2650","1776","0","305","135","11","74","0.34","250","92","24","330","92","1.3",""
"Panchmahals","Santrampur1","7.70","970","650
1237","0","793","170","26","4","0.81","650","52","38","290","290","79.0",""
"Panchmahals","Shehra","8.10","1846","1237
3283","0","171","1347","110","379","0.94","140","300","312","2050","230","10.1
14.0",""
"Panchmahals","Silwad","8.03","4900","708","0","390","99","40","44","0.98","320","108","31","400","65","14.0",""
"Panchmahals","Suliyat","7.97","1056","708","0","366","43","5","18","0.70","300","44","19","190","90","14.1",""
"Panchmahals","Tuwa","8.14","740","496
1400","0","586","362","21","27","1.20","480","44","86","470","265","12.5
30.0",""
"Panchmahals","Vejalpur","7.72","2090","1400","0","464","71","5","10","0.47","380","80","22","290","79","30.0",""
"","Dharmoda","8.27","985","660","","","","","","0.20","370","52","38","290","176","37.0",""
"Patan","","","","","0","451","220","2","30","0.20","","","","","","",""
"Patan","Dhinoj","7.52","1392","933","0
0","293","3474","17","880","0.48","240","360","552","3200","1350","26.6",""
"Patan","Moti chander","7.94","11450","7672","0","1159","461","34","21","2.80","950","48","139","700","423","86.5",""
"Patan","Patan2","8.00","3260","2184","36","634","1276","190","531","5,60","580","220","96","950","1000","0.9",""
"Patan","Piprala","8.43","6040","4047","","744","780","11","128","1.40","610","120","48","500","630","36.0",""
"Patan","Radhanpur2","8.22","3548","2377","0","256","85","4","20","0.43","210","56","26","250","40","7.5",""
"Patan","Sander","8.05","675","452","","610","3368","20","381","4.00","700","200","240","1500","2040","10.6",""
"Patan","Santhalpur","8.57","10895","7300","120","427","71","5","5","1.35","350","44","27","210","117","8.5",""
"Patan","Shankhari","8.18","886","427","0","720","156","150","35","1.28","590","128","92","700","126","11.2",""
"Porbandar","Adwana1","8.15","1879","1259","","207","1349","78","69","0.15","170","248","112","1080","530","35.9",""
"Porbandar","Balej","7.57","4520","3028","","232","1590","76","82","0.31","190","368","141","1500","510","7.4",""
"Porbandar","Bhavpura","7.55","5145","3447","","281","1136","3","146","0.12","230","144","126","880","519","4.9",""
"Porbandar","Kadegi","7.94","4075","2730","","146","28","","3 6","0.35","120","28","19","150","9","1.9",""
"Porbandar","Khambodar","8.28","326","218","","342","1491","27","87","0.58","280","104","95","700","839","64.1",""
"Porbandar","Kuchhadi","7.95","5194","3480","","0 390","1335","120","155","1.20","320","240","136","1160","611","45.3",""
"Porbandar","Kutiyana1","7.78","5027","3368","","0 390","809","75","20","0.20","320","224","39","720","385","42.3",""
"Porbandar","Miyani","7.54","3097","2075","","0 183","163","24","10","0.01","150","72","22","270","58","20.6",""
"Porbandar","Navibandar","8.05","770","516","","0 415","2485","19","329","1.35","340","200","207","1350","1335","35.7",""
"Porbandar","Oddar","7.92","7584","5081","","0 232","838","185","31","0.30","190","224","63","820","345","20.1",""
"Porbandar","Palkhada","7.82","3182","2132","","0 476","781","60","55","0.00","390","120","58","540","493","18.4",""
"Porbandar","Pata","8.03","3201","2145","","0","440","10","25","0.57","240","48","39","280","271","31.2",""
"Porbandar","Porbandart","8.28","1768","1185","","0 207","163","37","28","0.66","170","68","32","250","98","2.0",""
"Porbandar","Ranavav","7.78","867","581","","0 281","85","26","29","0.95","230","","36 24","190","99","1.9",""
"Porbander","Adityana","7.94","681","456","","0","405","74","39","0.60","300","100","56","480","230","9.3",""
"Porbander","Bakharla","8.12","1889","1266","","0","1306","","74 87","1.00","190","240","226","1120","501","3.9",""
"Porbander","Kandorna","7.50","4360","2921","","60 464","206","","27 16","2.14","480","","32","12 130","317","1.6",""
"Porbander","Kolikheda","8.29","1458","977","","0","966","","11 56","0.01","140","232","","83 920","307","23.4",""
"Porbander","Mochchha","7.62","3017","2021
4508","","0 256","2237","","72 209","0.46","210","460","292","2350","613","","1.6"
"Porbander","Mojieana","7.72","6729","4508
2888","","0","1065","","49 226","1.10","360","","80","83 540","745","","7.2"
"Porbander","Ratadi","7.97","4310","2888","","0","3905","","1 271","0.70","300","220","292","1750","2030","41.2",""
"Porbander","Ratanpur","7.76","10790","7229","","0
0","682","","78 40","0.76","240","128","128","68 600","246","148.2",""
"Porbander","Ratia","7.71","2649","1775
198","","24","73","14","2 34","0.35","100","","32","15 140","","8","1.9"
"Porbander","Simar","8.61","296","198","","24","135","135","22 8","0.17","170","","36","24","","68 41.3",""
"Porbander","Tukra gosa","8.39","694","465
3499","","0","195 1562","","41 143","1.28","160","","107","1040","707","47.5","3.5"
"Porbander","Visavada","7.81","5223","","","0","4864","","25 25","4.20","390","","360 681","3700","1700","",""
"Rajkot","Amar nagar","7.87","14250","9548","","0","281","895","150 286","0.75","230","","176 102","102","860 492","","2.3"
"Rajkot","Chhatar","8.04","3869","2592","","0","49","937","66 220","0.35","","40","296 111","1195","","215","3.2"
"Rajkot","Chordi","7.67","3360","2251
708","","0","293","192","10 20","0.33","240","","92","2","240","140","2.8"
"Rajkot","Dadia","8.07","1057","708
3568","","0","195 1477","","280 169","0.35","0.35","160","448","29 2140","","245","0.8 2.1"
"Rajkot","Ganod","7.62","5326","3568","","24","134","43","2 30","0,28","0.28","150","36","34","230","7",""
"Rajkot","Gavridad","8.42","","200","","0","378","241","180 156","","0.37","310","140","44","530","199","4.0"
"Rajkot","Hadmatia","8.05","1904","1276","","0","488","213","184 95","","0.60","400","68","141","750","103","3.0"
"Rajkot","Halenda","","8.24 1675","1122","","0","207","43","2 15","","0.30","170","52","15","190","27","3.2"
"Rajkot","Jamwali","","8.16","437 293","","0","122","497","250 7","","0.28","100","208","32","650","170","5.0"
"Rajkot","Jasapur","","7.80","1337","","0","146","596","27 161","","0,32","120","224","19","640","240","1.0"
"Rajkot","Jasdan2","","7.86 2320","1554","","0","73","2592","9 158","","0.29","60","1160","12 2950","","453","2.5"
"Rajkot","Jetpur pithad.","","7.50 7791","5220","","0","122","1377","135 248","","0.40","100","376","122","1490","435","2.7"
"Rajkot","Kamlapur","","7.68","3202","","0","268","64","61 77","","0.40","220","40","24","100","157","0.8"
"Rajkot","khamta","","8.09","881 590","","0","207","391","13 89","","0.25","170","144","5","380","208","3.1"
"Rajkot","Khirsara-1","","7.92","1102
1020","","0","37","412","68 81","","0.10","30","140","0","350","188","3.4"
"Rajkot","Kolithad 1","","8.09","1522","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"TABLE 6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","36","13","17","0.50","270","76","0","190","74","",""
"Rajkot","Lalavadar","8.25","696","466","0","329","36
305","11","42","0.42","190","108","15","330","161","7.2",""
"Rajkot","Macchukunda","8.22","1360","911","0
0","232
293","128","7","5","0.47","240","64","15","230","87","17.3",""
"Rajkot","Malia","8.14","846","567","0","220","1392","42","592","0.55","180","272","146","1280","709","12.7",""
"Rajkot","Modpar-1","7.66","5564","3728","0
0","500","369","25","157","1.70","410","104","44","440","315","3.3",""
"Rajkot","Morvi","8.03","2251","1508","0","103","121","75","80","0.49","84","76","15","250","70","1.6",""
"Rajkot","Mota dadwa","8.02","826","553","0","500","937","6","254","1.48","410","88","39","380","755","3.4",""
"Rajkot","Mota dhansura","8.09","4106","2751","0","500","50","8","8","0,95","250","40","12","160","82","1.9",""
"Rajkot","Motagundala","8.28","628","421","0","305","50
881","110","216","0.35","150","264","102","1080","296","207.0",""
"Rajkot","Movaiya","8.10","3423","2293","0","183
146","51","7","14","0.28","120","48","5","140","34","1.9",""
"Rajkot","Neknam","8.21","371","249","0
0","427","334","35","15","1.40","350","40","29","220","301","1.6",""
"Rajkot","Nichi mandal","8.04","1730","1159","","329","1235","66","581","0.65","270","188","73","1020","770","1.9",""
"Rajkot","Padadhari","8.01","5319","3564","0","134","1434","180","197","0.32","110","432","210","1940","262","0.6",""
"Rajkot","Patanvav","7.58","4987","3341","0","305","170","19","80","0.26","250","128","17","390","93","7.7",""
"Rajkot","Rajkot1","8.44","1181","791","0
0","134","483","36","160","0.20","110","208","7","550","205","1.2",""
"Rajkot","Ribda","8.22","1990","1333","","506","213","7","10","0.35","595","64","19","240","273","65.3",""
"Rajkot","Sardhar2","8.48","1733","1161","108
0","122","64","3","6","0.26","100","48","5","140","28","2.0",""
"Rajkot","Sarvad","8.28","315","211","0","281","540","135","46","0.60","230","208","63","780","175","1.9",""
"Rajkot","Sayapar","7.90","2323","1556","0
0","415","497","72","97","0.46","340","64","24","260","437","0.5",""
"Rajkot","Sindhavadar","8.28","2374","1591","0","342","327","70","76","0.20","280","140","63","610","126","0.4",""
"Rajkot","Targhari","8.21","1763","1181","0","134","369","120","14","0.17","110","164","24","510","110","1.2",""
"Rajkot","Umarali","7.75","1509","1011","0","61","1505","130","286","0,25","50","672","0","1680","425","3.9",""
"Rajkot","Upleta1","7.68","5215","3494","0","451","710","40","108","1.25","370","88","39","380","530","2.0",""
"Rajkot","Vinchhia","8.07","3077","2062","0","610","625","65","23","0,94","500","80","0","200","585","1.6",""
"Rajkot","Viranagar","8.17","2923","1958","0","317","440","136","50","0.40","260","128","54","540","235","18.1",""
"Rajkot","Virpur-1","8.01","2209","1480","84","305","185","25","24","0.42","390","80","46","390","143","9.2",""
"Rajkot","Wankaner","8.40","1296","868","84
0","476","92","30","35","0.68","390","84","41","380","94","2.5",""
"Sabarkantha","Alwakampa","7.90","1093","732","0
0","195","120","30","46","0.26","160","84","22","300","48","4.5",""
"Sabarkantha","Atarsumba","8.21","827","554","0
84","171","425","64","6","1.70","280","44","58","350","276","5.1",""
"Sabarkantha","Bhadreshwar1","8.81","2038","1365","84","512","567","90","1","0.60","420","340","12","900","270","1.4",""
"Sabarkantha","Boral","7.88","2822","1891","0","122","674","95","283","0,34","100","340","36","1000","200","0.9",""
"Sabarkantha","Boriya","7.18","2773","1858","0","122","432","86","18","0.87","100","84","60","460","160","4.7",""
"Sabarkantha","Chandav","8.28","1774","1189","0","110","383","210","83","0.80","90","212","53","750","67","2.1",""
"Sabarkantha","Choriwad","8.07","1800","1206","0","573","149","29","16","0,65","470","128","60","570","71","1.8",""
"Sabarkantha","Dhansura1","8.01","1376","922","0
0","159","248","175","107","0.90","130","72","74","490","115","1.7",""
"Sabarkantha","Gadada","8.28","1410","945","48","122","603","120","247","1.70","180","160","60","650","345","1.7",""
"Sabarkantha","Gadha1","8,53","2703","1811","132","195","92","74","54","1.65","380","92","2","240","180","1.7",""
"Sabarkantha","Harsolt","8.85","1192","799","0","659","277","13","34","3.00","540","96","36","390","276","6.6",""
"Sabarkantha","Idar","8.26","1870","1253","0","256","64","22","28","0.86","210","76","7","220","60","0.8",""
"Sabarkantha","Karanpur","7.82","625","419","0","110","220","140","61","0.55","90","116","38","450","61","4.6",""
"Sabarkantha","Kesharpur","8.15","1179","790","132","170","99","48","63","3.00","359","76","2","200","190","0.6",""
"Sabarkantha","Kesharpur Idar","8.94","1183","793","132","","886","140","243","0.94","70","400","96","1400","140","2.1",""
"Sabarkantha","Khedbramha","7.87","3253","2180","0","85
281","142","85","24","0.86","230","100","22","340","87","0.6",""
"Sabarkantha","Malpur","7.79","1024","686","0 0","159","199","105","6","0.30","130","60","12","200","141","32.0",""
"Sabarkantha","Mathasliya","8.29","1073","719","0","97","503","140","69","0.22","80","128","94","710","126","23.0",""
"Sabarkantha","Matoda","8.19","2100","1407","0","256","113","41","71","0.80","210","68","24","270","97","1.9",""
"Sabarkantha","Medasana","8.14","856","574
702","0","146","149","90","137","0.46","120","116","17","360","87","0.8",""
"Sabarkantha","Modasa2","7.96","1048","702","96","207","234","22","32","0.93","330","80","53","420","137","7.0",""
"Sabarkantha","Poshina2","8.56","1440","965","48","24","78","44","48","0.40","100","56","10","180","54","0.3",""
"Sabarkantha","Punasan","8.49","585","392","84","159","886","18","16","0,90","270","200","48","700","400","21.0",""
"Sabarkantha","Ramgarh","8.60","3183","2133","60","12","510","26","97","0.71","110","40","50","310","300","11.1",""
"Sabarkantha","Ratanpur2","8.56","2000","1340","","268","241","170","92","0.99","220","160","43","580","101","2.6",""
"Sabarkantha","Revas","7.56","1600","1072","","134","85","38","60","2.96","230","104","14","320","61","3.4",""
"Sabarkantha","Sabalwad","8.68","880","590","72","232","64","","5 25","0.58","190","64","14","220","43","1.7",""
"Sabarkantha","Sathamba","8.1","606","406","","0 171","326","100","142","0.61","140","136","46","530","141","3.6",""
"Sabarkantha","Seenawad","7.79","1641","1099","","171","42","16","10","0.34","200","72","12","230","25","4.3",""
"Sabarkantha","Shamlaji","8.48","515","345","36 36","134","432","66","23","0,60","170","44","62","370","228","1.7",""
"Sabarkantha","Takatuka","8.57","1700","1139","60","232","206","48","29","1.60","290","14","38","260","183","0.9",""
"Sabarkantha","Umedpur","8.64","1303","873","","171","50","","3 40","0.18","140","76","","2 200","26","4.8",""
"Sabarkantha","Vijaynagar1","8.28","460","308","","159","35","35","11","0.67","130","52","","2 170","24","0.4",""
"Sabarkantha","Virpur2","8.28","395","265","","0","191","145","18","1.20","170","88","24","320","120","4.3",""
"Sabarkantha","Wadali","8.23","1196","801","","0 488","107","24","-17","0.20","400","44","54","340","99","23.4",""
"Surat","","0 8.25","1155","774","","0 586","1775","40","324","0.30","480","240","61","850","1167","6.2",""
"Surat","Anita","8.12","6003","4022","","0 366","99","37","37 10","0.62","300","","88","310","48","63.1",""
"Surat","Arda-boratha","7.57","960","643","","0 256","","28","24 12","0.77","210","","24","36 210","34","0.7",""
"Surat","Bagumda","8.00","583","391","","0","206","","18 33","0.66","380","","72","80 510","99","0.2",""
"Surat","Bedchiet","7.83","1436","962","","0 366","","78","0 15","1.33","300","","44","34 250","83","1.5",""
"Surat","Bhatkol","8.17","850","570","","0","114","","7 12","0.38","370","","64","29 280","125","7.1",""
"Surat","Bhurvel (ukai)","7.88","1082","725","","0
0","","28","4 4","0,47","180","","40","22 190","18","18","1.0"
"Surat","Chavada","7.85","450","302","","0","","36","29 17","0.9","420","","12","44 210","140","","0.8"
"Surat","Digas","8.22","1024","686","","0","199","","13 45","1.31","520","108","","68 550","145","","4.0"
"Surat","Dungri","8.22","1670","1119","","0","","21","2 14","0.32","320","","36","34 230","","63","0.8"
"Surat","Jesingpura[sg]","7.88","723","484","","0","270","","46 4","0.32","130","120","","10 340","105","","1.4"
"Surat","Juna umarpada","7.68","1195","801","","0
0","","71","20 33","0.20","340","104","","24 360","","61","1.8"
"Surat","Kadod-1","7.91","976","654","","0","","11","0 34","0.37","160","","52","15 190","","10","0.5"
"Surat","Kalkui","8.21","413","277","","207","","28","0 16","0.20","170","","56","12 190","","17","1.9"
"Surat","Karanjvel","8.14","393","263","","0","","135","14 36","0.55","450","","16","83 380","144","","0.8"
"Surat","Kathor","7.78","1379","924","","0
0","","78","3 10","0.47","200","","68","22 260","","30","0.7"
