"","","","","","","","","","","","","","","","","",""
"TABLE 1","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","HYDROGRAPH","NETWORK","","STATIONS","OF","GUJARAT","AND","UT OF","DAMAN","&","DIU MAY","2016","",""
"WATER
District","DATA OF
Location","pH","EC","TDS","CO3","HCO3","CI","NO3","SO4","F","Alk","Ca","Mg","TH","Na","K",""
"","","","uS/cm","mg/L","","","","","","","","","","TH","Na","K",""
"District","Location","pH","EC","TDS","CO3","HCO3","CI","NO3","SO4","F","Alk","Ca","Mg","","863","2.0",""
"Banaskantha","Bharol","8.4","526","352","48","110","43 106","15","25","0.37","180","56","24","240","60","13.5",""
"Banaskantha","Dantiwada 1","7.91","710","476","","220","149","12","8","2.20","280","52","41","300","100","18.4",""
"Banaskantha","Ganapipli","7.58","1000","670","","342","362","90","67","1.05","350","96","58","480","245","3.0",""
"Banaskantha","Gangodra","8.29","1958","1312
545","","0 317","64","45","21","0.26","260","52","48","330","37","1.0",""
"Banaskantha","Iqbalgarh","8.26","","","","","206","11","80","1.50","440","52","31","260","224","73.0",""
"Banaskantha","Khoda","8.23","1518","1017","84","451","170","39","117","2.20","510","36","72","390","240","1.7",""
"Banaskantha","Kidotar","8.44","1700","1139","","","191","22","15","0.24","490","128","38","480","146","0.8",""
"Banaskantha","Meda","8.27","1600","1072","","598","284","29","50","1.25","160","116","36","440","94","3.1",""
"Banaskantha","Mohabbat gadh","8.28","1210","811","","415","957","86","75","0.75","340","160","180","1150","325","3.6",""
"Banaskantha","Palanpur2","8.11","3600","2412","","146","184","39","113","0.20","120","100","31","380","70","6.2",""
"Banaskantha","Ratanpur2","8.29","900","603","","0
0","142","50","200","1.38","360","80","72","500","145","5.4",""
"Banaskantha","Sodapur","7.78","1531","1026","","","710","","3 80","0.25","460","100","183","1000","258","1.5",""
"Bharuch","Bharuch","8.01","2734","1832","","0","","","3 33","4.05","720","12","17","100","330","0.6",""
"Bharuch","Bhensli","8.62","1277","856","132","610","35 106","38","20","0.15","380","60","36","300","130","54.9",""
"Bharuch","Chidra","8.35","1041","697","36","0","57","39","46","0.70","350","68","32","300","98","0.4",""
"Bharuch","Chiklota","7.98","745","499","","0","","","7 19","0.00","470","92","92 51","440","95","35.7",""
"Bharuch","Dahegam","7.89","1050","704","","0 573
0","106 71","10","36","0.95","430","40","40 51","310","124","1.0",""
"Bharuch","Jokhala","8.29","920
1049","616
703","","0 586","99","34","20","0.50","480","","80 27","310","166","18.7",""
"Bharuch
Bharuch","Kalak
Kaswa","8.32","953","639","","0 500","99","","4 40","0.25","410","","40 34","240
250","164
154","12.0
376.0",""
"Bharuch","Kavi","8.48","2343","1570","84","84 238","177","46","-39","0.30","335 450","","56 43","330","186","402.0",""
"Bharuch","Kondh","8.10","1363","913","","0 549","170","39 64","6
9 9","0.15","240","","56","19 220","59","7.1",""
"Bharuch","Mahegam1","8.21","551","369","","0","","","","","380","","60 61","400","366","8.3",""
"","Motwan","8.31","2464","1651","","0 464","540","","3 38","0.75","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"TABLE 2","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","5","14","0.10","240","40","22","190","50","",""
"","","8.20","461","309","0","293","28","","","","250","44","17","180","65","10.0",""
"Bharuch","Mungaj","","","","","305","28","6","25","0.35","","","","","","",""
"Bharuch","Nirnavi","8.24","465","312","0
0","573","1775","44","96","1.10","470","18","28","1600","710","3.2",""
"","","7.81","6044","4049","0","","","","","","","40","24","200","120","7.9",""
"Bharuch","Panoli","7.81","","","36","195","149","8","20","0.40","220","","","","","",""
"","","8.37","804","539","36","","","","","","350","76","29","310","130","30.6",""
"Bharuch","Raymal","","","647","0","427","128","5","53","0.00","350","","","","82","21.2",""
"","","8.30","965","647","","","","","","","340","76","29","310","82","",""
"Bharuch","Roja tankaria","","","486","0","415","78","5","31","0.20","","","","490","198","4.3",""
"Bharuch","Sajod","8.06","726","","0","903","114","5","9","1.55","740","44","92","","","30.5",""
"Bharuch","Sajod","8.15","1576","1056","","","","3","24","0.40","410","52","41","300","185","",""
"Bharuch","","","1370","918","0","500","185","","","","","","88","470","440","53.5",""
"Bharuch","Sindhav","8.17","","","0","866","390","6","146","0.85","710","44","88","","","2.0",""
"","","8.07","2746","1840","","","","","","","250","72","15","240","51","",""
"Bharuch","Tankari","","","324","0","305","35","7","42","0.45","","","","","168","2.3",""
"","Timbroli","8.04","483","324","","","","","17","0.80","380","24","32","190","","",""
"Bharuch","","","","598","0","464","106","4","","","","","","","390","1.8",""
"Bharuch","Utraj","8.13","892","598","0","305","887","9","67","1.40","250","160","85","750","1000","1",""
"Bharuch
Bhavnagar","Valia
Ayodhyapuram","7.97
8.29","3574
5724","2395
3835","0","1037","1312","11
2","224
27","3.00
0.64","850
400","120
40","120
36","800
250","1000
153","0.7",""
"Bhavnagar","City 1","8.24","1064","713","0","488","106","","","0.87","590","120","84","650","260","8.2",""
"Bhavnagar","Bhavnagar City","","2320","1554","108","500","354","76","54","","","","204","1200","730","20.0",""
"","Bhudel","8.4","","","","","","6","351","0.87","540","140","","","","",""
"Bhavnagar","Bhumbhali","8.12","5451","3652","0","659","1312","","","0.67","200","152","53","600","164","1.5",""
"Bhavnagar","Bhumbhali","7.88","1892","1268","0","244","475","13","63","","","28","22","160","336","2.3",""
"Bhavnagar","Bhutia","7.88
8.45","1696","1136","60","695","92","70","28","1.5","670
280","72","36","330","42","9.5",""
"","Bora","","","","","","","","19","0.20","","","","","","",""
"Bhavnagar","","8.29","800","536","0","342","78","12","","","","124","50","520","207","3.2",""
"","Dhasa","","","","","","","","73","0,64","230","","","","","",""
"Bhavnagar","Dudhala","8.03","1865","1250","0","281","425","68","73
95","0.34","310","72","55","410","67","0.9",""
"Bhavnagar","","","1000","670","0","378","99","6","95","","","","180","1100","980","65.1",""
"Bhavnagar","Gadhada2","8.18","","","0","683","1524","220","301","0.90","560","140","180","","","",""
"","","8.11","6504","4358","0","","","","","","","112","38","440","283","2.4",""
"Bhavnagar","Ghogha","8.11","","","0","1086","85","28","19","0.67","890","","","","","1.3",""
"","Khijadiya","8.26","2070","1387","","","","","","0.3","230","72","41","350","42","1.3",""
"Bhavnagar","Khijadiya","","760","509","0","281","92","26","55","","","","29","260","86","21.0",""
"Bhavnagar","Kundeli","7.89","","","","","57","3","20","0.67","340","56","","","","",""
"Bhavnagar","Longadi","8.21","715","479","0","415","","","","0.23","370","132","34","470","88","5.9",""
"Bhavnagar","Longadi","","1234","827","0","451","156","43","32","","","44","36","260","187","1.6",""
"Bhavnagar","Motivadal","8.11","","","48","354","156","19","54","0,74","370","44","","","","0.5",""
"","","8.48","1252","839","","","","","","","410","40","43","280","170","",""
"Bhavnagar","Ningala","","","816","0","500","135","28","21","0.83","","","","","300","10.2",""
"","Panchpipla","8.24","1218","816","","","","24","15","2.60","970","120","108","750","","",""
"Bhavnagar
Bhavnagar","Panvi1","8.69","2770","1856
704","96
0","988
427","284
99","48","25","0.1","350","88","62","480
480","35
161","0.9
1.1",""
"Bhavnagar","Piperla","7.99","1050","","0","244","241","225","99","0.6","200","96","58","","","",""
"","","7.98","1598","1071","","","","","","","","124","53","530","50","8.4",""
"Bhavnagar","Porbara","7.98
8.07","1142","765","0","500","85","27","81","0.45","410
270","68","43","350","31","2.1",""
"Bhavnagar","Sajnasar","","","472","0","329","35","6","88","0,44","","","","","80","1.4",""
"Bhavnagar","Sandhida","8.20","704","","0","305","191","225","76","0,27","250","96","89","610","","0.3",""
"","Shantinagar","7.91","1452","973","","","","72","53","0.97","280","88","106","660","121","",""
"Bhavnagar","","6.80","1788","1198","0","342","369","","","","430","128","70","610","54","4.1",""
"Bhavnagar","Talaja2","","","900","0","525","156","64","21","0.46","430","","","","130","4.8",""
"","","8,23","1343","900","","","","","","0.50","380","240","216","1500","130","",""
"Bhavnagar
Bhavnagar","Tansa
Tardhera","8.05","3476","2329","","464","815
21","80
3","170
53","0.50
0.60","200","52","29","250","18","1.9",""
"","Timbi2","8.29","500","335","","0","","","47","0.2","470","152","62","640","60","11.6",""
"Bhavnagar","","","","959","","0 573","156","35","","","","","","470","120","68.5",""
"Bhavnagar","Trapaj","8.2","1432
1318","883","","0 586","156","16","14","0.18","480","136","32","310","58","1.9",""
"Daman","Ambawadi","7.99","1318","","","0 366","85","5","9","0,32","300","60","","","","1.6",""
"","Dabhel","7.84","860","576","","","","","9","0,63","260","56","32","270","48","",""
"Daman","","","711","476","","0 317","71","","","","","","","390","74","28.7",""
"Daman","Dalwada","7.94","711","","","0 512","71","22","11","0.22","420","88","41","","186","16.9",""
"Daman","Jempore","7.88","994","666
813","","0 488","128","","3 6","1.25","400","32","27","190","109","24.1",""
"Daman","Khariwad Daman","8.09","1213","","","403","71","","8 8","0.22","330","20","39","","","",""
"","Manwad","8.09","786","527","","0","","","","0.77","370","68","83","510","146","1.7",""
"Daman","Manwad","","1631","1093","","0 451","291","15","27","","","","168","900","629","40.3",""
"Daman","Warkhund","7.85","","","","","1205","","3 50","0.35","490","80","","","","",""
"Daman","","","4486","3006","","0","","","","","","","","2350","1400","","34"
