Well No.,District,Taluka,Location,Date,pH,EC,TDS,CO3,HCO3,Cl,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K,SAR
W205200071214501,Amreli,JAFRABAD,Jafrabad,May 2018,8.02,2542,1703.14,0,220,674,5,130.0,0.583,180,40,46.21,290,412,68.0,10.52
W212350071130001,Amreli,DHARI,Kerala,May 2018,7.96,2110,1413.7,0,757,248,41,48.0,1.342,620,68,7.0,200,388,6.8,11.93
W210900071142001,Amreli,KHAMBHA,Khamba,May 2018,8.11,955,639.85,0,329,85,90,15.0,0.401,270,96,34.05,380,44,0.4,0.98
W213945070590001,Amreli,KUNKAVAV-VADIA,Kunkavav,May 2018,7.84,2861,1916.87,0,256,482,92,448.0,0.599,210,188,63.0,730,321,1.4,5.17
W214315071230001,Amreli,LATHI,Lathi,May 2018,7.8,2228,1492.76,0,500,241,32,322.0,0.536,410,92,39.0,390,336,0.2,7.4
W213730071234501,Amreli,LATHI,Luvariya,May 2018,8.06,1630,1092.1,0,549,57,7,265.0,1.555,450,32,10.0,120,318,0.8,12.62
W210600071350001,Amreli,RAJULA,Mandal,May 2018,7.68,2693,1804.31,0,427,532,132,135.0,0.821,350,122,51.07,515,377,5.0,7.22
W212234071070701,Amreli,DHARI,Morjhar,May 2018,8.02,788,527.96,0,256,106,14,20.0,0.373,210,48,4.0,135,118,0.4,4.42
W205530071211501,Amreli,JAFRABAD,Nageshri,May 2018,7.86,3147,2108.49,0,598,511,155,235.0,0.373,490,196,80.26,820,343,15.4,5.21
W212300071280001,Amreli,KUNDLA-SAVAR,Piyava,May 2018,8.11,1465,981.55,0,573,92,40,95.0,0.658,470,60,29.18,270,210,0.4,5.56
W213130071213001,Amreli,LILIA,Punjapadar,May 2018,7.93,770,516.0,0,342,64,11,9.19,1.245,280,32,5.0,100,135,9.4,5.87
W212310071320001,Amreli,KUNDLA-SAVAR,Salena,May 2018,8.44,1200,804.0,24,488,57,26,60.0,1.498,440,52,29.18,250,161,3.1,4.43
W214330071280001,Amreli,LATHI,Tajpur,May 2018,8.1,724,485.08,0,207,64,14,85.0,0.755,170,64,12.0,210,69,2.6,2.07
W205345071121501,Amreli,JAFRABAD,Timbi2,May 2018,8.32,3120,2090.4,84,195,603,150,285.0,1.009,300,76,78.0,510,471,25.0,9.07
W210100071165001,Amreli,KHAMBHA,Trakuda,May 2018,7.97,976,653.92,0,195,170,37,57.0,0.749,160,80,4.864,220,120,1.1,3.52
W215500071130001,Amreli,BABRA,Untvad,May 2018,7.83,984,659.28,0,281,64,82,100.0,0.614,230,116,10.0,330,74,0.4,1.77
W213500070580001,Amreli,BAGASARA,Vaghania juna,May 2018,8.27,1780,1192.6,0,500,142,48,236.0,1.013,410,56,27.0,250,290,9.0,7.97
W213115071081001,Amreli,AMRELI,Vankiya,May 2018,8.02,2960,1983.2,0,500,603,49,175.0,1.307,410,28,32.0,200,590,0.3,18.14
W211400071150001,Amreli,KHAMBHA,Vankiya1,May 2018,7.47,2407,1612.69,0,512,383,152,115.0,0.542,420,180,89.98,820,166,16.6,2.52
W210045071323001,Amreli,RAJULA,Victor,May 2018,8.19,1272,852.24,0,476,149,12,25.0,1.464,390,40,7.296,130,222,12.2,8.47
W211515071090001,Amreli,DHARI,Virpur,May 2018,8.01,1201,804.67,0,232,92,36,240.0,0.555,190,80,51.0,410,81,11.7,1.74
W212610071322501,Amreli,Savar Kundla,Fifad,May 2018,8.31,4880,3269.6,90,525,709,43,789.0,1.414,580,44,62.02,365,955,0.8,21.73
W212244071365301,Amreli,Savar Kundla,Hipavadli,May 2018,8.37,2315,1551.05,72,842,99,86,135.0,1.53,810,40,24.81,202,440,0.9,13.46
W205430071213701,Amreli,Jafrabad,Kadiyali,May 2018,6.82,5451,3652.17,0,476,1518,8,175.0,1.527,390,282,114.3,1175,705,15.0,8.94
W212323071302701,Amreli,Savar Kundla,Vanda,May 2018,9.02,3185,2134.0,108,671,482,29,150.0,1.373,730,40,21.89,190,645,1.2,20.34
W222843073014901,Anand,ANAND,Adas_DW,May 2018,6.72,1045,700.15,0,366,106,86,5.0,1.06,300,60,58.0,390,60,1.9,1.32
W223430072582001,Anand,ANAND,Anand,May 2018,7.68,1690,1132.0,0,537,170,30,135.0,0.82,440,92,78.0,550,130,6.2,2.41
W222300073003001,Anand,ANKLAV,Anklav,May 2018,7.85,1190,797.3,0,415,135,50,25.0,0.66,370,52,58.0,370,102,1.8,2.31
W222515072474001,Anand,PETLAD,Dharmaj,May 2018,7.76,2360,1581.2,0,708,284,100,110.0,1.38,580,60,51.0,360,375,0.6,8.59
W222030072390001,Anand,CAMBAY,Kansari1,May 2018,8.0,4919,3295.73,0,378,1156,42,465.0,0.62,310,56,105.0,570,865,7.2,15.75
W223039072340001,Anand,Tarapur,Tol,May 2018,8.03,1021,684.07,0,281,177,19,20.0,1.08,230,60,32.0,280,98,13.8,2.55
W242420072383001,Banaskantha,AMIRGADH,Amirgadh,May 2018,8.14,3012,2018.04,0,403,581,115,237.0,0.8,330,18,193.0,850,300,2.75,4.47
W243145071323001,Banaskantha,THARAD,Bharol1,May 2018,8.1,606,406.02,0,244,44,33,57.0,0.12,200,55,27.0,250,31,35.0,0.85
W241830072193001,Banaskantha,DANTIWADA,Dantiwada1,May 2018,7.8,616,412.72,0,159,64,28,84.0,0.98,130,46,28.0,230,48,0.77,1.38
W241750072565001,Banaskantha,DANTA,Ganapipli,May 2018,8.06,1475,988.25,0,354,82,48,213.0,2.08,290,28,46.0,260,190,1.32,5.12
W242610072215501,Banaskantha,DANTIWADA,Gangodra,May 2018,7.81,2981,1997.27,0,195,624,85,371.0,1.0,160,92,161.0,900,280,5.74,4.06
W242045072321501,Banaskantha,AMIRGADH,Iqbalgarh,May 2018,8.24,1400,938.0,0,427,142,49,144.0,0.8,350,17,64.0,310,200,1.47,4.94
W242915072211001,Banaskantha,DANTIWADA,jhat,May 2018,8.18,1591,1065.97,0,244,244,75,123.0,1.1,200,37,36.0,240,230,2.88,6.45
W243930071460001,Banaskantha,THARAD,Khoda,May 2018,8.26,1180,790.6,0,329,114,65,33.0,1.3,270,18,15.0,110,190,3.31,7.88
W242340072374001,Banaskantha,AMIRGADH,Kidotar,May 2018,8.2,844,565.48,0,183,78,80,135.0,1.78,150,55,51.0,350,56,0.81,1.3
W242350072170501,Banaskantha,DEESA,Meda,May 2018,8.29,1127,755.09,0,305,98,27,121.0,1.8,250,18,20.0,130,190,2.55,7.25
W241000072434001,Banaskantha,DANTA,Mohabbat gadh,May 2018,7.55,1484,994.28,0,110,342,75,11.0,1.1,90,131,8.0,360,135,2.7,3.09
W241140072260001,Banaskantha,PALANPUR,Palanpur2,May 2018,8.57,1764,1181.88,48,73,255,105,326.0,1.04,140,37,79.0,420,235,0.83,4.99
W241030072444501,Banaskantha,DANTA,Ratanpur2,May 2018,7.74,1662,1113.54,0,268,191,115,187.0,0.4,220,110,28.0,390,180,2.19,3.96
W242405072174501,Banaskantha,DANTIWADA,Sodapur,May 2018,7.5,1756,1176.52,0,207,425,26,35.0,0.4,170,86,73.0,520,145,6.22,2.76
