Well No.,District,Taluka,Location,Date,pH,EC,TDS,CO3,HCO3,Cl,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K,SAR
W224100070190001,Jamnagar,JODIYA,Bedanpur,May 2018,7.71,3380,2264.6,0,244,957,100,55,0.39,200,280,169.0,1395,134,0.5,1.56
W215930069144502,Jamnagar,KALYANPUR,Bhogat1,May 2018,8.03,1050,703.5,0,73,305,13,24,0.73,60,24,27.0,170,157,4.3,5.24
W222100070023001,Jamnagar,JAMNAGAR,Changa,May 2018,8.03,2924,1959.08,0,439,511,43,330,0.17,360,242,143.0,1195,118,4.4,1.48
W223400070250001,Jamnagar,DHROL,Dhrol2,May 2018,8.0,895,599.65,0,214,167,16,25,0.61,175,48,41.0,290,70,3.7,1.79
W224730070301501,Jamnagar,JODIYA,Dudhai2,May 2018,8.34,750,502.5,24,171,92,8,52,0.55,180,40,5.0,120,115,1.8,4.56
W221445068573001,Jamnagar,OKHAMANDAL,Dwarka,May 2018,7.87,4062,2721.54,0,415,1000,100,195,0.41,340,160,159.0,1055,434,31.0,5.81
W222700070000501,Jamnagar,JAMNAGAR,Gordhanpur,May 2018,8.32,1020,683.4,18,262,160,7,25,0.57,245,24,39.0,220,130,1.7,3.81
W221615070200001,Jamnagar,KALAVAD,Haripur2,May 2018,7.83,1160,777.2,0,238,149,150,50,0.62,195,92,46.0,420,71,2.6,1.51
W222730070044501,Jamnagar,JAMNAGAR,Jamnagar2,May 2018,8.18,791,529.97,0,134,177,9,23,0.32,110,36,19.0,170,102,0.7,3.4
W221015069220001,Jamnagar,KALYANPUR,Juvanpur,May 2018,8.47,1750,1172.5,18,311,252,17,205,0.57,285,36,56.0,320,250,3.6,6.08
W222000069423001,Jamnagar,KHAMBHALIA,Kajuda,May 2018,7.9,3925,2629.75,0,927,716,14,162,0.38,760,180,173.0,1160,371,2.4,4.74
W220100069233001,Jamnagar,OKHAMANDAL,Kalyanpur,May 2018,8.03,1330,891.0,0,268,227,70,65,0.38,220,44,54.0,330,153,0.7,3.66
W220100069233001,Jamnagar,KALYANPUR,Kalyanpur2,May 2018,8.22,6452,4322.84,0,500,1709,65,345,1.17,410,220,176.0,1275,899,3.6,10.95
W215845069360001,Jamnagar,KALYANPUR,Khirsara,May 2018,7.93,1336,895.12,0,353,219,65,25,0.41,289,116,34.0,430,107,0.7,2.24
W221130069574001,Jamnagar,LALPUR,Lalpur1,May 2018,7.93,1250,837.5,0,244,220,80,50,0.31,200,84,32.0,340,130,0.6,3.07
W222200068590001,Jamnagar,OKHAMANDAL,Mojap,May 2018,7.97,8760,5869.2,0,293,1922,130,1250,0.9,240,160,169.0,1095,1368,224.0,17.97
