WELL NO.,DISTRICT,TALUKA,LOCATION,DATE,PH,EC,TDS,CO3,HCO3,CL,NO3,SO4,F,ALK,CA,MG,TH,NA,K,SAR
W214330071280001,Amreli,LATHI,Tajpur,May-18,8.1,724.0,485.08,0.0,207.0,64.0,14.0,85.0,0.755,170.0,64.0,12.0,210.0,69.0,2.6,2.07
W205345071121501,Amreli,JAFRABAD,Timbi2,May-18,8.32,3120.0,2090.4,84.0,195.0,603.0,150.0,285.0,1.009,300.0,76.0,78.0,510.0,471.0,25.0,9.07
W210100071165001,Amreli,KHAMBHA,Trakuda,May-18,7.97,976.0,653.92,0.0,195.0,170.0,37.0,57.0,0.749,160.0,80.0,4.864,220.0,120.0,1.1,3.52
W215500071130001,Amreli,BABRA,Untvad,May-18,7.83,984.0,659.28,0.0,281.0,64.0,82.0,100.0,0.614,230.0,116.0,10.0,330.0,74.0,0.4,1.77
W213500070580001,Amreli,BAGASARA,Vaghania juna,May-18,8.27,1780.0,1192.6,0.0,500.0,142.0,48.0,236.0,1.013,410.0,56.0,27.0,250.0,290.0,9.0,7.97
W213115071081001,Amreli,AMRELI,Vankiya,May-18,8.02,2960.0,1983.2,0.0,500.0,603.0,49.0,175.0,1.307,410.0,28.0,32.0,200.0,590.0,0.3,18.14
W211400071150001,Amreli,KHAMBHA,Vankiya1,May-18,7.47,2407.0,1612.69,0.0,512.0,383.0,152.0,115.0,0.542,420.0,180.0,89.98,820.0,166.0,16.6,2.52
W210045071323001,Amreli,RAJULA,Victor,May-18,8.19,1272.0,852.24,0.0,476.0,149.0,12.0,25.0,1.464,390.0,40.0,7.296,130.0,222.0,12.2,8.47
W211515071090001,Amreli,DHARI,Virpur,May-18,8.01,1201.0,804.67,0.0,232.0,92.0,36.0,240.0,0.555,190.0,80.0,51.0,410.0,81.0,11.7,1.74
W212610071322501,Amreli,Savar Kundla,Fifad,May-18,8.31,4880.0,3269.6,90.0,525.0,709.0,43.0,789.0,1.414,580.0,44.0,62.02,365.0,955.0,0.8,21.73
W212244071365301,Amreli,Savar Kundla,Hipavadli,May-18,8.37,2315.0,1551.05,72.0,842.0,99.0,86.0,135.0,1.53,810.0,40.0,24.81,202.0,440.0,0.9,13.46
W205430071213701,Amreli,Jafrabad,Kadiyali,May-18,6.82,5451.0,3652.17,0.0,476.0,1518.0,8.0,175.0,1.527,390.0,282.0,114.3,1175.0,705.0,15.0,8.94
W212323071302701,Amreli,Savar Kundla,Vanda,May-18,9.02,3185.0,2134.0,108.0,671.0,482.0,29.0,150.0,1.373,730.0,40.0,21.89,190.0,645.0,1.2,20.34
W222843073014901,Anand,ANAND,Adas_DW,May-18,6.72,1045.0,700.15,0.0,366.0,106.0,86.0,5.0,1.06,300.0,60.0,58.0,390.0,60.0,1.9,1.32
W223430072582001,Anand,ANAND,Anand,May-18,7.68,1690.0,1132.0,0.0,537.0,170.0,30.0,135.0,0.82,440.0,92.0,78.0,550.0,130.0,6.2,2.41
W222300073003001,Anand,ANKLAV,Anklav,May-18,7.85,1190.0,797.3,0.0,415.0,135.0,50.0,25.0,0.66,370.0,52.0,58.0,370.0,102.0,1.8,2.31
W222515072474001,Anand,PETLAD,Dharmaj,May-18,7.76,2360.0,1581.2,0.0,708.0,284.0,100.0,110.0,1.38,580.0,60.0,51.0,360.0,375.0,0.6,8.59
W222030072390001,Anand,CAMBAY,Kansari1,May-18,8,4919.0,3295.73,0.0,378.0,1156.0,42.0,465.0,0.62,310.0,56.0,105.0,570.0,865.0,7.2,15.75
W223039072340001,Anand,Tarapur,Tol,May-18,8.03,1021.0,684.07,0.0,281.0,177.0,19.0,20.0,1.08,230.0,60.0,32.0,280.0,98.0,13.8,2.55
W242420072383001,Banaskantha,AMIRGADH,Amirgadh,May-18,8.14,3012.0,2018.04,0.0,403.0,581.0,115.0,237.0,0.8,330.0,18.0,193.0,850.0,300.0,2.75,4.47
W243145071323001,Banaskantha,THARAD,Bharol1,May-18,8.1,606.0,406.02,0.0,244.0,44.0,33.0,57.0,0.12,200.0,55.0,27.0,250.0,31.0,35.0,0.85
W241830072193001,Banaskantha,DANTIWADA,Dantiwada1,May-18,7.8,616.0,412.72,0.0,159.0,64.0,28.0,84.0,0.98,130.0,46.0,28.0,230.0,48.0,0.77,1.38
W241750072565001,Banaskantha,DANTA,Ganapipli,May-18,8.06,1475.0,988.25,0.0,354.0,82.0,48.0,213.0,2.08,290.0,28.0,46.0,260.0,190.0,1.32,5.12
W242610072215501,Banaskantha,DANTIWADA,Gangodra,May-18,7.81,2981.0,1997.27,0.0,195.0,624.0,85.0,371.0,1.0,160.0,92.0,161.0,900.0,280.0,5.74,4.06
W242045072321501,Banaskantha,AMIRGADH,Iqbalgarh,May-18,8.24,1400.0,938.0,0.0,427.0,142.0,49.0,144.0,0.8,350.0,17.0,64.0,310.0,200.0,1.47,4.94
W242915072211001,Banaskantha,DANTIWADA,jhat,May-18,8.18,1591.0,1065.97,0.0,244.0,244.0,75.0,123.0,1.1,200.0,37.0,36.0,240.0,230.0,2.88,6.45
W243930071460001,Banaskantha,THARAD,Khoda,May-18,8.26,1180.0,790.6,0.0,329.0,114.0,65.0,33.0,1.3,270.0,18.0,15.0,110.0,190.0,3.31,7.88
W242340072374001,Banaskantha,AMIRGADH,Kidotar,May-18,8.2,844.0,565.48,0.0,183.0,78.0,80.0,135.0,1.78,150.0,55.0,51.0,350.0,56.0,0.81,1.3
W242350072170501,Banaskantha,DEESA,Meda,May-18,8.29,1127.0,755.09,0.0,305.0,98.0,27.0,121.0,1.8,250.0,18.0,20.0,130.0,190.0,2.55,7.25
W241000072434001,Banaskantha,DANTA,Mohabbat gadh,May-18,7.55,1484.0,994.28,0.0,110.0,342.0,75.0,11.0,1.1,90.0,131.0,8.0,360.0,135.0,2.7,3.09
W241140072260001,Banaskantha,PALANPUR,Palanpur2,May-18,8.57,1764.0,1181.88,48.0,73.0,255.0,105.0,326.0,1.04,140.0,37.0,79.0,420.0,235.0,0.83,4.99
W241030072444501,Banaskantha,DANTA,Ratanpur2,May-18,7.74,1662.0,1113.54,0.0,268.0,191.0,115.0,187.0,0.4,220.0,110.0,28.0,390.0,180.0,2.19,3.96
W242405072174501,Banaskantha,DANTIWADA,Sodapur,May-18,7.5,1756.0,1176.52,0.0,207.0,425.0,26.0,35.0,0.4,170.0,86.0,73.0,520.0,145.0,6.22,2.76
