S.No,District,Taluka,Location,Date ofCollection,Cr,Fe,Mn,Zn,Cu
358,Rajkot,Jasdan,Lalavadar,May-18,0.0,0.1291,0.0076,0.0053,0.0
359,Rajkot,Morvi,Macchukunda,May-18,0.0158,0.2122,0.022,0.0023,0.0
360,Rajkot,Malia,Malia,May-18,0.013,0.1992,0.0137,0.0,0.0
361,Rajkot,Morvi,Morvi,May-18,0.0061,0.7655,0.0342,0.0109,0.0
362,Rajkot,Malia,Mota dhansura,May-18,0.0118,0.5083,0.017,0.004,0.0
363,Rajkot,JETPUR,Motagundala,May-18,0.0,0.1343,0.0048,0.0013,0.0
364,Rajkot,Paddhari,Movaiya,May-18,0.0,0.3395,0.0713,0.0152,0.0032
365,Rajkot,Dhoraji,Patanvav,May-18,0.0,0.0226,0.0026,0.0079,0.0
366,Rajkot,JETPUR,Pedhla,May-18,0.0366,0.3317,0.0902,0.0165,0.0008
367,Rajkot,Rajkot,Ranpur1,May-18,0.0084,0.4901,0.0259,0.0191,0.0
368,Rajkot,Gondal,Ribda,May-18,0.0048,0.207,0.0198,0.0046,0.0
369,Rajkot,Rajkot,Sardhar2,May-18,0.012,0.2122,0.0713,0.0188,0.0
370,Rajkot,Malia,Sarvad,May-18,0.0041,0.4356,0.0586,0.005,0.0
371,Rajkot,Wankaner,Sindhavadar,May-18,0.0101,0.1291,0.0076,0.0036,0.0
372,Rajkot,JETPUR,Umrali,May-18,0.0117,0.0694,0.0109,0.005,0.0
373,Rajkot,Upleta,Upleta3,May-18,0.0,0.0174,0.0037,0.0,0.0
374,Rajkot,jasdan,Viranagar,May-18,0.0219,0.1681,0.012,0.0043,0.0
375,Rajkot,JETPUR,Virpur1,May-18,0.0109,0.1083,0.0148,0.003,0.0
376,Sabarkantha,Talod,Boriya,May-18,0.027,0.1394,0.0625,0.0,0.011
377,Sabarkantha,Talod,Umedpura,May-18,0.0088,0.0784,0.0039,0.0,0.003
378,Sabarkantha,TALOD,Harsol1,May-18,0.0057,0.0583,0.0082,0.0,0.0028
379,Sabarkantha,TALOD,Kesarpura(Mayal),May-18,0.0086,0.0844,0.0146,0.0,0.0038
380,Sabarkantha,HIMATNAGAR,Ramgarh,May-18,0.0171,0.3904,0.2755,0.0,0.0056
381,Sabarkantha,HIMATNAGAR,Virpur_1(Himmat_nagar),May-18,0.0056,0.2061,0.0197,0.0,0.0027
382,Sabarkantha,HIMATNAGAR,Gadha1,May-18,0.0174,0.3755,0.0211,0.0,0.0049
383,Sabarkantha,,Vaketapur,May-18,0.0236,0.1924,0.0112,0.0539,0.0068
384,Sabarkantha,,Dhramali,May-18,0.0167,0.3489,0.0167,0.0,0.0051
385,Sabarkantha,IDAR,Sabalwad,May-18,0.0076,0.4039,0.0296,0.0,0.0034
386,Sabarkantha,IDAR,Chaap_DW,May-18,0.0139,0.0807,0.0072,0.0,0.0052
387,Sabarkantha,VADALI,Choriwad,May-18,0.0202,0.0972,0.015,0.0,0.0021
388,Sabarkantha,Vadoli,Kesharpura,May-18,0.017,0.0566,0.0175,0.0,0.0043
389,Sabarkantha,IDAR,Revas,May-18,0.0162,0.0702,0.0098,0.0,0.0043
390,Sabarkantha,IDAR,Idar,May-18,0.0132,0.0,0.0556,0.0,0.0053
391,Sabarkantha,,Mathasuliya,May-18,0.0156,0.1143,0.0367,0.0,0.0066
392,Sabarkantha,BHILODA,Shamlaji,May-18,0.0,0.0683,0.0045,0.0,0.0011
393,Sabarkantha,MODASA,Seenawad,May-18,0.0119,0.0897,0.082,0.0,0.0047
394,Sabarkantha,MODASA,Megraj_1,May-18,0.0051,0.0863,0.0461,0.0,0.0023
395,Sabarkantha,MALPUR,Malpur_1,May-18,0.0042,0.0839,0.0046,0.0,0.0023
396,Sabarkantha,DHANSURA,Karanpur,May-18,0.004,0.0487,0.0016,0.0,0.0019
397,Sabarkantha,Dhansura,Alwa Kampa,May-18,0.0066,0.0627,0.0046,0.0,0.0027
398,Sabarkantha,BAYAD,Sathamba,May-18,0.0,0.0888,0.0054,0.0,0.0034
399,Sabarkantha,BAYAD,Boral,May-18,0.0174,0.0349,0.0041,0.0,0.0043
400,Sabarkantha,DHANSURA,Dhansura,May-18,0.0053,0.1561,0.0253,0.0,0.0055
401,Sabarkantha,VADALI,Wadali,May-18,0.0067,0.0267,0.0023,0.0,0.0033
402,Sabarkantha,KHEDBRAHMA,Matoda,May-18,0.0241,0.0793,0.0394,0.0,0.0084
