S.No,District,Taluka,Location,Date ofCollection,Cr,Fe,Mn,Zn,Cu
151,Jamnagar,Kalyanpur,Khirsara,May-18,0.0124,0.058,0.0279,0.0,0.0037
152,Jamnagar,Kalyanpur,Bhogat1,May-18,0.0006,0.2087,0.0105,0.0047,0.0019
153,Jamnagar,Okhamandal,Dwarka,May-18,0.0208,0.0826,0.0355,0.0,0.0052
154,Jamnagar,Okhamandal,Varwada,May-18,0.00343,0.2486,0.1131,0.0141,0.0088
155,Jamnagar,Okhamandal,Mojap,May-18,0.0257,0.0615,0.03621,0.0109,0.0093
156,Jamnagar,Okhamandal,Samrasar1,May-18,0.1093,0.2077,0.2756,0.0,0.0225
157,Jamnagar,Kalyanpur,Kalyanpur2,May-18,0.0323,0.3465,0.1127,0.0,0.0064
158,Jamnagar,Kalyanpur,Juvanpur,May-18,0.0069,0.1509,0.0105,0.00059,0.0032
159,Jamnagar,Khambhalia,Vadtara,May-18,0.0096,0.0608,0.204,0.0034,0.0023
160,Jamnagar,Okhamandal,Kalyanpur2,May-18,0.0099,0.12197,0.0194,0.0037,0.0023
161,Jamnagar,Bhanvad,Mota kalawad,May-18,0.006,0.0418,0.023,0.0041,0.0018
162,Junagadh,visavadar,Prempara,May-18,0.005,0.2066,0.1195,0.0365,0.0064
163,Junagadh,talala,Alwani,May-18,0.0013,0.495,0.074,0.0141,0.0054
164,Junagadh,Una,Una2,May-18,0.0183,0.015,0.0167,0.0181,0.0075
165,Junagadh,Una,Girgadhada,May-18,0.0,0.058,0.0164,0.0132,0.0064
166,Junagadh,Una,Jamvala1,May-18,0.0,0.0688,0.0055,0.011,0.0054
167,Junagadh,Talala,Ankolvadi,May-18,0.0,0.0537,0.004,0.0137,0.0064
168,Junagadh,Talala,Jambur(Madhapar),May-18,0.0,0.072,0.0035,0.0257,0.0064
169,Junagadh,kodinar,Kodinar1,May-18,0.0134,0.0978,0.0172,0.0195,0.0096
170,Junagadh,Veraval,Ajotha,May-18,0.014,0.1086,0.0085,0.0145,0.0075
171,Junagadh,Veraval,Govindpura2,May-18,0.0,0.0591,0.0166,0.0105,0.0064
172,Junagadh,Veraval,Moraj,May-18,0.0036,0.0957,0.01,0.0195,0.0075
173,Junagadh,Talala,Talala1,May-18,0.0,0.1086,23.5,0.015,0.0054
174,Junagadh,Una,Samter,May-18,0.0,0.0806,0.0182,0.4662,0.0086
175,Junagadh,Junagadh,Chokli,May-18,0.0193,0.2141,0.0114,0.0063,0.0055
176,Junagadh,Bhesan,Patla,May-18,0.0026,0.0562,0.0154,0.026,0.003
177,Junagadh,Junagadh,Junagadh1,May-18,0.0161,0.064,0.0204,0.0315,0.0048
178,Junagadh,vanthali,Saradiya,May-18,0.0075,0.043,0.31,0.0029,0.0032
179,Junagadh,Manavadar,Bantva,May-18,0.0119,0.0544,0.0832,0.0065,0.0045
180,Junagadh,Mangrol,Bamanwara,May-18,0.059,0.133,0.0685,0.0171,0.0068
181,Junagadh,Mangrol,Sil,May-18,0.0,0.1433,0.0525,0.0044,0.0006
182,Junagadh,Mangrol,Sil bandar,May-18,0.0469,0.2539,0.0531,0.0117,0.0079
183,Junagadh,Mangrol,Manketara,May-18,0.0046,0.0943,0.0168,0.0021,0.0013
184,Junagadh,Mangrol,Goraj1,May-18,0.0,0.0629,0.0021,0.0008,0.0053
185,Junagadh,Malai,Juthal,May-18,0.0,0.0742,0.0176,0.0027,0.0027
186,Junagadh,Mangrol,Seriakhan,May-18,0.0089,0.091,0.1376,0.0045,0.0055
187,Junagadh,malia,Budhecha,May-18,0.0045,0.138,0.0423,0.0107,0.0066
188,Junagadh,Mangrol,Shardagram,May-18,0.0347,0.1237,0.0348,0.0119,0.0158
189,Junagadh,Mangrol,Arena,May-18,0.0594,0.2365,0.0611,0.0127,0.0242
190,Junagadh,Mangrol,Khorada1,May-18,0.0031,0.0169,0.04,0.0,0.0037
191,Junagadh,malia,Khambalia1,May-18,0.0174,0.139,0.0017,0.0,0.0091
192,Junagadh,vanthali,Khoras ahir,May-18,0.0093,0.1026,0.0053,0.0029,0.0068
193,Junagadh,mendrada,Kenedipur,May-18,0.0,0.0066,0.0076,0.0,0.0027
194,Junagadh,mendrada,Mendarda1,May-18,0.0,0.0491,0.0353,0.0,0.0038
195,Junagadh,junagarh,Anandpur,May-18,0.011,0.1287,0.0331,0.0031,0.0069
196,Junagadh,visavadar,Kasia Naka Check Post,May-18,0.001,0.0763,0.0525,0.011,0.0054
197,Junagadh,Una,Kesariyaji,May-18,0.0157,0.6447,0.1578,0.0186,0.0075
198,Junagadh,Una,Jargla Jargali,May-18,0.002,0.0871,0.0098,0.0132,0.0054
199,Junagadh,Talala,Amervel Nes,May-18,0.0,0.0591,0.0607,0.015,0.0064
200,Junagadh,Talala,Bhim Deval,May-18,0.0017,0.1065,0.0112,0.0208,0.0075
201,Junagadh,kodinar,Prasli,May-18,0.0,0.0612,0.0262,0.0177,0.0075
202,Junagadh,Una,Kansari,May-18,0.0128,0.1571,0.745,0.0168,0.0086
