Well No.,District,Taluka,Location,Date,pH,EC,TDS,CO3,HCO3,Cl,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K,SAR
W203151073094501,Valsad,DHARAMPUR,Dharampur 3,May 2018,7.6,640.0,428.8,0.0,146.0,78.0,4.0,86.0,0.52,120.0,60.0,19.0,230.0,44.0,0.7,1.26
W201930072503001,Valsad,UMBERGAON,Kanadu,May 2018,7.82,567.0,379.89,0.0,159.0,36.0,4.0,107.0,0.7,130.0,56.0,19.0,220.0,36.0,0.8,1.06
W202030073130001,Valsad,KAPRADA,Kaparda,May 2018,7.86,341.0,228.47,0.0,73.0,57.0,1.0,30.0,0.02,60.0,32.0,7.0,110.0,29.0,7.2,1.2
W202145072583001,Valsad,PARDI,Karwad,May 2018,7.72,933.0,625.11,0.0,232.0,85.0,2.0,118.0,0.3,190.0,72.0,29.0,300.0,63.0,14.6,1.58
W202200073103001,Valsad,KAPRADA,Mandwa,May 2018,8.12,398.0,266.66,0.0,134.0,36.0,14.0,73.0,0.05,110.0,40.0,22.0,190.0,27.0,0.8,0.85
W203800073013001,Valsad,VALSAD,Muli1,May 2018,8.24,2044.0,1369.48,0.0,195.0,440.0,13.0,135.0,0.53,160.0,56.0,63.0,400.0,249.0,3.7,5.41
W203600072540001,Valsad,VALSAD,Tithal,May 2018,7.8,1997.0,1337.99,0.0,427.0,320.0,8.0,181.0,0.32,350.0,88.0,65.0,490.0,236.0,33.1,0.0
W201300072503001,Valsad,UMBERGAON,Tumb,May 2018,7.9,778.0,521.26,0.0,244.0,85.0,6.0,69.0,0.85,200.0,52.0,34.0,270.0,60.0,0.8,1.59
W203036072554101,Valsad,PARDI,Udwada,May 2018,7.84,837.0,560.79,0.0,195.0,99.0,0.0,181.0,0.46,160.0,60.0,66.0,380.0,51.0,0.8,1.14
W201130072450001,Valsad,UMBERGAON,Umargaon,May 2018,8.15,945.0,633.15,0.0,110.0,213.0,31.0,7.0,0.65,90.0,56.0,32.0,270.0,73.0,6.8,1.93
W202249072541601,Valsad,PARDI,Vapi ( Balitha),May 2018,7.98,637.0,426.79,0.0,195.0,57.0,16.0,81.0,0.46,160.0,44.0,27.0,220.0,55.0,0.8,1.61
Max,9.02,26580,17808.6,168,1720,7347.0,500.0,2490.0,8.6,1410.0,1080.0,754.0,4340.0,4300.0,400.0,29.99,,,,
Min,6.22,207,138.69,0,24,7.0,0.0,2.0,0.0,30.0,6.0,0.0,100.0,2.0,0.1,0.0,,,,
Avg,7.95,2055.18,1376.97,4.77,298.17,425.41,47.12,140.0,0.9,251.25,102.01,65.32,522.35,232.59,13.21,4.25,,,,
