DISTRICT,LOCATION,PH,EC,ALK,SO4,CO3,F,MG,HCO3,TDS,YEAR,NO3,TH,CL,NA,CA,K
Amreli,Fifad,7.8,6862.0,939.0,245.0,0.0,0.55,146.0,1145.0,4598.0,2014,32.0,820.0,1576.0,1220.0,88.0,18.2
Amreli,Hipa vadali,8.1,2592.0,1140.0,85.0,0.0,1.3,22.0,1391.0,1737.0,2014,68.0,140.0,57.0,565.0,20.0,0.2
Amreli,Kadiyali,7.4,3773.0,520.0,41.0,0.0,2.05,49.0,634.0,2528.0,2014,14.0,640.0,895.0,560.0,176.0,11.9
Amreli,Tajpur,7.6,2200.0,520.0,50.0,0.0,1.4,5.0,634.0,1474.0,2014,95.0,100.0,341.0,478.0,32.0,0.6
Anand,Anand,7.6,1253.0,490.0,17.0,0.0,0.3,70.0,598.0,840.0,2014,18.0,360.0,99.0,140.0,28.0,2.5
Anand,Anklav2,8.12,1100.0,420.0,14.0,0.0,0.9,53.0,512.0,737.0,2014,36.0,290.0,78.0,132.0,28.0,1.8
Anand,Navapura,8.06,1400.0,510.0,14.0,0.0,0.48,72.0,622.0,938.0,2014,40.0,470.0,106.0,110.0,68.0,5.5
Anand,Ras,7.5,1743.0,690.0,5.0,0.0,2.0,19.0,842.0,1168.0,2014,20.0,160.0,227.0,400.0,32.0,5.7
Anand,Kansari1,8.1,4278.0,480.0,242.0,0.0,0.6,96.0,586.0,2866.0,2014,24.0,650.0,993.0,700.0,100.0,4.0
Anand,Laxmipura,8.0,3367.0,650.0,62.0,0.0,1.1,48.0,793.0,2256.0,2014,30.0,450.0,709.0,600.0,100.0,2.1
Anand,Ghora,7.92,1780.0,440.0,18.0,0.0,0.67,41.0,537.0,1193.0,2014,115.0,380.0,241.0,238.0,84.0,13.0
Anand,Adas,8.1,970.0,350.0,9.0,0.0,0.43,82.0,427.0,650.0,2014,39.0,460.0,78.0,20.0,48.0,2.4
Anand,Dharmaj,7.76,2450.0,790.0,32.0,0.0,0.22,50.0,964.0,1642.0,2014,48.0,290.0,276.0,445.0,32.0,1.0
Anand,Tol,7.6,877.0,360.0,16.0,0.0,0.3,22.0,439.0,588.0,2014,5.0,260.0,50.0,86.0,68.0,7.2
Anand,Utiyapara,7.7,680.0,320.0,6.0,0.0,0.15,29.0,390.0,456.0,2014,2.0,340.0,42.0,22.0,88.0,1.1
Banaskantha,Amirgadh,7.9,3942.0,422.0,187.0,0.0,0.6,216.0,515.0,2641.0,2014,100.0,1400.0,993.0,330.0,200.0,3.7
Banaskantha,Iqbalgarh,8.2,680.0,230.0,20.0,0.0,0.25,38.0,281.0,456.0,2014,25.0,290.0,64.0,34.0,52.0,0.9
Banaskantha,Kidotar,7.98,1661.0,570.0,52.0,0.0,1.0,70.0,695.0,1113.0,2014,36.0,510.0,149.0,165.0,88.0,9.0
Banaskantha,Ganapipli,8.2,838.0,270.0,14.0,0.0,2.6,34.0,329.0,561.0,2014,36.0,270.0,85.0,79.0,52.0,1.2
Banaskantha,Mohabbat gadh,7.8,1500.0,200.0,15.0,0.0,1.15,31.0,244.0,1005.0,2014,75.0,570.0,347.0,94.0,176.0,3.2
Banaskantha,Ratanpur2,8.0,960.0,180.0,37.0,0.0,0.5,12.0,220.0,643.0,2014,85.0,350.0,142.0,65.0,120.0,2.6
Banaskantha,Gangodra,7.81,1990.0,300.0,154.0,0.0,1.0,58.0,366.0,1333.0,2014,40.0,500.0,367.0,239.0,104.0,5.2
Banaskantha,Jorapura,7.9,1277.0,220.0,108.0,0.0,0.7,46.0,268.0,856.0,2014,38.0,490.0,220.0,87.0,120.0,1.7
Banaskantha,Sodapur,7.69,1160.0,300.0,75.0,0.0,1.35,22.0,366.0,777.0,2014,19.0,220.0,156.0,184.0,52.0,2.3
Banaskantha,Meda,8.08,960.0,230.0,88.0,0.0,0.17,34.0,281.0,643.0,2014,60.0,370.0,106.0,70.0,92.0,2.9
Banaskantha,Palanpur2,8.26,1308.0,380.0,37.0,0.0,0.67,27.0,464.0,876.0,2014,75.0,180.0,170.0,250.0,28.0,0.8
Banaskantha,Bharol1,8.1,517.0,170.0,30.0,0.0,0.1,22.0,207.0,346.0,2014,6.0,200.0,35.0,12.0,44.0,42.0
Banaskantha,Khoda,8.0,3287.0,520.0,112.0,0.0,4.2,60.0,634.0,2202.0,2014,90.0,600.0,674.0,498.0,140.0,26.6
Banaskantha,Dantiwada 1,7.96,624.0,200.0,26.0,0.0,0.5,14.0,244.0,418.0,2014,34.0,270.0,57.0,31.0,84.0,1.0
Bharuch,Roja tankaria,7.7,1488.0,360.0,24.0,0.0,0.03,34.0,439.0,997.0,2014,1.0,330.0,227.0,175.0,76.0,35.0
Bharuch,Juna borbhata,8.24,1460.0,390.0,73.0,0.0,0.14,77.0,476.0,978.0,2014,13.0,440.0,213.0,157.0,48.0,45.0
Bharuch,Motwan,8.1,1670.0,390.0,56.0,0.0,0.48,50.0,476.0,1119.0,2014,5.0,330.0,298.0,253.0,48.0,8.2
Bharuch,Mulad,8.06,2357.0,490.0,118.0,0.0,0.38,70.0,598.0,1579.0,2014,18.0,400.0,418.0,380.0,44.0,1.2
Bharuch,Panoli,7.8,5000.0,510.0,107.0,0.0,1.03,214.0,622.0,3350.0,2014,55.0,1180.0,1347.0,650.0,116.0,3.0
Bharuch,Sajod,8.1,2160.0,730.0,6.0,0.0,2.1,26.0,891.0,1447.0,2014,12.0,180.0,269.0,440.0,28.0,3.6
Bharuch,Bharuch,7.8,2960.0,520.0,72.0,0.0,0.15,137.0,634.0,1983.0,2014,8.0,820.0,631.0,314.0,100.0,2.4
Bharuch,Kaswa,8.08,526.0,190.0,18.0,0.0,0.11,14.0,232.0,352.0,2014,2.0,180.0,50.0,47.0,48.0,12.0
Bharuch,Mahegam1,8.0,496.0,200.0,12.0,0.0,0.25,19.0,244.0,332.0,2014,4.0,180.0,28.0,35.0,40.0,6.6
Bharuch,Navetha,8.0,3095.0,400.0,48.0,0.0,0.2,110.0,488.0,2074.0,2014,4.0,790.0,780.0,323.0,132.0,65.0
Bharuch,Jetpur1,8.1,1600.0,570.0,2.0,0.0,0.65,46.0,695.0,1072.0,2014,17.0,370.0,142.0,193.0,72.0,39.0
Bharuch,Raymal,8.28,1290.0,230.0,46.0,0.0,0.45,43.0,281.0,864.0,2014,5.0,320.0,284.0,170.0,56.0,11.1
Bharuch,Utraj,8.7,1048.0,200.0,158.0,108.0,0.5,42.0,24.0,702.0,2014,4.0,230.0,149.0,162.0,16.0,2.5
Bharuch,Dahegam,7.76,1110.0,350.0,8.0,0.0,0.04,34.0,427.0,744.0,2014,20.0,350.0,135.0,100.0,84.0,40.0
Bharuch,Kalak,7.6,1064.0,300.0,81.0,0.0,0.25,34.0,366.0,713.0,2014,14.0,340.0,142.0,119.0,80.0,13.5
Bharuch,Kavi,7.9,3250.0,700.0,240.0,0.0,0.32,72.0,854.0,2178.0,2014,180.0,350.0,404.0,270.0,20.0,600.0
Bharuch,Sarod,8.0,2300.0,820.0,36.0,0.0,0.58,137.0,1000.0,1541.0,2014,4.0,700.0,206.0,210.0,52.0,5.3
Bharuch,Tankari,7.96,2434.0,740.0,30.0,0.0,0.6,74.0,903.0,1631.0,2014,14.0,420.0,333.0,346.0,44.0,69.0
Bharuch,Talodra,8.1,1169.0,310.0,88.0,0.0,0.83,82.0,378.0,783.0,2014,3.0,380.0,149.0,110.0,16.0,4.5
Bharuch,Bhensli,7.56,600.0,220.0,19.0,0.0,0.25,12.0,268.0,402.0,2014,3.0,150.0,57.0,80.0,40.0,10.8
Bharuch,Luhara,8.2,2917.0,800.0,50.0,0.0,0.15,101.0,976.0,1954.0,2014,120.0,540.0,369.0,340.0,48.0,180.0
Bharuch,Nirnavi,8.2,900.0,340.0,5.0,0.0,0.28,29.0,415.0,603.0,2014,2.0,210.0,71.0,110.0,36.0,22.0
Bharuch,Arethi,7.42,490.0,210.0,13.0,0.0,0.25,14.0,256.0,328.0,2014,2.0,180.0,21.0,35.0,48.0,0.1
Bharuch,Kavachiya,7.9,2600.0,350.0,216.0,0.0,0.4,48.0,427.0,1742.0,2014,6.0,1250.0,532.0,42.0,420.0,2.6
Bharuch,Kondh,8.0,1613.0,320.0,47.0,0.0,0.94,55.0,390.0,1081.0,2014,25.0,280.0,269.0,228.0,60.0,0.5
Bharuch,Mokhdi,7.8,1153.0,400.0,8.0,0.0,0.25,41.0,488.0,773.0,2014,13.0,440.0,92.0,51.0,108.0,4.1
Bharuch,Netrang1,8.2,747.0,220.0,46.0,0.0,0.24,46.0,268.0,500.0,2014,8.0,360.0,92.0,21.0,68.0,0.1
Bharuch,Valia,7.92,3820.0,280.0,486.0,0.0,1.2,96.0,342.0,2559.0,2014,10.0,1050.0,922.0,490.0,260.0,1.7
Bharuch,Chidra,8.0,1297.0,350.0,5.0,0.0,0.23,48.0,427.0,869.0,2014,58.0,410.0,170.0,99.0,84.0,76.0
Bharuch,Jokhala,8.1,1150.0,380.0,125.0,0.0,1.15,46.0,464.0,771.0,2014,16.0,360.0,71.0,123.0,68.0,1.9
Bharuch,Mungaj,8.12,675.0,270.0,26.0,0.0,0.35,24.0,329.0,452.0,2014,3.0,290.0,28.0,23.0,76.0,0.3
Bharuch,Pakhajan,7.86,4263.0,500.0,106.0,0.0,0.15,144.0,610.0,2856.0,2014,10.0,1100.0,1063.0,477.0,200.0,68.0
Bharuch,Sahol,7.5,6120.0,160.0,317.0,0.0,0.25,132.0,195.0,4100.0,2014,2.0,2700.0,1914.0,242.0,860.0,3.8
Bharuch,Sindhav,6.9,16130.0,630.0,20.0,0.0,1.72,816.0,769.0,10807.0,2014,26.0,5200.0,5814.0,1690.0,720.0,120.0
Bharuch,Vegra,7.9,1883.0,230.0,68.0,0.0,0.15,41.0,281.0,1262.0,2014,6.0,340.0,433.0,269.0,68.0,34.9
Bhavnagar,Bhavnagar1,8.2,1451.0,350.0,34.0,0.0,0.35,36.0,427.0,972.0,2014,38.0,250.0,227.0,226.0,40.0,0.3
Bhavnagar,Bhudel,8.0,4193.0,500.0,120.0,0.0,0.5,180.0,610.0,2809.0,2014,270.0,900.0,881.0,553.0,64.0,15.8
Bhavnagar,Bhumbhali,7.8,7366.0,340.0,599.0,0.0,0.55,158.0,415.0,4935.0,2014,8.0,1550.0,1882.0,971.0,360.0,27.7
Bhavnagar,Tardhera,7.1,2083.0,700.0,26.0,0.0,1.1,119.0,854.0,1396.0,2014,80.0,740.0,213.0,165.0,100.0,17.5
