Well D,District,Taluka,Location,Type,pH,EC,TDS,CO3,HCO3,CL,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K,SAR,Arsenic,Unnamed: 23
W213215072583001,Bharuch,ANKLESVAR,Panoli,Dug Well,8.21,5635.0,3775.0,0.0,439.0,1631.0,56.0,107.0,1.18,360.0,240.0,252.0,1650.0,552.0,2.3,5.91,4.0,
W213700072552501,Bharuch,ANKLESVAR,Sajod,Dug Well,8.15,2084.0,1396.0,0.0,866.0,205.0,10.0,26.0,2.84,710.0,24.0,17.0,180.0,398.0,2.6,12.9,12.0,
W214200073001501,Bharuch,BHARUCH,Bharuch,Dug Well,7.67,3200.0,2144.0,0.0,464.0,709.0,5.0,134.0,0.0,380.0,180.0,156.0,1100.0,201.0,3.9,2.63,4.0,
W214100072490001,Bharuch,BHARUCH,Kaswa,Dug Well,8.25,602.0,403.0,0.0,244.0,50.0,4.0,32.0,0.42,200.0,68.0,19.0,250.0,27.0,10.4,0.74,6.0,
W214100072453002,Bharuch,BHARUCH,Mahegam1,Dug Well,8.16,558.0,374.0,0.0,244.0,43.0,5.0,18.0,0.22,200.0,60.0,19.0,230.0,25.0,6.6,0.72,3.0,
W214228072495001,Bharuch,BHARUCH,Navetha,Dug Well,8.21,3431.0,2299.0,0.0,464.0,815.0,5.0,274.0,0.37,380.0,160.0,192.0,1200.0,292.0,40.5,3.66,2.0,
W212930072423001,Bharuch,HANSOT,Jetpur1,Dug Well,8.24,1678.0,1124.0,0.0,610.0,198.0,18.0,47.0,0.5,500.0,84.0,46.0,400.0,181.0,44.3,3.93,16.0,
W213115072491501,Bharuch,HANSOT,Raymal,Dug Well,7.7,647.0,433.0,0.0,195.0,99.0,3.0,38.0,0.5,160.0,52.0,19.0,210.0,62.0,3.1,1.86,1.0,
W213530072493001,Bharuch,HANSOT,Utraj,Dug Well,8.5,960.0,643.0,108.0,195.0,64.0,6.0,130.0,1.27,340.0,24.0,19.0,140.0,200.0,1.3,7.35,26.0,
W221105072355001,Bharuch,JAMBUSAR,Dahegam,Dug Well,7.89,1800.0,1206.0,0.0,378.0,276.0,70.0,45.0,0.0,310.0,164.0,31.0,540.0,123.0,44.0,2.3,8.0,
W220100072453001,Bharuch,JAMBUSAR,Kalak,Dug Well,8.24,1375.0,921.0,0.0,329.0,213.0,6.0,136.0,0.3,270.0,100.0,36.0,400.0,148.0,7.7,3.22,3.0,
W221137072382201,Bharuch,JAMBUSAR,Kavi,Dug Well,8.02,3224.0,2160.0,0.0,952.0,355.0,130.0,240.0,0.4,780.0,60.0,108.0,600.0,220.0,440.0,3.9,12.0,
W215930072403001,Bharuch,JAMBUSAR,Tankari,Dug Well,8.15,3300.0,2211.0,0.0,903.0,496.0,18.0,227.0,1.0,740.0,140.0,168.0,1050.0,300.0,55.0,4.03,9.0,
W214430073123001,Bharuch,JHAGADIA,Simodra,Dug Well,7.85,2054.0,1376.0,0.0,366.0,440.0,28.0,21.0,0.5,300.0,84.0,55.0,440.0,246.0,2.8,5.1,2.0,
W214330072450001,Bharuch,VAGRA,Bhensli,Dug Well,8.16,790.0,529.0,0.0,354.0,42.0,5.0,28.0,0.12,290.0,44.0,24.0,210.0,80.0,13.1,2.4,4.0,
W214030072333001,Bharuch,VAGRA,Luhara,Dug Well,7.86,2066.0,1384.0,0.0,817.0,170.0,58.0,20.0,0.2,670.0,64.0,50.0,370.0,219.0,110.0,4.95,24.0,
W214730072400501,Bharuch,VAGRA,Nirnavi,Dug Well,8.02,988.0,662.0,0.0,488.0,71.0,2.0,10.0,0.5,400.0,60.0,24.0,250.0,122.0,14.4,3.35,4.0,
W213450073040501,Bharuch,VALIA,Kondh,Dug Well,8.2,1897.0,1271.0,0.0,342.0,368.0,34.0,89.0,1.28,280.0,88.0,62.0,480.0,207.0,2.0,4.11,1.0,
W213415073093001,Bharuch,VALIA,Valia,Dug Well,7.8,4007.0,2685.0,0.0,354.0,780.0,9.0,628.0,1.27,290.0,240.0,144.0,1200.0,400.0,0.7,5.02,2.0,
W220736072401101,Bharuch,Jambusar,Chhindra,Dug Well,8.07,899.0,602.0,0.0,354.0,78.0,35.0,8.0,0.0,290.0,60.0,48.0,350.0,20.0,38.0,0.46,4.0,
W213545073100901,Bharuch,Valia,Jokhla,Dug Well,7.98,995.0,667.0,0.0,439.0,78.0,9.0,50.0,1.2,360.0,56.0,41.0,310.0,103.0,0.1,2.54,2.0,
W220137072381001,Bharuch,Jambusar,Sindhav,Dug Well,8.06,1132.0,758.0,0.0,415.0,135.0,3.0,6.0,0.57,340.0,56.0,26.0,250.0,135.0,16.4,3.71,12.0,
W214130072093001,Bhavnagar,BHAVNAGAR,Bhudel,Dug Well,8.18,2568.0,1721.0,0.0,805.0,369.0,87.0,29.0,0.85,660.0,56.0,91.0,520.0,354.0,12.7,6.75,4.0,
W214046072143901,Bhavnagar,BHAVNAGAR,Bhumbhali,Dug Well,8.06,3054.0,2046.0,0.0,281.0,851.0,18.0,105.0,0.7,230.0,140.0,19.0,1130.0,203.0,22.6,2.63,5.0,
W221345071361501,Bhavnagar,BOTAD,Tardhera,DCB,7.42,8460.0,5668.0,0.0,1159.0,2056.0,38.0,376.0,1.5,950.0,800.0,480.0,4000.0,144.0,42.0,0.99,2.0,
W214800071303001,Bhavnagar,GADHADA,Dhasa,Dug Well,8.34,686.0,460.0,72.0,37.0,106.0,12.0,80.0,0.2,150.0,56.0,45.0,330.0,30.0,11.5,0.72,,
W215800071344501,Bhavnagar,GADHADA,Gadhada2,Dug Well,7.87,1427.0,956.0,0.0,342.0,234.0,69.0,106.0,0.25,280.0,116.0,67.0,570.0,97.0,1.1,1.77,,
W220105071420001,Bhavnagar,GADHADA,Ningala,Dug Well,8.41,972.0,651.0,84.0,193.0,99.0,27.0,24.0,1.75,298.0,36.0,22.0,180.0,143.0,1.3,4.63,5.0,
W220330071380001,Bhavnagar,GADHADA,Tatam,Dug Well,7.94,752.0,504.0,0.0,268.0,106.0,19.0,20.0,0.6,220.0,44.0,38.0,270.0,64.0,5.1,1.69,2.0,
W213235071335501,Bhavnagar,GARIADHAR,Gariyadhar,Dug Well,7.76,2383.0,1597.0,0.0,390.0,567.0,84.0,81.0,0.14,320.0,220.0,108.0,1000.0,130.0,12.5,1.79,1.0,
W214053072163701,Bhavnagar,GHOGHA,Ghogha,Dug Well,8.22,3380.0,2265.0,0.0,500.0,567.0,84.0,329.0,0.03,410.0,140.0,156.0,1000.0,290.0,50.0,3.99,12.0,
W210815071393001,Bhavnagar,MAHUVA,Dudhala,DCB,8.22,1610.0,1079.0,0.0,427.0,177.0,34.0,157.0,0.55,350.0,80.0,62.0,460.0,154.0,5.0,3.12,2.0,
W211250071530001,Bhavnagar,MAHUVA,Longadi,Dug Well,8.34,1020.0,683.0,84.0,98.0,64.0,43.0,80.0,0.6,220.0,52.0,22.0,220.0,97.0,30.0,2.84,1.0,
W210545071460001,Bhavnagar,MAHUVA,Mahuva1,DCB,8.58,2696.0,1806.0,204.0,122.0,532.0,49.0,90.0,1.22,440.0,80.0,48.0,400.0,431.0,2.3,9.37,,
W211150071330001,Bhavnagar,MAHUVA,Motivadal,Dug Well,8.27,992.0,665.0,0.0,390.0,85.0,78.0,4.0,0.35,320.0,64.0,38.0,320.0,87.0,7.7,2.11,5.0,
W211445071390001,Bhavnagar,MAHUVA,Shantinagar,Dug Well,8.02,2452.0,1643.0,0.0,427.0,496.0,135.0,198.0,0.25,350.0,220.0,132.0,1100.0,126.0,6.6,1.65,4.0,
W213815071420001,Bhavnagar,PALITANA,Khijadiya,Dug Well,8.59,436.0,292.0,48.0,24.0,35.0,23.0,53.0,0.3,100.0,28.0,12.0,120.0,48.0,4.6,1.91,,
W213120071502001,Bhavnagar,PALITANA,Palitana2,Dug Well,7.97,1336.0,895.0,0.0,366.0,206.0,63.0,22.0,0.35,300.0,124.0,29.0,430.0,110.0,0.9,2.31,,
W213300071431501,Bhavnagar,PALITANA,Panchpipla,Dug Well,8.12,1557.0,1043.0,0.0,378.0,276.0,57.0,8.0,0.8,310.0,80.0,48.0,400.0,166.0,0.2,3.61,2.0,
W212530071544501,Bhavnagar,PALITANA,Sajnasar,Dug Well,8.1,1089.0,730.0,0.0,402.0,113.0,84.0,9.0,0.55,330.0,116.0,26.0,400.0,78.0,5.7,1.7,,
W214115071453001,Bhavnagar,SIHOR,Sandhida,Dug Well,8.24,720.0,482.0,0.0,354.0,64.0,16.0,35.0,0.34,290.0,84.0,36.0,360.0,33.0,2.7,0.76,3.0,
W211315071570001,Bhavnagar,TALAJA,Datha,Dug Well,8.78,2966.0,1987.0,84.0,390.0,674.0,5.0,165.0,1.47,460.0,100.0,168.0,950.0,300.0,4.5,4.23,2.0,
W211730071580001,Bhavnagar,TALAJA,Pasvi,Dug Well,8.16,945.0,633.0,0.0,329.0,64.0,60.0,69.0,0.65,270.0,78.0,43.0,370.0,52.0,20.6,1.18,,
W212200072010001,Bhavnagar,TALAJA,Talaja2,Dug Well,7.91,1575.0,1055.0,0.0,427.0,305.0,75.0,10.0,0.35,350.0,120.0,74.0,610.0,114.0,0.7,2.01,1.0,
W214450071420001,Bhavnagar,UMRALA,Bhutia,Dug Well,8.04,1855.0,1243.0,0.0,268.0,397.0,108.0,73.0,0.44,220.0,160.0,50.0,610.0,157.0,1.0,2.76,3.0,
W214954071455801,Bhavnagar,UMRALA,Timbi2,Dug Well,8.07,358.0,240.0,0.0,171.0,28.0,10.0,37.0,0.22,140.0,32.0,26.0,190.0,17.0,4.2,0.54,1.0,
W220550071535001,Bhavnagar,VALLABHIPUR,Lonjdhara,Dug Well,8.56,1130.0,757.0,96.0,317.0,92.0,19.0,22.0,1.49,420.0,28.0,36.0,220.0,172.0,1.2,5.04,5.0,
W220430071533001,Bhavnagar,VALLABHIPUR,Panvi1,Dug Well,8.4,2562.0,1717.0,240.0,439.0,319.0,19.0,100.0,1.5,760.0,80.0,84.0,550.0,363.0,10.5,6.73,4.0,
W215300071523001,Bhavnagar,VALLABHIPUR,Vallbhipur,Dug Well,8.47,6096.0,4084.0,180.0,232.0,1382.0,7.0,528.0,2.96,490.0,60.0,29.0,1350.0,772.0,0.8,9.14,8.0,
"W215737071531101
W214600072090001",Bhavnagar,Vallabhipur,Ayodhyapuram(,Dug Well,8.56,3968.0,2659.0,180.0,1220.0,815.0,13.0,5.0,54.35,1300.0,60.0,84.0,500.0,916.0,1.3,17.81,13.0,
W214600072090001,Bhavnagar,BHAVNAGAR,Bhavnagar1,Dug Well,8.3,1045.0,700.0,48.0,244.0,160.0,8.0,864.0,0.5,280.0,60.0,29.0,270.0,144.0,1.7,3.81,8.0,
W211128071554401,Bhavnagar,Mahuva,Bora,Dug Well,7.77,1650.0,1106.0,0.0,793.0,99.0,57.0,35.0,1.47,650.0,28.0,22.0,160.0,330.0,3.5,11.34,1.0,
W212837071482201,Bhavnagar,Palitana,Vadal,Dug Well,7.9,963.0,645.0,0.0,342.0,121.0,81.0,40.0,0.35,280.0,76.0,60.0,450.0,51.0,0.8,1.05,1.0,
W213405072115301,Bhavnagar,Ghogha,Vavdi,Dug Well,8.42,1317.0,882.0,72.0,158.0,121.0,114.0,177.0,0.8,250.0,92.0,82.0,570.0,60.0,0.6,1.09,2.0,
W224200073545001,Dohad,DEVGAD BARIA,Devgadh Baria,Dug Well,7.93,1247.0,835.0,0.0,268.0,220.0,39.0,32.0,1.05,220.0,72.0,36.0,330.0,125.0,3.1,2.99,,
W224215073501501,Dohad,DEVGAD BARIA,Khandania,Dug Well,8.07,612.0,410.0,0.0,317.0,36.0,18.0,17.0,2.5,260.0,52.0,22.0,220.0,60.0,1.3,1.76,,
W224830073533001,Dohad,DEVGAD BARIA,Salaya1,Dug Well,8.01,762.0,511.0,0.0,244.0,85.0,24.0,42.0,0.95,200.0,60.0,24.0,250.0,63.0,2.0,1.73,1.0,
W223800074061501,Dohad,DHANPUR,Dhanpur,Dug Well,7.93,962.0,645.0,0.0,256.0,92.0,105.0,40.0,1.25,210.0,60.0,39.0,310.0,74.0,2.1,1.83,,
W223450074065001,Dohad,DHANPUR,Kanjetha,Dug Well,8.21,623.0,417.0,0.0,305.0,21.0,8.0,41.0,0.9,250.0,44.0,19.0,190.0,65.0,2.8,2.05,,
W223615074021501,Dohad,DHANPUR,Tokarba,Dug Well,7.88,754.0,505.0,0.0,305.0,78.0,5.0,5.0,1.05,250.0,64.0,29.0,280.0,43.0,2.6,1.12,,
W225020074153001,Dohad,DOHAD,Dahod1 (Forest),Dug Well,8.13,2256.0,1512.0,0.0,427.0,341.0,220.0,96.0,2.6,350.0,96.0,83.0,580.0,249.0,4.7,4.5,25.0,
W224930074140001,Dohad,DOHAD,Dahod2 (Jilla Se,Dug Well,8.24,940.0,630.0,0.0,207.0,99.0,100.0,82.0,0.6,170.0,72.0,34.0,320.0,73.0,0.8,1.77,,
W224800074163001,Dohad,DOHAD,Varamkheda,Dug Well,8.14,835.0,559.0,0.0,329.0,99.0,3.0,26.0,1.33,270.0,36.0,36.0,240.0,94.0,1.7,2.64,,
W230900074030001,Dohad,FATEPURA,Sukhsar,Dug Well,8.0,749.0,502.0,0.0,342.0,43.0,39.0,35.0,1.05,280.0,52.0,32.0,230.0,84.0,1.7,2.41,,
W224050074184501,Dohad,GARBADA,Garbara,Dug Well,7.87,4865.0,3260.0,0.0,683.0,895.0,400.0,206.0,2.8,560.0,80.0,146.0,800.0,728.0,39.1,11.19,,
W224345074183001,Dohad,GARBADA,Panchwada,Dug Well,8.11,901.0,604.0,0.0,452.0,64.0,18.0,3.0,0.85,370.0,44.0,17.0,280.0,93.0,4.6,2.42,,
W230015074093001,Dohad,JHALOD,Limbdi2,Dug Well,7.96,821.0,550.0,0.0,232.0,121.0,10.0,25.0,0.9,190.0,72.0,12.0,230.0,78.0,5.6,2.24,,
W225600074120001,Dohad,JHALOD,Mirakhedi,Dug Well,7.94,797.0,534.0,0.0,305.0,50.0,70.0,39.0,1.05,250.0,84.0,22.0,300.0,56.0,0.6,1.41,,
W225015074040001,Dohad,LIMKHEDA,Dadhela,Dug Well,7.79,918.0,615.0,0.0,329.0,85.0,26.0,37.0,1.33,270.0,60.0,36.0,300.0,71.0,5.0,1.78,,
W224000074131301,Dohad,Dhanpur,Ambakatch,Dug Well,8.04,1306.0,875.0,0.0,683.0,107.0,5.0,11.0,1.25,560.0,64.0,61.0,410.0,148.0,4.2,3.18,1.0,
W224012073503001,Dohad,DEVGAD BARIA,Badpa,Dug Well,7.84,1624.0,1088.0,0.0,366.0,213.0,25.0,155.0,2.66,300.0,68.0,15.0,230.0,259.0,1.9,7.43,,
W225041074160001,Dohad,DOHAD,Dahod Urban-2,Dug Well,7.78,2294.0,1537.0,0.0,292.0,383.0,200.0,201.0,0.62,239.0,120.0,78.0,620.0,248.0,3.2,4.33,,
"W225023074140201
W230953074072201",Dohad,DOHAD,Dahod Urban-3,Dug Well,8.06,1600.0,1072.0,0.0,500.0,213.0,60.0,43.0,2.56,410.0,52.0,44.0,310.0,232.0,2.4,5.73,1.0,
"W230953074072201
W202440072531001",Dohad,JHALOD,Garada,Dug Well,8.26,789.0,529.0,0.0,268.0,50.0,11.0,83.0,0.95,220.0,72.0,17.0,250.0,64.0,2.7,1.76,,
W202440072531001,Daman,Daman,Dabhel,Dug Well,7.92,956.0,641.0,0.0,378.0,99.0,3.0,53.0,0.45,310.0,44.0,36.0,260.0,115.0,1.0,3.1,2.0,
W202635072510701,Daman,Daman,Dalwada,Dug Well,7.95,678.0,454.0,0.0,293.0,57.0,0.0,29.0,0.55,240.0,32.0,27.0,190.0,75.0,0.7,2.37,1.0,
W202240072493701,Daman,Daman,Jempur,Dug Well,8.02,928.0,622.0,0.0,415.0,76.0,8.0,59.0,0.2,340.0,20.0,36.0,200.0,146.0,18.9,4.49,,
W202607072495201,Daman,Daman,Manwad,Dug Well,8.12,696.0,466.0,0.0,317.0,36.0,3.0,33.0,0.2,260.0,36.0,24.0,190.0,73.0,3.4,2.3,1.0,
W202429072513501,Daman,Daman,Warkund,Dug Well,8.13,1453.0,974.0,0.0,476.0,227.0,12.0,23.0,1.05,390.0,40.0,71.0,390.0,166.0,0.9,3.65,,
W204253070565501,Diu,DIU,Diu,Dug Well,8.4,2947.0,1974.0,84.0,134.0,744.0,12.0,219.0,0.5,250.0,140.0,132.0,900.0,300.0,66.0,4.35,9.0,
W204230070523501,Diu,DIU,Gomti Mata,Dug Well,8.26,4000.0,2680.0,0.0,573.0,744.0,126.0,487.0,0.9,470.0,100.0,324.0,1600.0,250.0,42.0,2.72,14.0,
W204318070555901,Diu,DIU,Jalawali,Dug Well,8.16,3990.0,2673.0,0.0,159.0,1064.0,18.0,368.0,0.58,130.0,240.0,228.0,1550.0,230.0,7.1,2.54,2.0,
W231045072503001,Gandhinagar,DEHGAM,Paliya,DCB,8.26,1977.0,1325.0,0.0,634.0,249.0,140.0,19.0,1.12,520.0,48.0,122.0,620.0,180.0,1.1,3.14,,3.0
W231130072340001,Gandhinagar,GANDHINAGAR,Serthapara,DCB,8.0,2677.0,1794.0,0.0,976.0,284.0,70.0,59.0,1.3,800.0,120.0,88.0,660.0,307.0,41.2,5.2,15.0,
W215500069513001,Jamnagar,BHANVAD,Ambardi,Dug Well,7.88,1628.0,1091.0,0.0,427.0,220.0,96.0,70.0,0.68,350.0,68.0,58.0,410.0,187.0,2.9,4.02,,
W215540069474501,Jamnagar,BHANVAD,Bhanvad,Dug Well,8.09,820.0,549.0,0.0,329.0,71.0,30.0,100.0,0.35,270.0,52.0,58.0,370.0,60.0,0.4,1.36,,
W215430069494501,Jamnagar,BHANVAD,Mota kalawad,Dug Well,7.87,3157.0,2115.0,0.0,220.0,815.0,56.0,264.0,0.29,180.0,280.0,150.0,1350.0,145.0,1.1,1.72,1.0,
W223400070250001,Jamnagar,DHROL,Dhrol2,Dug Well,8.26,1372.0,919.0,0.0,500.0,163.0,16.0,55.0,0.4,410.0,52.0,38.0,290.0,195.0,4.1,4.98,2.0,
W215415069573001,Jamnagar,JAMJODHPUR,Balwa,Dug Well,8.16,1100.0,737.0,0.0,427.0,128.0,23.0,7.0,0.35,350.0,92.0,46.0,420.0,64.0,3.1,1.36,,
W220200070073001,Jamnagar,JAMJODHPUR,Seth vadala,Dug Well,7.94,1252.0,839.0,0.0,268.0,163.0,81.0,133.0,0.14,220.0,68.0,60.0,420.0,109.0,0.2,2.31,1.0,
W222615069540001,Jamnagar,JAMNAGAR,Bed,Dug Well,8.04,2456.0,1646.0,0.0,476.0,425.0,160.0,196.0,0.12,390.0,220.0,60.0,800.0,244.0,1.5,3.75,,
W222100070023001,Jamnagar,JAMNAGAR,Changa,DCB,8.06,1047.0,701.0,0.0,305.0,191.0,10.0,16.0,0.2,250.0,64.0,10.0,200.0,160.0,2.0,4.92,,
W223130070121501,Jamnagar,JAMNAGAR,Jambuda,Dug Well,7.98,1448.0,970.0,0.0,366.0,234.0,42.0,125.0,0.6,300.0,60.0,55.0,380.0,193.0,0.2,4.3,,
W222730070044501,Jamnagar,JAMNAGAR,Jamnagar2,Dug Well,7.95,1147.0,768.0,0.0,342.0,170.0,11.0,90.0,0.4,280.0,48.0,36.0,270.0,164.0,0.4,4.34,,
W222500070110001,Jamnagar,JAMNAGAR,Vijarkha,Dug Well,8.14,763.0,511.0,0.0,256.0,78.0,12.0,63.0,0.64,210.0,36.0,12.0,140.0,119.0,0.5,4.37,1.0,
W224945070334501,Jamnagar,JODIYA,Amran1,Dug Well,8.28,911.0,610.0,0.0,427.0,99.0,4.0,48.0,0.68,350.0,44.0,26.0,220.0,150.0,3.5,4.4,1.0,
W224100070190001,Jamnagar,JODIYA,Bedanpur,Dug Well,7.88,3927.0,2631.0,0.0,195.0,1028.0,102.0,324.0,0.54,160.0,320.0,216.0,1700.0,161.0,1.2,1.7,,
W224730070301501,Jamnagar,JODIYA,Dudhai2,Dug Well,8.34,925.0,620.0,72.0,110.0,135.0,2.0,60.0,0.46,210.0,28.0,29.0,190.0,128.0,1.6,4.04,1.0,
W221615070200001,Jamnagar,KALAVAD,Haripur2,DCB,8.33,768.0,515.0,108.0,24.0,71.0,56.0,73.0,0.65,200.0,48.0,31.0,250.0,80.0,1.5,2.2,1.0,
W221300070230001,Jamnagar,KALAVAD,Kalawad,Dug Well,7.95,1680.0,1126.0,0.0,378.0,227.0,87.0,126.0,0.34,310.0,104.0,65.0,530.0,141.0,5.8,2.66,1.0,
W221900070155001,Jamnagar,KALAVAD,Moti matli,Dug Well,8.23,372.0,249.0,0.0,171.0,35.0,4.0,3.0,0.3,140.0,24.0,12.0,110.0,40.0,2.8,1.66,,
W221130070320001,Jamnagar,KALAVAD,Nikava,Dug Well,7.86,1229.0,823.0,0.0,476.0,163.0,7.0,8.0,0.47,390.0,60.0,38.0,310.0,151.0,10.5,3.73,2.0,
W220345070230001,Jamnagar,KALAVAD,Toda,Dug Well,8.25,972.0,651.0,0.0,207.0,127.0,90.0,74.0,0.29,170.0,68.0,31.0,310.0,88.0,3.3,2.17,,
W215930069144501,Jamnagar,KALYANPUR,Bhogat,Dug Well,8.24,1943.0,1302.0,0.0,207.0,468.0,21.0,45.0,2.2,170.0,108.0,41.0,440.0,215.0,6.7,4.46,,
W221015069220001,Jamnagar,KALYANPUR,Juvanpur,Dug Well,8.05,761.0,510.0,0.0,281.0,78.0,41.0,21.0,0.2,230.0,68.0,22.0,260.0,63.0,0.2,1.7,1.0,
W220100069240001,Jamnagar,KALYANPUR,Kalyanpur1,Dug Well,8.28,4607.0,3087.0,0.0,476.0,1205.0,72.0,28.0,2.98,390.0,180.0,192.0,1250.0,440.0,3.9,5.41,1.0,
W220100069233001,Jamnagar,KALYANPUR,Kalyanpur2,Dug Well,7.92,1304.0,874.0,0.0,256.0,234.0,41.0,48.0,0.4,210.0,48.0,31.0,250.0,174.0,1.1,4.78,,
W215845069360001,Jamnagar,KALYANPUR,Khirsara,Dug Well,8.07,2835.0,1899.0,0.0,427.0,460.0,190.0,325.0,0.1,350.0,220.0,144.0,1130.0,170.0,4.8,2.2,2.0,
W221450069153001,Jamnagar,KALYANPUR,Pindara,Dug Well,8.08,1679.0,1125.0,0.0,220.0,284.0,2.0,233.0,0.65,180.0,108.0,50.0,480.0,162.0,10.8,3.21,,
W215935069144501,Jamnagar,KALYANPUR,Raval,Dug Well,7.92,2170.0,1454.0,0.0,207.0,539.0,27.0,47.0,0.2,170.0,144.0,53.0,580.0,198.0,0.4,3.57,1.0,
W222000069423001,Jamnagar,KHAMBHALIA,Kajuda,Dug Well,7.69,5511.0,3692.0,0.0,220.0,1489.0,100.0,476.0,0.16,180.0,280.0,420.0,2450.0,200.0,0.5,1.76,,
W221205069350001,Jamnagar,KHAMBHALIA,Kuvadia,Dug Well,8.23,1133.0,759.0,0.0,439.0,135.0,31.0,20.0,0.19,360.0,96.0,29.0,360.0,110.0,1.7,2.52,2.0,
W221820069361501,Jamnagar,KHAMBHALIA,Salaya,Dug Well,8.26,1869.0,1252.0,0.0,622.0,213.0,75.0,48.0,0.2,510.0,48.0,26.0,230.0,320.0,31.6,9.17,4.0,
W221230069300001,Jamnagar,KHAMBHALIA,Vadtara,Dug Well,8.15,2926.0,1960.0,0.0,317.0,628.0,120.0,338.0,0.2,260.0,120.0,156.0,950.0,302.0,4.2,4.26,,
W221130069574001,Jamnagar,LALPUR,Lalpur1,Dug Well,8.19,1653.0,1108.0,0.0,402.0,227.0,48.0,178.0,0.44,330.0,116.0,48.0,490.0,179.0,0.7,3.52,3.0,
W222600069023001,Jamnagar,OKHAMANDAL,Aramda,Dug Well,8.55,2710.0,1816.0,108.0,378.0,496.0,13.0,42.0,2.16,490.0,100.0,84.0,600.0,303.0,45.4,5.38,1.0,
W221445068573001,Jamnagar,OKHAMANDAL,Dwarka,Dug Well,8.11,1871.0,1254.0,0.0,293.0,376.0,75.0,22.0,0.4,240.0,72.0,38.0,340.0,240.0,30.0,5.66,,
W222200068590001,Jamnagar,OKHAMANDAL,Mojap,Dug Well,8.43,6392.0,4283.0,204.0,24.0,1702.0,4.0,262.0,1.8,360.0,200.0,132.0,1050.0,930.0,103.0,12.48,5.0,
W222230069061501,Jamnagar,OKHAMANDAL,Samrasar,Dug Well,8.21,10420.0,6981.0,0.0,464.0,3191.0,3.0,111.0,3.0,380.0,320.0,288.0,2000.0,1410.0,35.5,13.71,5.0,
W221730068580001,Jamnagar,OKHAMANDAL,Varwada,DCB,7.83,8956.0,6001.0,0.0,158.0,2801.0,46.0,268.0,1.1,130.0,380.0,240.0,1950.0,1150.0,24.3,11.32,,
W221425069073101,Jamnagar,OKHAMANDAL,Amaliya Chokri,Dug Well,8.54,3510.0,2352.0,168.0,207.0,780.0,6.0,137.0,3.0,450.0,100.0,180.0,1000.0,331.0,18.0,4.55,4.0,
W215356069192501,Jamnagar,OKHAMANDAL,Lambha 1,Dug Well,8.06,4013.0,2689.0,0.0,244.0,1134.0,78.0,194.0,0.75,200.0,240.0,96.0,1000.0,500.0,2.5,6.87,,
,Jamnagar,OKHAMANDAL,Manpur,Dug Well,7.95,1258.0,843.0,0.0,171.0,248.0,46.0,76.0,0.13,140.0,100.0,53.0,470.0,65.0,0.1,1.3,,
W213630070340001,Junagadh,BHESAN,Patla,Dug Well,7.48,1398.0,937.0,0.0,354.0,220.0,60.0,77.0,0.73,290.0,52.0,66.0,400.0,154.0,1.0,3.35,1.0,
W212620070360001,Junagadh,JUNAGADH,Bilkha,Dug Well,8.08,1085.0,727.0,0.0,427.0,128.0,14.0,14.0,0.6,350.0,84.0,54.0,430.0,60.0,2.2,1.26,1.0,
W213100070273001,Junagadh,JUNAGADH,Junagadh1,Dug Well,7.97,923.0,618.0,0.0,281.0,121.0,44.0,17.0,0.38,230.0,68.0,29.0,290.0,77.0,1.5,1.97,1.0,
W211600070123001,Junagadh,KESHOD,Kewarda,Dug Well,8.08,959.0,643.0,0.0,464.0,43.0,42.0,49.0,1.26,380.0,100.0,36.0,400.0,60.0,11.2,1.3,,
W204800070413002,Junagadh,KODINAR,Kodinar1,Dug Well,8.26,995.0,667.0,0.0,281.0,163.0,11.0,47.0,0.45,230.0,52.0,53.0,350.0,79.0,6.6,1.84,,
W210545070130001,Junagadh,MALIA,Budhecha,Dug Well,7.82,1508.0,1010.0,0.0,293.0,291.0,48.0,51.0,1.2,240.0,68.0,46.0,360.0,180.0,2.0,4.12,,
W210230070130001,Junagadh,MALIA,Chorwad,Dug Well,7.53,10600.0,7102.0,0.0,146.0,3337.0,30.0,494.0,0.26,120.0,840.0,182.0,2850.0,1185.0,4.4,9.65,,
W210850070163001,Junagadh,MALIA,Galodar,Dug Well,7.95,909.0,609.0,0.0,366.0,99.0,32.0,6.0,0.34,300.0,64.0,46.0,350.0,57.0,0.2,1.32,,
W211000070160001,Junagadh,MALIA,Juthal,Dug Well,8.14,418.0,280.0,0.0,195.0,35.0,19.0,20.0,0.3,160.0,48.0,17.0,190.0,26.0,2.8,0.82,1.0,
W210150070143001,Junagadh,MALIA,Kanek,Dug Well,7.73,7575.0,5075.0,0.0,305.0,2308.0,21.0,234.0,0.38,250.0,760.0,158.0,2550.0,579.0,40.8,4.99,,
W210240070113001,Junagadh,MALIA,Khambalia,Dug Well,7.43,7383.0,4947.0,0.0,146.0,2308.0,24.0,253.0,0.26,120.0,660.0,170.0,2350.0,621.0,4.5,5.57,,
W210315070123001,Junagadh,MALIA,Kukaswada,Dug Well,7.81,3779.0,2532.0,0.0,281.0,937.0,35.0,259.0,0.3,230.0,224.0,10.0,600.0,583.0,19.5,10.35,,
W212915070050001,Junagadh,MANAVADAR,Bantva,Dug Well,7.67,6235.0,4177.0,0.0,232.0,1747.0,2.0,402.0,0.3,190.0,296.0,215.0,1620.0,684.0,5.2,7.39,1.0,
