Well D,District,Taluka,Location,Type,pH,EC,TDS,CO3,HCO3,CL,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K,SAR,Arsenic,Unnamed: 23
W223600073140001,Vadodara,SAVLI,Rasulpur,Dug Well,8.15,1566.0,1049.0,0.0,476.0,277.0,31.0,15.0,0.5,390.0,80.0,41.0,370.0,196.0,25.0,4.43,4.0,
W222900073121001,Vadodara,SAVLI,Tundav,Dug Well,8.26,1018.0,682.0,0.0,366.0,99.0,44.0,72.0,0.4,300.0,44.0,60.0,360.0,46.0,77.0,1.05,4.0,
W224450073212001,Vadodara,SAVLI,Vejpur2,Dug Well,8.98,937.0,628.0,108.0,73.0,113.0,3.0,90.0,0.3,240.0,24.0,31.0,190.0,142.0,39.0,4.48,1.0,
W215445073203001,Vadodara,SINOR,Sinor,Dug Well,8.22,1277.0,856.0,0.0,525.0,121.0,7.0,42.0,0.44,430.0,64.0,89.0,530.0,57.0,4.1,1.08,,
W221630073263001,Vadodara,VAGHODIA,Patiyapura,Dug Well,8.23,1434.0,961.0,0.0,464.0,184.0,55.0,73.0,0.8,380.0,84.0,82.0,550.0,99.0,6.2,1.84,3.0,
W221700073301001,Vadodara,VAGHODIA,Saidal,Dug Well,7.93,5132.0,3438.0,0.0,427.0,1028.0,130.0,545.0,0.8,350.0,220.0,278.0,1700.0,365.0,88.8,3.85,4.0,
W221736073115401,Vadodara,Vadodara City,Kevada Bag,Dug Well,8.64,1594.0,1068.0,132.0,317.0,149.0,30.0,114.0,1.34,480.0,24.0,34.0,200.0,294.0,6.3,9.04,7.0,
W221609073124601,Vadodara,Vadodara City,ONGC,Dug Well,8.36,3387.0,2269.0,84.0,573.0,638.0,5.0,187.0,1.34,610.0,100.0,108.0,700.0,471.0,5.1,7.74,3.0,
W203100073171501,Valsad,DHARAMPUR,Awadha,Dug Well,8.01,508.0,340.0,0.0,256.0,36.0,3.0,14.0,0.1,210.0,52.0,22.0,220.0,27.0,0.1,0.79,2.0,
W203130073102001,Valsad,DHARAMPUR,Dharampur3,Dug Well,7.96,687.0,460.0,0.0,281.0,78.0,2.0,17.0,0.25,230.0,56.0,29.0,260.0,47.0,0.1,1.27,2.0,
W202800073093001,Valsad,DHARAMPUR,Lakadmal,Dug Well,8.2,428.0,287.0,0.0,146.0,43.0,2.0,6.0,0.55,120.0,40.0,15.0,160.0,14.0,0.8,0.48,3.0,
W202030073130001,Valsad,KAPRADA,Kaparda,Dug Well,8.13,210.0,141.0,0.0,98.0,21.0,1.0,9.0,0.1,80.0,28.0,5.0,90.0,14.0,4.3,0.64,2.0,
W202145072583001,Valsad,PARDI,Karwad,Dug Well,8.24,874.0,586.0,0.0,378.0,85.0,2.0,18.0,0.05,310.0,72.0,29.0,300.0,70.0,11.2,1.76,2.0,
W203036072554101,Valsad,PARDI,Udwada,Dug Well,7.98,936.0,627.0,0.0,329.0,99.0,26.0,27.0,0.3,270.0,80.0,41.0,370.0,42.0,0.5,0.95,2.0,
W201530072530001,Valsad,UMBERGAON,Dahli (bhilad),Dug Well,8.17,843.0,565.0,0.0,366.0,78.0,15.0,27.0,0.2,300.0,76.0,34.0,330.0,56.0,0.1,1.34,2.0,
W201930072503001,Valsad,UMBERGAON,Kanadu,Dug Well,8.19,494.0,331.0,0.0,232.0,36.0,1.0,8.0,0.35,190.0,48.0,19.0,200.0,24.0,0.4,0.74,2.0,
W201300072503001,Valsad,UMBERGAON,Tumb,Dug Well,8.25,764.0,512.0,0.0,342.0,71.0,0.0,35.0,0.7,280.0,44.0,39.0,270.0,69.0,2.2,1.83,2.0,
W203800073013001,Valsad,VALSAD,Muli1,Dug Well,8.11,2423.0,1623.0,0.0,342.0,447.0,2.0,280.0,0.65,280.0,56.0,61.0,390.0,379.0,2.2,8.34,2.0,
W201130072450001,Valsad,UMBERGAON,Umargaon,Dug Well,8.12,934.0,626.0,0.0,329.0,107.0,14.0,15.0,0.15,270.0,56.0,39.0,300.0,69.0,5.3,1.73,3.0,
