pH,EC,TDS,Alk,TH,F,Cl,NO3,SO4,Ca,Mg,qi_wi,WQI,WQI_CLASSIF
79.99999999999996,5546.666666666667,1114.9,859.0166666666667,483.6666666666667,66.66666666666667,2070.4,57.77777777777778,328.8,202.66666666666666,866.6666666666666,0.05239603118153579,142.15935083632195,Unsuitable
23.33333333333331,238.33333333333334,47.9,241.66666666666666,93.33333333333333,30.666666666666668,20.0,0.5111111111111111,7.2,74.66666666666667,113.33333333333333,0.01313041104459213,35.6250400692768,Good
72.0,936.6666666666666,188.3,225.0,40.0,21.333333333333332,238.4,10.88888888888889,92.0,21.333333333333332,63.333333333333336,0.013433107931625811,36.446308245329945,Good
22.666666666666657,2039.3333333333333,409.9,959.1,206.66666666666666,233.33333333333334,448.0,46.666666666666664,158.8,197.33333333333334,203.33333333333334,0.07856488017429196,213.15989230967926,Unsuitable
46.66666666666668,414.3333333333333,83.3,241.66666666666666,70.0,48.666666666666664,73.6,4.888888888888889,25.6,58.666666666666664,80.0,0.019159917949750707,51.98411857525573,Poor
32.00000000000003,1666.0,334.9,233.33333333333334,183.33333333333334,34.666666666666664,436.8,24.444444444444443,232.0,202.66666666666666,136.66666666666666,0.019241930057426023,52.20663138252251,Poor
79.99999999999996,2442.6666666666665,491.0,775.8333333333334,227.0,333.3333333333333,618.4,488.8888888888889,197.6,96.0,406.6666666666667,0.11615668347949201,315.1528531146412,Unsuitable
73.33333333333331,986.6666666666666,198.3,291.6666666666667,183.33333333333334,53.333333333333336,107.6,95.55555555555556,319.2,176.0,180.0,0.026424027541299747,71.6928843090699,Poor
79.3333333333333,2446.0,491.646,884.0416666666665,126.66666666666667,253.33333333333334,479.2,73.33333333333333,400.8,42.666666666666664,243.33333333333334,0.08759918793962031,237.67150699142653,Unsuitable
78.66666666666664,421.3333333333333,84.7,341.6666666666667,56.666666666666664,160.0,56.8,108.88888888888889,12.0,26.666666666666668,96.66666666666667,0.05324351052403534,144.45870654056438,Unsuitable
72.0,236.0,47.4,200.0,80.0,48.666666666666664,22.8,82.22222222222223,12.0,53.44,113.33333333333333,0.021066850539780187,57.1579512678118,Poor
79.3333333333333,245.0,49.2,275.0,103.33333333333333,24.666666666666668,14.0,24.444444444444443,6.8,58.666666666666664,163.33333333333334,0.015181862226372031,41.1909762995195,Good
5.333333333333338,145.33333333333334,29.2,125.0,26.666666666666668,34.0,14.0,0.8666666666666667,15.2,32.0,16.333333333333336,0.010943482360264368,29.691530315222682,Good
76.66666666666669,638.6666666666666,128.4,191.66666666666666,113.33333333333333,58.666666666666664,96.4,44.44444444444444,180.0,74.66666666666667,163.33333333333334,0.0255866647748424,69.42097659755544,Poor
79.3333333333333,332.0,66.7,391.6666666666667,33.333333333333336,166.66666666666666,11.2,44.44444444444444,7.6,37.333333333333336,24.333333333333332,0.053514518622263724,145.19399763889302,Unsuitable
78.66666666666664,351.6666666666667,70.7,266.6666666666667,73.33333333333333,33.333333333333336,59.6,26.666666666666668,16.4,48.0,106.66666666666667,0.016923891268925875,45.917397599817214,Good
56.66666666666665,148.0,29.7,150.0,53.333333333333336,26.666666666666668,11.2,12.222222222222221,7.6,53.333333333333336,50.0,0.01223522616453989,33.196251121774175,Good
72.66666666666666,202.33333333333334,40.7,208.33333333333334,70.0,26.666666666666668,14.0,11.555555555555555,9.2,53.333333333333336,90.0,0.013895835087847778,37.701765780175315,Good
66.00000000000001,405.0,81.4,166.66666666666666,170.0,28.0,62.4,386.6666666666667,22.8,170.66666666666666,153.33333333333334,0.019385877043627913,52.597184057063956,Poor
72.66666666666666,128.33333333333334,25.8,125.0,46.666666666666664,26.666666666666668,11.2,10.666666666666666,6.4,32.0,63.333333333333336,0.012950761428754511,35.137620083648756,Good
79.3333333333333,155.0,31.2,175.0,50.0,24.0,5.6,15.333333333333334,4.0,42.666666666666664,56.666666666666664,0.012749209461562404,34.590775290833406,Good
71.33333333333336,206.66666666666666,41.5,216.66666666666666,60.0,36.66666666666667,14.0,31.11111111111111,7.2,53.333333333333336,63.333333333333336,0.016458372268297303,44.65436531590156,Good
50.66666666666665,426.0,85.6,250.0,136.66666666666666,22.0,68.0,208.88888888888889,34.0,96.0,186.66666666666666,0.015640393865607245,42.43505068266788,Good
54.666666666666686,435.3333333333333,87.5,208.33333333333334,123.33333333333333,14.666666666666666,79.6,151.11111111111111,40.4,80.0,180.0,0.01294103992359471,35.11124398546909,Good
67.99999999999997,432.0,86.8,408.3333333333333,76.66666666666667,73.33333333333334,42.4,77.77777777777777,16.4,37.333333333333336,130.0,0.028936440502126785,78.50948830540077,Very Poor
53.99999999999997,1196.3333333333333,240.5,275.0,367.0,30.666666666666668,312.0,511.1111111111111,104.0,176.0,623.3333333333334,0.02970047585482995,80.58244626246369,Very Poor
26.66666666666669,426.6666666666667,85.8,216.66666666666666,136.66666666666666,9.333333333333334,79.6,111.11111111111111,38.4,133.33333333333334,130.0,0.009319687971048988,25.285899753954773,Good
