"SN","Well D","District","Taluka","Location","Type","pH","EC","TDS","CO3","HCO3","CI","NO3","SO4","F","Alk","Ca","Mg","TH","Na","K","SAR","Arsenic",""
"1","W220900071533001","Ahmedabad","BARWALA","Barvala","Dug Well","7.84","5440","3645","0","1281","815","32","407","4.50","1050","80","144","800","863","2.0","13.27","6",""
"2","W230200072264501","Ahmedabad","DASKROI","Ghuma","Dug Well","8.18","3796","2543","0","598","815","21","270","0.61","490","140","120","850","318","320,0","4.74","1",""
"3","W222230071591001","Ahmedabad","DHANDHUKA","Dhandhuka1","Dug Well","8.28","385","258","0","171","14","2","36","0.35","140","36","19","170","14","1.9","0,47","2",""
"4","W222130072100001","Ahmedabad","DHANDHUKA","Gamph","Dug Well","7.99","4185","2804","0","500","1028","15","84","0.96","410","80","144","800","543","47.0","8.35","6",""
"5","W221745071565001","Ahmedabad","DHANDHUKA","Tagadi1","Dug Well","8.21","1207","809","0","390","135","3","107","1.92","320","52","26","240","180","7.8","5,05","1",""
"6","W232200071580001","Ahmedabad","MANDAL","Dalod","Dug Well","8.03","15440","10345","0","342","4402","50","992","2.80","280","240","134","1650","2760","43.0","29.54","7",""
"7","W231630071550001","Ahmedabad","MANDAL","Mandal2","Dug Well","8.22","3494","2341","0","268","951","3","173","0.45","220","80","107","640","516","5,5","8,87","5",""
"8","W221610071420001","Ahmedabad","RANPUR","Kundali","Dug Well","8.19","1027","688","0","378","120","42","33","0.61","310","40","58","340","97","0.4","2.29","2",""
"9","W221830071413001","Ahmedabad","RANPUR","Rajpada","Dug Well","8.10","1063","712","0","342","120","31","56","0.82","280","68","43","350","86","1.6","2.00","3",""
"10","W231620072033001","Ahmedabad","VIRAMGAM","Endla","Dug Well","8.52","616","413","18","159","149","0","1","0,80","160","28","32","200","81","10.7","2.49","5",""
"11","W230830072020001","Ahmedabad","VIRAMGAM","Viramgam2","Dug Well","8.69","4928","3302","48","281","1250","6","351","1.32","310","332","63","340","980","10.7","23.11","6",""
"12","W213630071133001","Amreli","AMRELI","Amreli","Dug Well","8.00","1424","954","0","549","170","22","116","0,35","450","564","41","580","116","3.3","2.09","2",""
"13","W213845071063001","Amreli","AMRELI","Ankadia mota","Dug Well","7.95","1334","894","0","378","170","115","60","0,48","310","68","48","370","156","3.2","3.53","1",""
"14","W213230071093001","Amreli","AMRELI","Govadka","Dug Well","8.01","2548","1707","0","305","532","105","263","0.31","250","120","168","1000","170","2.8","2.34","2",""
"15","W215500071130001","Amreli","BABRA","Untvad","Dug Well","8.01","855","573","0","317","78","45","42","0.30","260","92","29","350","47","3.0","1.09","4",""
"16","W212845070574501","Amreli","BAGASARA","Bagasara","Dug Well","7.75","1900","1273","0","390","227","225","255","0,50","320","120","14","360","337","0.4","7.72","1",""
"17","W213500070580001","Amreli","BAGASARA","Vaghania juna","Dug Well","8.22","935","626","0","354","128","41","8","0.45","290","56","24","240","127","9.4","3.56","5",""
"18","W212500071100001","Amreli","DHARI","Chalala","Dug Well","8.23","620","415","0","183","78","20","70","0.36","150","48","22","210","65","1.6","1.95","2",""
"19","W212000071120001","Amreli","DHARI","Dharangani","Dug Well","8.20","294","197","0","110","28","6","15","0.00","90","24","14","120","14","2.3","0,56","2",""
"20","W212015071023001","Amreli","DHARI","Dhari","Dug Well","7.73","1708","1144","0","354","241","125","109","0.20","290","84","84","560","133","0.6","2.44","3",""
"21","W212350071130001","Amreli","DHARI","Kerala","Dug Well","8.17","1642","1100","0","525","241","32","35","0.23","430","28","29","190","298","0.7","9.40","5",""
"22","W212234071070701","Amreli","DHARI","Morjhar","Dug Well","8.03","560","375","0","220","57","9","17","0.23","180","48","17","190","45","1.2","1.42","4",""
"23","W211515071090001","Amreli","DHARI","Virpur","Dug Well","7.93","1100","737","0","451","78","114","14","0.24","370","92","50","440","68","1.1","1.41","4",""
"24","W205205071214501","Amreli","JAFRABAD","Bherai","Dug Well","8.24","898","602","0","281","149","12","3","0.44","230","20","10","90","161","11.4","7.38","6",""
"25","W205200071214501","Amreli","JAFRABAD","Jafrabad","Dug Well","8.10","1746","1170","0","232","383","22","21","0.36","190","48","43","300","220","54.0","5.52","20",""
"26","W205530071211501","Amreli","JAFRABAD","Nageshri","Dug Well","8.05","640","429","0","268","57","15","55","0.25","220","52","31","210","74","12.8","2.22","4",""
"27","W205345071121501","Amreli","JAFRABAD","Timbi2","Dug Well","7.91","665","446","0","183","106","37","54","0.40","150","36","22","180","96","8.7","3.11","3",""
"28","W210630071153001","Amreli","KHAMBHA","Bhavardi1","Dug Well","8.24","899","602","0","329","71","90","32","0.50","270","76","38","350","59","1.6","1,37","3",""
"29","W211400071120001","Amreli","KHAMBHA","Ingorala","Dug Well","7,95","956","641","0","354","57","76","93","0.42","290","48","67","400","60","0.4","1.30","3",""
"30","W210900071142001","Amreli","KHAMBHA","Khamba","Dug Well","8.28","925","620","0","310","50","39","182","0.30","254","52","24","280","123","3.9","3.20","3",""
"31","W210100071165001","Amreli","KHAMBHA","Trakuda","Dug Well","8.17","190","127","0","73","21","11","27","0.02","60","28","10","110","8","1.2","0,33","3",""
"32","W211400071150001","Amreli","KHAMBHA","Vankiya","Dug Well","8.17","890","596","0","403","57","57","20","0.33","330","68","41","340","64","0.6","1.51","8",""
"33","W211557071202001","Amreli","KUNDLA-SAVAR","Badhda","Dug Well","7.96","2250","1508","0","329","248","230","370","0.35","270","200","120","1000","90","1.3","1.24","3",""
"34","W212558071215001","Amreli","KUNDLA-SAVAR","Bhuva","Dug Well","8.22","9175","6147","0","671","2304","210","361","0.80","550","120","324","1650","1260","88.0","13.49","2",""
"35","W212330071174501","Amreli","KUNDLA-SAVAR","Charkhadia1","Dug Well","8.24","1322","886","0","549","106","66","21","0.65","450","24","17","130","252","4.1","9.61","4",""
"36","W211330071244001","Amreli","KUNDLA-SAVAR","Goradka","Dug Well","7.73","1595","1069","0","268","163","220","139","0.20","220","124","77","630","67","0.4","1.16","3",""
"37","W212300071280001","Amreli","KUNDLA-SAVAR","Piyava","Dug Well","8.28","1200","804","0","573","99","33","13","0.25","470","32","29","200","208","0.9","6.39","3",""
"38","W213945070590001","Amreli","KUNKAVAV-VADIA","Kunkavav","Dug Well","8.05","1116","748","0","329","184","60","106","0.34","270","64","50","370","148","1.9","3.35","2",""
"39","W214900071244501","Amreli","LATHI","Chavand","Dug Well","8.18","503","337","0","305","28","5","17","0.48","250","32","29","200","52","0.3","1.60","3",""
"40","W214315071230001","Amreli","LATHI","Lathi","Dug Well","8.42","830","556","72","183","80","22","100","0.60","270","52","14","190","146","2.3","4.61","4",""
"41","W213730071234501","Amreli","LATHI","Luvariya","Dug Well","8.43","644","431","72","207","43","11","24","1.50","290","16","2","50","156","0.2","9.59","8",""
"42","W214330071280001","Amreli","LATHI","Tajpur","Dug Well","7.94","335","224","0","146","28","7","25","0.73","120","28","19","150","20","4.4","0.71","4",""
"43","W213130071213001","Amreli","LILIA","Punjapadar","Dug Well","8.03","560","375","0","293","35","9","9","0.36","240","24","7","90","100","8.4","4.58","2",""
"44","W210045071323001","Amreli","RAJULA","Victor","Dug Well","8.25","1530","1025","0","537","234","10","2","2.50","440","12","29","150","295","18.1","10.47","4",""
"45","W205829071244601","Amreli","Jafrabad","Hinderana(","Dug Well","8.28","1193","799","0","268","220","14","35","0.73","220","20","14","110","218","3.9","9.04","3",""
"46","W212610071322501","Amreli","Savar Kundla","Fifad","Dug Well","8.17","2749","1842","0","402","532","185","112","0.45","330","100","156","900","210","13.0","3.04","3",""
"47","W212244071365301","Amreli","Savar Kundla","Hipavadli","Dug Well","8.46","2071","1388","22","647","57","80","320","1.10","567","20","26","160","409","0.8","14.06","3",""
"48","W205430071213701","Amreli","Jafrabad","Kadiyali","Dug Well","8.42","817","547","72","110","85","11","131","0.80","210","32","31","190","133","6.7","4.20","5",""
"49","W212323071302701","Amreli","Savar Kundla","Vanda","Dug Well","8.53","2757","1847","120","1098","461","20","59","1.00","1100","60","97","550","593","1.4","10.99","5",""
"50","W223430072582001","Anand","ANAND","Anand","Dug Well","7.76","1621","1086","0","549","177","44","28","0.22","450","84","74","520","114","2.8","2.17","3",""
"51","W224249073073601","Anand","UMRETH","Parvata","Dug Well","8.05","1333","893","0","525","113","30","27","0.66","430","52","46","320","150","1.0","3.65","2",""
"52","W222300073003001","Anand","ANKLAV","Anklav2","Dug Well","7.97","1191","798","0","500","99","44","11","0.10","410","32","62","340","119","1.8","2.81","1",""
"53","W222120072535001","Anand","BORSAD","Bhadran","Dug Well","7.50","977","655","0","354","92","2","31","0.00","290","72","55","410","21","3.0","0.45","9",""
"54","W221845072574501","Anand","BORSAD","Navapura","Dug Well","8.04","1510","1012","0","732","121","29","9","0.30","600","72","72","480","150","5.9","2.98","5",""
"55","W222045072500001","Anand","BORSAD","Ras","Dug Well","8.21","2085","1397","0","842","227","26","2","1.00","690","48","10","160","400","7.3","13.75","12",""
"56","W221630072460001","Anand","CAMBAY","Dali","DCB","8.12","4227","2832","0","1061","674","24","207","0.90","870","96","79","570","690","16.3","12.57","10",""
"57","W222030072390001","Anand","CAMBAY","Kansari1","Dug Well","7.80","4295","2878","0","805","922","46","85","0.57","660","260","36","800","600","8.8","9.22","8",""
"58","W222500072363001","Anand","CAMBAY","Laxmipura","Dug Well","8.17","4319","2894","0","866","815","9","222","0.90","710","120","60","550","720","3.2","13.35","3",""
"59","W223230072490001","Anand","PETLAD","Bandhani","Dug Well","7.88","754","505","0","256","92","16","12","0.50","210","68","12","220","68","11.6","1.99","4",""
"60","W224130073031501","Anand","UMRETH","Ghora","Dug Well","7.75","1948","1305","0","549","248","80","25","0.02","450","172","31","560","154","2.1","2.83","8",""
"61","W222843073014901","Anand","ANAND","Adas_DW","Dug Well","7.54","1270","851","0","525","92","90","13","0.30","430","44","91","490","73","1.0","1.43","1",""
"62","W223756073001501","Anand","Anand","Boriyavi","Dug Well","8.00","1377","923","0","561","156","8","5","0.00","460","88","43","400","120","28.0","2.61","9",""
"63","W222515072474001","Anand","PETLAD","Dharmaj","Dug Well","8.29","1844","1235","0","708","184","65","49","0.48","580","40","31","230","330","2.1","9.46","4",""
"64","W223039072340001","Anand","Tarapur","Tol","Dug Well","8.28","637","427","0","232","64","6","49","0.40","190","48","22","210","59","5.1","1.77","6",""
"65","W242420072383001","Banaskantha","AMIRGADH","Amirgadh","Dug Well","7.56","3704","2482","0","476","852","115","132","0.75","390","96","185","1000","386","3.8","5.31","",""
"66","W242045072321501","Banaskantha","AMIRGADH","Iqbalgarh","Dug Well","7.74","1149","770","0","354","149","70","10","0.70","290","76","46","380","88","2.3","1.96","",""
"67","W242340072374001","Banaskantha","AMIRGADH","Kidotar","Dug Well","7.94","1602","1073","0","793","121","36","17","0.90","650","96","56","470","185","9.0","3.71","1",""
"68","W241750072565001","Banaskantha","DANTA","Ganapipli","Dug Well","8.12","885","593","0","354","78","41","19","1.80","290","68","29","290","78","2.4","1.99","2",""
"69","W241000072434001","Banaskantha","DANTA","Mohabbat gadh","Dug Well","7.61","1783","1195","0","281","341","95","63","0,95","230","200","19","580","130","3.6","2.35","",""
"70","W241030072444501","Banaskantha","DANTA","Ratanpur2","Dug Well","7.89","1185","794","0","305","156","110","21","0.35","250","128","19","400","85","3.1","1.85","",""
"71","W242610072215501","Banaskantha","DANTIWADA","Gangodra","Dug Well","8.27","1902","1274","0","415","391","16","58","0.95","340","84","63","470","232","6.9","4.65","",""
"72","W242405072174501","Banaskantha","DANTIWADA","Sodapur","Dug Well","8.28","1063","712","0","354","149","18","25","1.15","290","24","19","140","187","2.8","6.87","",""
"73","W242350072170501","Banaskantha","DEESA","Meda","Dug Well","8.06","1054","706","0","423","121","18","14","0.40","347","112","41","450","46","7.5","0,94","",""
"74","W241140072260001","Banaskantha","PALANPUR","Palanpur2","Dug Well","8.28","1374","921","0","439","185","95","7","0.92","360","52","19","210","230","1.1","6.90","",""
"75","W243150071323001","Banaskantha","THARAD","Bharol","Dug Well","8.26","615","412","0","329","43","8","10","0.20","270","60","12","200","40","48.6","1.23","2",""
"76","W243930071460001","Banaskantha","THARAD","Khoda","Dug Well","8.25","4028","2699","0","890","753","29","143","2.30","730","72","68","460","701","35.5","14.21","",""
"77","W241830072193001","Banaskantha","DANTIWADA","Dantiwada1","Dug Well","8.13","478","320","0","171","57","19","6","0.65","140","56","10","180","30","2.2","0.97","",""
"78","W215500072473001","Bharuch","AMOD","Roja tankaria","Dug Well","8.23","707","474","0","281","99","4","3","0.36","230","60","22","240","64","8.6","1.80","2",""
"79","W214030072583001","Bharuch","ANKLESVAR","Juna borbhata","Dug Well","8.20","1923","1288","0","814","262","13","12","0.36","667","100","79","580","201","39.0","3.63","7",""
"80","W213320072531501","Bharuch","ANKLESVAR","Motwan","Dug Well","8.18","1983","1329","0","427","383","3","57","0.74","350","72","46","370","272","5.5","6.15","1",""
"81","W214100073011001","Bharuch","ANKLESVAR","Mulad","Dug Well","7.98","3008","2015","0","263","608","42","389","1.00","216","280","12","750","357","23.0","5.67","2",""
"82","W213215072583001","Bharuch","ANKLESVAR","Panoli","Dug Well","8.21","5635","3775","0","439","1631","56","107","1.18","360","240","252","1650","552","2.3","5.91","4",""
"83","W213700072552501","Bharuch","ANKLESVAR","Sajod","Dug Well","8.15","2084","1396","0","866","205","10","26","2.84","710","24","17","180","398","2.6","12.90","12",""
"84","W214200073001501","Bharuch","BHARUCH","Bharuch","Dug Well","7.67","3200","2144","0","464","709","5","134","0.00","380","180","156","1100","201","3.9","2.63","4",""
"85","W214100072490001","Bharuch","BHARUCH","Kaswa","Dug Well","8.25","602","403","0","244","50","4","32","0.42","200","68","19","250","27","10.4","0.74","6",""
"86","W214100072453002","Bharuch","BHARUCH","Mahegam1","Dug Well","8.16","558","374","0","244","43","5","18","0.22","200","60","19","230","25","6.6","0.72","3",""
"87","W214228072495001","Bharuch","BHARUCH","Navetha","Dug Well","8.21","3431","2299","0","464","815","5","274","0.37","380","160","192","1200","292","40.5","3.66","2",""
"88","W212930072423001","Bharuch","HANSOT","Jetpur1","Dug Well","8.24","1678","1124","0","610","198","18","47","0.50","500","84","46","400","181","44.3","3.93","16",""
"89","W213115072491501","Bharuch","HANSOT","Raymal","Dug Well","7.70","647","433","0","195","99","3","38","0.50","160","52","19","210","62","3.1","1.86","1",""
"90","W213530072493001","Bharuch","HANSOT","Utraj","Dug Well","8.50","960","643","108","195","64","6","130","1.27","340","24","19","140","200","1.3","7.35","26",""
"91","W221105072355001","Bharuch","JAMBUSAR","Dahegam","Dug Well","7.89","1800","1206","0","378","276","70","45","0.00","310","164","31","540","123","44.0","2.30","8",""
"92","W220100072453001","Bharuch","JAMBUSAR","Kalak","Dug Well","8.24","1375","921","0","329","213","6","136","0.30","270","100","36","400","148","7.7","3.22","3",""
"93","W221137072382201","Bharuch","JAMBUSAR","Kavi","Dug Well","8.02","3224","2160","0","952","355","130","240","0.40","780","60","108","600","220","440.0","3.90","12",""
"94","W215930072403001","Bharuch","JAMBUSAR","Tankari","Dug Well","8.15","3300","2211","0","903","496","18","227","1.00","740","140","168","1050","300","55.0","4.03","9",""
"95","W214430073123001","Bharuch","JHAGADIA","Simodra","Dug Well","7.85","2054","1376","0","366","440","28","21","0.50","300","84","55","440","246","2.8","5.10","2",""
"96","W214330072450001","Bharuch","VAGRA","Bhensli","Dug Well","8.16","790","529","0","354","42","5","28","0.12","290","44","24","210","80","13.1","2.40","4",""
