"SN","District","Location","pH","EC","TDS","CO3","HCO3","CI","NO3","SO4","F","Alk","Ca","Mg","TH","Na","K","Fe","SAR"
"611","Vadodara","Masor","8.60","2340","1568","120","656","248","5","179","3.20","738","60","84","500","364","0.3","","7.08"
"612","Vadodara","Alladpur","7.86","1631","1093","0","720","149","8","56","0.85","590","88","67","500","170","3.6","","3.31"
"613","Vadodara","Bodeli","7.76","1462","980","0","464","213","30","121","0.45","380","84","31","340","228","0.7","","5.38"
"614","Vadodara","Govindpura","7.50","7163","4799","0","586","2127","60","25","1.03","480","260","300","1900","780","4.4","","7.78"
"615","Vadodara","Makni","8.10","1923","1288","0","891","149","8","50","0.60","730","120","86","660","73","117.0","","1.24"
"616","Vadodara","Chhaliyar","8.16","880","590","0","439","43","19","65","0.77","360","60","48","350","72","0.6","","1.67"
"617","Vadodara","Juna samalya","8.27","986","661","0","354","135","7","30","0.65","290","32","29","200","148","0.1","","4.55"
"618","Vadodara","Rasulpur","7.80","1837","1231","0","476","305","25","63","0.45","390","100","43","430","222","22.0","0.00","4.65"
"619","Vadodara","Tundav","8.10","1342","899","0","451","142","60","15","0.50","370","72","58","420","62","68.0","","1.32"
"620","Vadodara","Vejpur2","8.28","3412","2286","0","1061","638","5","14","1.68","870","100","60","500","600","6.2","","11.67"
"621","Vadodara","Patiyapura","7.90","2610","1749","0","537","425","100","256","0.50","440","200","168","1200","90","5.9","","1.13"
"622","Vadodara","Saidal","8.20","539","361","0","268","28","4","18","0.48","220","32","17","150","61","3.5","","2.17"
"623","Vadodara","Ghodisimel","8.00","2040","1367","0","464","411","3","91","0.53","380","76","55","420","297","9.2","0.10","6.30"
"624","Vadodara","Kevdabagh","8.20","1488","997","0","647","128","30","32","1.40","530","32","17","150","287","6.3","0.20","10.19"
"625","Vadodara","ONGC Campus","8.10","2925","1960","0","573","638","12","251","0.90","470","140","72","650","462","8.9","0.45","7.88"
"626","Valsad","Awadha","8.01","510","342","0","183","64","12","49","0.25","150","72","22","270","15","0.1","0.00","0.40"
"627","Valsad","Dharampur2","7.98","600","402","0","207","85","2","13","0.38","170","60","17","220","40","0.1","","1.17"
