District,Taluka,Location,pH,EC,TDS,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,NO3,SO4,F,Alk,Fe
Amreli,DHARI,Morjhar,8.0,734.0,492.0,230.0,28.0,39.0,66.0,0.8,0.0,244.0,107.0,18.0,5.0,0.31,200.0,0.000
Amreli,JAFRABAD,Nageshri,7.55,3189.0,2137.0,1100.0,184.0,157.0,215.0,9.9,0.0,232.0,639.0,320.0,198.0,0.15,190.0,0.042
Amreli,KUNDLA-SAVAR,Piyava,8.28,1484.0,994.0,180.0,12.0,36.0,280.0,0.3,0.0,549.0,78.0,41.0,185.0,0.65,450.0,0.230
Amreli,LILIA,Punjapadar,8.42,993.0,665.0,70.0,24.0,2.0,189.0,4.7,96.0,256.0,43.0,8.0,38.0,1.25,370.0,0.382
Amreli,LATHI,Tajpur,8.07,332.0,222.0,130.0,32.0,12.0,24.0,2.2,0.0,146.0,28.0,10.0,13.0,0.2,120.0,1.618
Amreli,JAFRABAD,Timbi2,7.72,2623.0,1757.0,420.0,32.0,83.0,404.0,18.4,0.0,378.0,582.0,30.0,126.0,0.7,310.0,Leaked
Amreli,KHAMBHA,Trakuda,7.99,940.0,630.0,210.0,72.0,7.0,125.0,9.8,0.0,207.0,156.0,32.0,60.0,0.42,170.0,0.000
Amreli,BABRA,Untvad,7.85,982.0,658.0,340.0,76.0,36.0,72.0,0.5,0.0,183.0,99.0,225.0,22.0,0.34,150.0,0.070
Amreli,BAGASARA,Vaghania juna,7.9,1785.0,1196.0,280.0,40.0,44.0,276.0,8.4,0.0,500.0,199.0,115.0,88.0,0.64,410.0,0.097
Amreli,AMRELI,Vankiya,8.21,936.0,627.0,110.0,24.0,12.0,181.0,1.2,0.0,378.0,99.0,31.0,24.0,0.87,310.0,0.234
Amreli,RAJULA,Victor,8.92,1322.0,886.0,90.0,10.0,12.0,248.0,11.2,48.0,403.0,128.0,4.0,27.0,1.66,410.0,0.000
Amreli,DHARI,Virpur,8.07,1024.0,686.0,450.0,104.0,46.0,61.0,14.0,0.0,488.0,78.0,25.0,48.0,0.5,400.0,0.329
Amreli,Amreli,Bhilidi,7.7,1867.0,1251.0,610.0,96.0,90.0,169.0,0.4,0.0,207.0,369.0,190.0,121.0,0.34,170.0,0.234
Amreli,Savar Kundla,Fifad,8.28,4239.0,2840.0,360.0,16.0,78.0,799.0,0.7,0.0,1025.0,753.0,42.0,138.0,1.4,840.0,0.000
Amreli,Jafrabad,Hinderana(Charnara),8.28,4390.0,2941.0,180.0,24.0,29.0,937.0,11.7,0.0,854.0,937.0,10.0,160.0,1.52,700.0,0.060
