iter	Passed	Remaining
480	10047	8752
481	10067	8730
482	10085	8706
483	10103	8684
484	10122	8661
485	10139	8637
486	10159	8615
487	10179	8594
488	10198	8571
489	10219	8550
490	10242	8531
491	10262	8510
492	10280	8486
493	10298	8464
494	10316	8441
495	10331	8415
496	10347	8390
497	10364	8366
498	10380	8341
499	10398	8318
500	10417	8296
501	10437	8275
502	10458	8254
503	10480	8234
504	10497	8211
505	10521	8192
506	10540	8170
507	10563	8151
508	10581	8128
509	10600	8106
510	10619	8083
511	10642	8065
512	10661	8042
513	10680	8020
514	10702	8000
515	10721	7978
516	10740	7956
517	10760	7934
518	10778	7912
519	10794	7888
520	10814	7867
521	10834	7845
522	10851	7822
523	10874	7803
524	10893	7781
525	10913	7759
526	10930	7736
527	10947	7713
528	10977	7699
529	11002	7681
530	11021	7658
531	11040	7636
532	11061	7616
533	11087	7599
534	11106	7577
535	11127	7556
536	11145	7534
537	11164	7511
538	11184	7491
539	11205	7470
540	11229	7451
541	11249	7430
542	11274	7412
543	11294	7391
544	11312	7368
545	11329	7345
546	11354	7327
547	11374	7306
548	11395	7285
549	11421	7268
550	11444	7248
551	11470	7231
552	11490	7210
553	11516	7192
554	11535	7170
555	11555	7149
556	11573	7126
557	11592	7105
558	11619	7088
559	11644	7069
560	11663	7048
561	11683	7026
562	11709	7008
563	11730	6988
564	11752	6968
565	11776	6949
566	11793	6926
567	11812	6904
568	11833	6883
569	11854	6862
570	11877	6843
571	11910	6829
572	11936	6811
573	11957	6791
574	11981	6772
575	12007	6754
576	12032	6735
577	12056	6716
578	12077	6695
579	12099	6675
580	12115	6652
581	12139	6632
582	12168	6616
583	12188	6595
584	12216	6578
585	12244	6560
586	12265	6540
587	12284	6518
588	12302	6496
589	12327	6477
590	12350	6457
591	12369	6435
592	12388	6413
593	12410	6393
594	12426	6369
595	12444	6347
596	12447	6317
597	12467	6296
598	12486	6274
599	12503	6251
600	12521	6229
601	12543	6209
602	12571	6192
603	12591	6170
604	12608	6148
605	12629	6127
606	12651	6106
607	12675	6087
608	12696	6066
609	12713	6043
610	12731	6021
611	12750	6000
612	12790	5988
613	12851	5986
614	12878	5967
615	12900	5947
616	12921	5926
617	12951	5909
618	12974	5889
619	12994	5868
620	13016	5848
621	13037	5827
622	13066	5809
623	13089	5789
624	13126	5775
625	13150	5756
626	13187	5741
627	13218	5725
628	13247	5707
629	13271	5687
630	13290	5665
631	13310	5644
632	13333	5624
633	13350	5601
634	13372	5580
635	13392	5559
636	13412	5537
637	13433	5516
638	13454	5495
639	13489	5479
640	13507	5457
641	13529	5437
642	13547	5414
643	13568	5393
644	13586	5371
645	13608	5350
646	13627	5328
647	13645	5306
648	13666	5285
649	13688	5264
650	13704	5241
651	13714	5216
652	13734	5194
653	13752	5172
654	13771	5151
655	13795	5131
656	13813	5109
657	13829	5086
658	13849	5064
659	13869	5043
660	13890	5022
661	13913	5002
662	13934	4981
663	13952	4959
664	13968	4936
665	13987	4914
666	14005	4892
667	14022	4870
668	14043	4849
669	14063	4827
670	14082	4805
671	14100	4784
672	14119	4762
673	14136	4740
674	14158	4719
675	14181	4699
676	14192	4674
677	14211	4653
678	14229	4631
679	14248	4609
680	14268	4588
681	14287	4567
682	14306	4545
683	14330	4525
684	14351	4504
685	14368	4482
686	14388	4461
687	14408	4439
688	14428	4418
689	14450	4398
690	14474	4377
691	14494	4356
692	14523	4338
693	14551	4319
694	14578	4300
695	14600	4279
696	14623	4259
697	14641	4237
698	14663	4216
699	14684	4195
700	14707	4175
701	14726	4153
702	14746	4132
703	14767	4111
704	14784	4089
705	14801	4067
706	14819	4045
707	14840	4024
708	14863	4004
709	14884	3983
710	14906	3962
711	14923	3940
712	14941	3918
713	14960	3897
714	14979	3875
715	15000	3854
716	15020	3833
717	15038	3812
718	15058	3790
719	15075	3768
720	15093	3747
721	15113	3726
722	15132	3704
723	15148	3682
724	15165	3660
725	15181	3638
726	15199	3616
727	15216	3595
728	15236	3573
729	15258	3553
730	15282	3533
731	15302	3512
732	15325	3491
733	15344	3470
734	15358	3447
735	15376	3426
736	15392	3404
737	15413	3383
738	15431	3361
739	15449	3340
740	15467	3318
741	15483	3296
742	15505	3276
743	15523	3254
744	15544	3234
745	15559	3212
746	15576	3190
747	15593	3168
748	15613	3147
749	15631	3126
750	15649	3104
751	15668	3083
752	15688	3062
753	15705	3041
754	15723	3019
755	15740	2998
756	15757	2976
757	15779	2955
758	15797	2934
759	15820	2914
760	15839	2893
761	15858	2872
762	15880	2851
763	15901	2830
764	15921	2809
765	15940	2788
766	15960	2767
767	15977	2746
768	15997	2725
769	16016	2704
770	16038	2683
771	16060	2662
772	16079	2641
773	16101	2621
774	16120	2600
775	16139	2579
776	16158	2557
777	16181	2537
778	16202	2516
779	16222	2495
780	16244	2475
781	16267	2454
782	16285	2433
783	16307	2412
784	16327	2391
785	16347	2371
786	16365	2349
787	16384	2328
788	16405	2307
789	16424	2286
790	16444	2266
791	16464	2245
792	16481	2223
793	16501	2203
794	16525	2182
795	16544	2161
796	16564	2140
797	16587	2120
798	16608	2099
799	16628	2078
800	16649	2057
801	16670	2037
802	16691	2016
803	16714	1995
804	16733	1974
805	16758	1954
806	16779	1933
807	16798	1912
808	16822	1892
809	16842	1871
810	16867	1851
811	16886	1830
812	16908	1809
813	16930	1788
814	16954	1768
815	16977	1747
816	16999	1727
817	17016	1705
818	17035	1684
819	17056	1664
820	17075	1643
821	17093	1622
822	17112	1601
823	17129	1579
824	17146	1558
825	17162	1537
826	17181	1516
827	17202	1495
828	17223	1475
829	17249	1454
830	17265	1433
831	17281	1412
832	17304	1391
833	17322	1370
834	17340	1349
835	17360	1329
836	17379	1308
837	17395	1287
838	17412	1266
839	17431	1245
840	17446	1223
841	17462	1202
842	17478	1181
843	17495	1160
844	17512	1139
845	17529	1118
846	17547	1098
847	17565	1077
848	17585	1056
849	17604	1035
850	17625	1014
851	17642	993
852	17660	973
853	17676	952
854	17694	931
855	17713	910
856	17739	890
857	17760	869
858	17783	848
859	17801	827
860	17820	807
861	17838	786
862	17859	765
863	17878	744
864	17904	724
865	17924	703
866	17945	683
867	17970	662
868	17989	641
869	18007	620
870	18025	600
871	18042	579
872	18061	558
873	18080	537
874	18099	517
875	18117	496
876	18138	475
877	18159	455
878	18179	434
879	18200	413
880	18217	392
881	18234	372
882	18251	351
883	18271	330
884	18294	310
885	18313	289
886	18337	268
887	18356	248
888	18376	227
889	18395	206
890	18438	186
891	18457	165
892	18478	144
893	18499	124
894	18524	103
895	18545	82
896	18565	62
897	18594	41
898	18619	20
899	18637	0
