iter	MultiClass
179	0.1339490066
180	0.1331216127
181	0.1325248683
182	0.1315589898
183	0.1307064278
184	0.1298694374
185	0.1288934
186	0.1281286399
187	0.1272576206
188	0.1268643182
189	0.1259469036
190	0.1251630678
191	0.1244280204
192	0.1235711254
193	0.1229420973
194	0.122214567
195	0.1218240609
196	0.1212214662
197	0.1203151984
198	0.1196087717
199	0.1186163239
200	0.1181811584
201	0.1176957595
202	0.1170809416
203	0.1163122835
204	0.115704087
205	0.1150897653
206	0.1142889074
207	0.1136330816
208	0.1129946458
209	0.1120665557
210	0.1116559891
211	0.1112463988
212	0.1107074811
213	0.1099045481
214	0.10948916
215	0.1092950209
216	0.1086945027
217	0.1080289599
218	0.10752698
219	0.1070603571
220	0.1064651216
221	0.1059665747
222	0.105215434
223	0.1046299459
224	0.1041811502
225	0.1036295809
226	0.1030159803
227	0.1023578131
228	0.101810743
229	0.1012093981
230	0.1006389902
231	0.1001149856
232	0.09953383181
233	0.09921061361
234	0.098630201
235	0.09836109367
236	0.09773446085
237	0.09722791154
238	0.09684951785
239	0.09645884274
240	0.09567101989
241	0.09519752538
242	0.09461356015
243	0.09416035151
244	0.09378644344
245	0.09331083667
246	0.09291043862
247	0.09238688857
248	0.09191034996
249	0.0917920415
250	0.09131338531
251	0.0910372668
252	0.0904508026
253	0.089924378
254	0.08951105604
255	0.08919788112
256	0.08880015537
257	0.08857749418
258	0.0881685275
259	0.08761742351
260	0.08730483254
261	0.08713926006
262	0.08655415639
263	0.08613092115
264	0.08579639323
265	0.08556978628
266	0.08524864831
267	0.08511269135
268	0.08477359961
269	0.08422062596
270	0.08389290749
271	0.08325001491
272	0.08291243358
273	0.08245767255
274	0.08216272244
275	0.08167234314
276	0.08127245426
277	0.0810385802
278	0.0806288315
279	0.0803917805
280	0.08010284916
281	0.07975986494
282	0.07929815829
283	0.07878352298
284	0.07848558817
285	0.07818694642
286	0.07811631013
287	0.07792504383
288	0.07790887341
289	0.07753466914
290	0.07713116433
291	0.07672437798
292	0.07647401083
293	0.07613988778
294	0.07608523008
295	0.07597036211
296	0.07573552165
297	0.07540546389
298	0.07506334647
299	0.07475411326
300	0.07451731024
301	0.07418713906
302	0.07403123408
303	0.07371022914
304	0.07339392388
305	0.07331468727
306	0.07299695399
307	0.07260369359
308	0.07239810793
309	0.07204872328
310	0.07180177621
311	0.07159715694
312	0.07139683267
313	0.07109609941
314	0.07082304518
315	0.07059892512
316	0.07028243696
317	0.070077352
318	0.06977603366
319	0.06950660844
320	0.06930889717
321	0.0691066829
322	0.06881317899
323	0.0684871458
324	0.06815194639
325	0.06805233295
326	0.06792034741
327	0.06757700647
328	0.0673253335
329	0.06699727391
330	0.06671717865
331	0.06653094153
332	0.0663636491
333	0.06600789288
334	0.065773994
335	0.06542039015
336	0.06513454839
337	0.06492564183
338	0.0647169486
339	0.06461641329
340	0.0643391537
341	0.06410752792
342	0.06389110742
343	0.06362853683
344	0.06349867123
345	0.06335439686
346	0.06315283507
347	0.06301154556
348	0.0628644473
349	0.06273823407
350	0.06245063347
351	0.06230581886
352	0.06209201236
353	0.06199743301
354	0.06173816982
355	0.06147686752
356	0.06129290996
357	0.0609679153
358	0.06072580151
359	0.06053855906
360	0.06023420178
361	0.06013297793
362	0.0600242558
363	0.05984059844
364	0.05961108303
365	0.0593827679
366	0.05917341765
367	0.05902019847
368	0.05884770562
369	0.0586691635
370	0.05853945619
371	0.0583490226
372	0.05825616365
373	0.05793991638
374	0.05780609083
375	0.05758015677
376	0.05746983711
377	0.05731046267
378	0.05723539297
379	0.05710655119
380	0.05692289575
381	0.05670974412
382	0.05653076118
383	0.05641009709
384	0.05623487324
385	0.05611506016
386	0.05601512883
387	0.0558071054
388	0.05558745751
389	0.05538906365
390	0.05530137432
391	0.0552214957
392	0.05506146177
393	0.05486989309
394	0.0547611337
395	0.05457968347
396	0.05445318354
397	0.05424303076
398	0.05410629531
399	0.05389348757
400	0.05372866823
401	0.05352385013
402	0.05335302318
403	0.05315010435
404	0.05298284611
405	0.05277010578
406	0.0526382299
407	0.05241476221
408	0.05222752831
409	0.05207636687
410	0.05190317721
411	0.05166833458
412	0.05152665078
413	0.05145110596
414	0.05126456373
415	0.05117720487
416	0.05104790965
417	0.0508364268
418	0.0506367434
419	0.05053712438
420	0.05032218076
421	0.05015911415
422	0.05000512513
423	0.04990053074
424	0.0497010384
425	0.04954258939
426	0.04941016006
427	0.04935763579
428	0.0492139196
429	0.04911390498
430	0.04903573243
431	0.04893357201
432	0.04874186767
433	0.04860387999
434	0.04847618174
435	0.04833086531
436	0.0481782084
437	0.04802695134
438	0.04791349472
439	0.04776715022
440	0.04756586517
441	0.04740978214
442	0.04735666405
443	0.04722229322
444	0.04712401147
445	0.04705255169
446	0.04693591469
447	0.04681631838
448	0.04669672448
449	0.04657373245
450	0.04644184414
451	0.0462889678
452	0.04616572695
453	0.04606631648
454	0.04589255635
455	0.04577902085
456	0.04570447394
457	0.04553345314
458	0.04545011641
459	0.04528658907
460	0.0452002477
461	0.04511389486
462	0.04500911974
463	0.04488611191
464	0.04474550319
465	0.04460393626
466	0.04446639008
467	0.04432505955
468	0.04423902379
469	0.0440889004
470	0.04400440458
471	0.04387186193
472	0.04374533183
473	0.04363604625
474	0.0435129038
475	0.0433864083
476	0.04327438437
477	0.04318860107
478	0.04307404071
479	0.04291187624
480	0.04284355275
481	0.04274235583
482	0.04268254799
483	0.04259989513
484	0.04252755918
485	0.04250968138
486	0.04240577535
487	0.04229515694
488	0.04219604705
489	0.04206083
490	0.04194813194
491	0.04183914494
492	0.04173722297
493	0.04163594569
494	0.04154044546
495	0.04146735233
496	0.04135668576
497	0.04125488556
498	0.04113623561
499	0.04104321547
500	0.04094007767
501	0.04087131641
502	0.04080164297
503	0.04068957534
504	0.04062937017
505	0.04054674279
506	0.04046022357
507	0.04038110911
508	0.04031756419
509	0.04017835158
510	0.04005102723
511	0.03996959614
512	0.03989243535
513	0.03978199175
514	0.03969891522
515	0.03960340864
516	0.03955434427
517	0.03949650474
518	0.03943753518
519	0.0393612084
520	0.03928619119
521	0.03916124982
522	0.03908838024
523	0.0389931684
524	0.03892678454
525	0.03884892705
526	0.03879076739
527	0.03867964867
528	0.03859690794
529	0.03850987136
530	0.03841990492
531	0.03831172381
532	0.03826746779
533	0.03820234838
534	0.03810156545
535	0.03806185477
536	0.03799295675
537	0.03788741299
538	0.03780791606
539	0.03772332049
540	0.03766218209
541	0.03755883133
542	0.03745037106
543	0.03737387974
544	0.03730593604
545	0.03722749106
546	0.0371798923
547	0.03706598156
548	0.03700595928
549	0.03691849638
550	0.03684433786
551	0.03673960462
552	0.03664795438
553	0.03654219346
554	0.03648116642
555	0.03643189119
556	0.03631835402
557	0.0362618318
558	0.03617345668
559	0.03609577272
560	0.03601570917
561	0.03592271171
562	0.03579539143
563	0.03572452019
564	0.03563995862
565	0.03556333111
566	0.03546949701
567	0.03539008921
568	0.03534494696
569	0.03527499381
570	0.03518921006
571	0.0350789035
572	0.03502376545
573	0.03493663935
574	0.0348903282
575	0.03479543259
576	0.03469621542
577	0.03467129305
578	0.03461347524
579	0.03452009092
580	0.03443150338
581	0.03437321803
582	0.03427117149
583	0.03420195694
584	0.03410654731
585	0.03404155792
586	0.03398456133
587	0.03391828439
588	0.0338423852
589	0.03378347605
590	0.03372277445
591	0.03361072159
592	0.0335663076
593	0.03350466697
594	0.03343124924
595	0.03337483044
596	0.03333667984
597	0.03328367478
598	0.03323353804
599	0.03318538912
600	0.03309291086
601	0.03298143164
602	0.03289425836
603	0.03279503739
604	0.03269977065
605	0.03261874487
606	0.03258113131
607	0.03251822141
608	0.03246950652
609	0.03239415769
610	0.03232999604
611	0.03226677015
612	0.03215648414
613	0.03205309263
614	0.03197778368
615	0.0319225177
616	0.03187718338
617	0.03179416499
618	0.03172317436
619	0.03164320327
620	0.03157020735
621	0.03152830144
622	0.03142829945
623	0.03136093818
624	0.03127844697
625	0.03121256051
626	0.03116033975
627	0.03105833091
628	0.03098863074
629	0.03091304641
630	0.03085807674
631	0.03079262781
632	0.03072421545
633	0.03066544194
634	0.03061685055
635	0.0305711473
636	0.03052206246
637	0.03045387383
638	0.03037915676
639	0.03029165951
640	0.03021119567
641	0.03018647516
642	0.03008999462
643	0.0300036
644	0.02995011418
645	0.02990854698
646	0.02982214041
647	0.02975778858
648	0.02969993542
649	0.02965135953
650	0.02962839407
651	0.02959443398
652	0.02950424813
653	0.02943073114
654	0.02937123418
655	0.02933313927
656	0.02928320406
657	0.02918771671
658	0.0291082614
659	0.02902283642
660	0.02898236926
661	0.02889559008
662	0.02884492791
663	0.02878885691
664	0.02873356364
665	0.02866847535
666	0.02861973708
667	0.02858904723
668	0.0285392697
669	0.02846606073
670	0.02841257669
671	0.02837864175
672	0.02831918595
673	0.0282737526
674	0.02823031002
675	0.02817456478
676	0.02815932539
677	0.02812294492
678	0.02808944745
679	0.02806517298
680	0.0279948125
681	0.02791917241
682	0.02788181984
683	0.02784353978
684	0.02779040045
685	0.02773435356
686	0.02766869417
687	0.02760876608
688	0.02756049176
689	0.02747174248
690	0.02741710869
691	0.02737325868
692	0.02732766586
693	0.02727729949
694	0.02722815515
695	0.02716879894
696	0.02711071139
697	0.02705005215
698	0.02698516753
699	0.02692994437
700	0.02690574374
701	0.02683603515
702	0.02680194095
703	0.02675698465
704	0.02670492707
705	0.02665408828
706	0.02658980258
707	0.02652229491
708	0.02646988313
709	0.0264210042
710	0.02636960917
711	0.02632386681
712	0.02627425297
713	0.02622337146
714	0.02618928358
715	0.02613401553
716	0.02605527547
717	0.02601163067
718	0.0259602179
719	0.02591759622
720	0.02588965437
721	0.02585897405
722	0.02580081776
723	0.02576522322
724	0.0257148884
725	0.02567211397
726	0.02563821059
727	0.02560237761
728	0.02554048201
729	0.02547000205
730	0.02542175563
731	0.02538031857
732	0.0253384082
733	0.02527422817
734	0.02526169117
735	0.02521073638
736	0.02518291422
737	0.02512682085
738	0.02509041848
739	0.02505708571
740	0.02501707003
741	0.02498029831
742	0.02493666303
743	0.02488469778
744	0.0248356445
745	0.02480790549
746	0.02476311415
747	0.02471452946
748	0.02466669775
749	0.02466132165
750	0.02460862698
751	0.02455615805
752	0.02449048382
753	0.02445210722
754	0.02439914876
755	0.02435268758
756	0.02431428825
757	0.02428767294
758	0.0242248528
759	0.02419015868
760	0.02412862125
761	0.02406533042
762	0.02401690749
763	0.02395346199
764	0.02393098259
765	0.02390105227
766	0.02387996592
767	0.02385505247
768	0.02379733538
769	0.02374374335
770	0.02367753444
771	0.02362086402
772	0.02357032237
773	0.02354313469
774	0.02352151767
775	0.02349590875
776	0.02342662118
777	0.0233626645
778	0.02331505018
779	0.02330199192
780	0.02325022202
781	0.02322508026
782	0.02318100065
783	0.02314217506
784	0.02311203313
785	0.02307077161
786	0.02303557918
787	0.02299311989
788	0.02295371316
789	0.02292911017
790	0.02288616123
791	0.02284449684
792	0.02280221215
793	0.02278231907
794	0.02274534082
795	0.02271031992
796	0.02266633856
797	0.02265384631
798	0.02262172465
799	0.02258407353
800	0.02254445512
801	0.02251403531
802	0.02248424309
803	0.02245750874
804	0.02240368219
805	0.02237458365
806	0.0223554308
807	0.02231148752
808	0.02227935589
809	0.02223673919
810	0.02219346912
811	0.02217344904
812	0.02213722561
813	0.02208997336
814	0.02205079714
815	0.02202379901
816	0.02197811915
817	0.02196459222
818	0.02192284903
819	0.02189003086
820	0.02185682741
821	0.0218017249
822	0.02174616335
823	0.02170628528
824	0.02165723628
825	0.02162614344
826	0.02159144075
827	0.02154001106
828	0.02150882632
829	0.02148841812
830	0.02145276619
831	0.0214151854
832	0.02136947138
833	0.02132313215
834	0.02129834214
835	0.02125137233
836	0.02121512984
837	0.02118539797
838	0.02114696924
839	0.02110755483
840	0.02107683775
841	0.0210353555
842	0.02099412179
843	0.02097138523
844	0.02093537848
845	0.02091020304
846	0.02086793531
847	0.02085010644
848	0.02080011187
849	0.02075880642
850	0.02070172161
851	0.02067922025
852	0.02064792258
853	0.02061026945
854	0.02058533541
855	0.02056809179
856	0.02053896734
857	0.02051015544
858	0.02046455434
859	0.02043188791
860	0.02040139859
861	0.02037297256
862	0.0203547917
863	0.02031117322
864	0.02029944833
865	0.02027562523
866	0.0202544183
867	0.02022279845
868	0.02020367436
869	0.02015911658
870	0.02012777472
871	0.02010057824
872	0.02006458766
873	0.02001268278
874	0.01997493058
875	0.01993057194
876	0.01989798089
877	0.01987888973
878	0.01985821849
879	0.01984061627
880	0.01978704038
881	0.01976891855
882	0.01973880681
883	0.01971891411
884	0.01969027565
885	0.01965385449
886	0.0196201708
887	0.01959032089
888	0.01956860339
889	0.01955873482
890	0.01953278718
891	0.01950295464
892	0.01948709465
893	0.01945051001
894	0.01942876751
895	0.01941427045
896	0.01936922021
897	0.0193305679
898	0.01930591969
899	0.01926766427
