Well No.,District,Taluka,Location,Date,pH,EC,TDS,CO3,HCO3,Cl,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K,SAR
W214100069444503,Porbandar,RANAVAV,Ranavav2,May 2018,8.14,816,546.72,0,268,85,33,40,0.49,220,60,22.0,240,76,1.5,2.13
W214313069304301,Porbandar,PORBANDAR,Ratadi,May 2018,8.24,4463,2990.21,0,476,915,42,495,0.89,390,160,63.0,660,715,6.9,12.1
W212617069482201,Porbandar,PORBANDAR,Ratia,May 2018,7.9,3200,2144.0,0,268,787,20,238,0.22,220,200,133.0,1050,170,138.0,2.28
W214708069264701,Porbandar,PORBANDAR,Visavada,May 2018,8.07,2576,1725.92,0,250,996,16,5,0.97,205,120,136.0,860,301,93.0,4.46
W225600070483001,Rajkot,MORVI,Amar nagar,May 2018,7.76,8100,5427.0,0,439,2642,5,7,8.6,360,180,438.0,2250,820,2.3,7.52
W213945070203001,Rajkot,DHORAJI,Bhada jodiya,May 2018,8.03,1215,814.05,0,329,213,22,20,0.994,270,72,51.0,390,100,1.8,2.2
W222630071050001,Rajkot,WANKANER,Bhalgam,May 2018,7.56,1372,919.24,0,256,269,17,21,0.62,210,56,80.0,470,77,1.3,1.54
W223015070451501,Rajkot,TANKARA,Chhatar,May 2018,7.92,584,391.28,0,244,50,9,10,1.19,200,40,13.0,155,62,0.3,2.17
W215500070445501,Rajkot,GONDAL,Chordi,May 2018,7.6,970,649.9,0,207,177,60,9,0.39,170,88,34.0,360,53,0.3,1.21
W220530070440001,Rajkot,GONDAL,Dadia,May 2018,7.94,950,636.5,0,232,121,59,62,0.63,190,72,41.0,350,55,0.5,1.28
W214330070270001,Rajkot,DHORAJI,Dhoraji,May 2018,7.6,2000,1340.0,0,146,475,65,155,0.35,120,184,39.0,620,180,0.7,3.14
W214030070104501,Rajkot,UPLETA,Ganod,May 2018,7.69,6000,4020.0,0,317,1525,65,495,2.38,260,160,255.0,1450,700,0.5,7.99
