S.No,District,Taluka,Location,Date ofCollection,Cr,Fe,Mn,Zn,Cu
203,Kachchh,Mandvi,Bhambhdai,May-18,0.0287,0.1876,0.0281,0.0125,0.0048
204,Kachchh,Mundra,Bhadreshwar,May-18,0.0524,0.2379,0.334,0.0204,0.0026
205,Kachchh,Bhuj,Bhuj1,May-18,0.0444,0.2693,0.0737,0.0233,0.0
206,Kachchh,Rapar,Deshalpur Rapar,May-18,0.0448,0.3008,0.0393,0.0227,0.0041
207,Kachchh,Nakhatrana,Samkhiari,May-18,0.0524,0.3118,0.0403,0.0105,0.0
208,Kachchh,Mandvi,Sedat,May-18,0.0292,0.87,0.1419,0.0141,0.0
209,Kachchh,Gandhidham,Shinaya,May-18,0.0444,0.1608,0.5345,0.0161,0.0
210,Kachchh,Bhuj,Sukhpart,May-18,0.0365,0.1137,0.0181,0.0121,0.0
211,Kachchh,Abdasa,Kharai1,May-18,0.0365,0.3731,0.0467,0.0085,0.0
212,Kachchh,Bhachau,Kharoi,May-18,0.0444,0.2898,0.4467,0.0105,0.0
213,Kachchh,Bhuj,Khavada,May-18,0.0524,0.6546,0.0514,0.024,0.0048
214,Kachchh,Nakhtrana,Kotada,May-18,0.0524,0.3558,0.025,0.0125,0.0011
215,Kachchh,Mandvi,Kotadi,May-18,0.0444,0.2064,0.026,0.0095,0.0
216,Kachchh,Abdasa,Kotaya,May-18,0.0365,0.1986,0.0705,0.0085,0.0
217,Kachchh,Abdasa,Kothara,May-18,0.0524,0.1671,0.1641,0.0128,0.0
218,Kachchh,Rapar,Kuda,May-18,0.0365,0.1577,0.0202,0.0121,0.0
219,Kachchh,Lakhpat,Lakhpat1,May-18,0.0127,0.2395,0.0239,0.0121,0.0
220,Kachchh,Rapar,Lilpur,May-18,0.0348,0.2096,0.1451,0.0272,0.0079
221,Kachchh,Bhuj,Lodai,May-18,0.0524,0.219,0.1414,0.024,0.0063
222,Kachchh,Mundra,Luni,May-18,0.0524,0.2615,0.1774,0.0217,0.0011
223,Kachchh,Lakhpat,Mata no Madh,May-18,0.0444,0.5524,0.0308,0.0325,0.0
224,Kachchh,Mandvi,Mau Moti,May-18,0.0079,0.1325,0.017,0.0069,0.0
225,Kachchh,Lakhpat,Moticher,May-18,0.004,0.2222,0.0694,0.0098,0.0
226,Kachchh,Abdasa,Naliya1,May-18,0.0,0.1844,0.0181,0.0148,0.0
227,Kachchh,Rapar,Rapar 2,May-18,0.0365,0.7725,0.0461,0.0315,0.0033
228,Kachchh,Bhachau,Ratanpur Khadir,May-18,0.0078,0.1042,0.0467,0.0108,0.0
229,Kachchh,Bhachau,Samkhiari,May-18,0.0185,0.2756,0.0509,0.021,0.0011
230,Kachchh,Bhuj,Sedat,May-18,0.0,0.2363,0.0731,0.0266,0.0
231,Kachchh,Gandhidham,Shinaya,May-18,0.0308,0.1514,0.1578,0.0138,0.0033
232,Kachchh,Bhuj,Sukhpar,May-18,0.0473,0.2536,0.0319,0.0299,0.0124
233,Kachchh,Abdasa,Suthri,May-18,0.0021,0.4879,0.0223,0.0076,0.0
234,Kachchh,Abdasa,Tera,May-18,0.0103,0.1011,0.0165,0.0098,0.0003
235,Kachchh,Nakhatrana,Ugardi,May-18,0.0223,0.0744,0.016,0.0141,0.0
236,Kachchh,Abdasa,Vinjhan 1,May-18,0.0,0.12,0.0154,0.0144,0.0
237,Kheda,VIRPUR,Bar,May-18,0.011,0.0986,1.467,0.0039,0.0045
238,Kheda,KATHLAL,Ladvel,May-18,0.0455,0.1145,0.0211,0.0205,0.005
239,Kheda,BALASINOR,Balasinor1,May-18,0.0044,0.0517,0.0022,0.01,0.0047
240,Kheda,KAPADVANJ,Kapadvanj,May-18,0.0,0.0392,0.0007,0.0056,0.0034
241,Kheda,Tharsa,Muliyad,May-18,0.0819,0.1972,0.288,0.0082,0.0056
242,Kheda,MAHUDHA,Alina,May-18,0.0622,0.0939,0.3194,0.0413,0.0208
243,Kheda,NADIAD,Alira,May-18,0.008,0.0476,0.0039,0.0142,0.0067
244,Kheda,NADIAD,Nadiad2,May-18,0.0,0.0285,0.0,0.0006,0.0021
245,Kheda,MATAR,Shekhupura,May-18,0.0,0.0185,0.0235,0.0002,0.0029
246,Kheda,KHEDA,Kheda,May-18,0.0105,0.0372,0.0144,0.0176,0.0079
247,Mehsana,,Bhandupara,May-18,0.0014,0.0851,0.0199,0.0063,0.0
248,Mehsana,,Sihi,May-18,0.0,0.2636,0.0125,0.0089,0.0
249,Mehsana,Unjha,Unjha,May-18,0.0093,0.045,0.0193,0.0036,0.0
250,Mehsana,,Timba,May-18,0.0,0.0286,0.0,0.0013,0.0
251,Mehsana,Kheralu,Kheralu,May-18,0.0104,0.1925,0.1173,0.0089,0.0035
252,Mehsana,,Unad,May-18,0.0151,0.1251,0.3763,0.0159,0.0012
253,Mehsana,,Rampura,May-18,0.0041,0.1124,0.0114,0.0109,0.0
254,Mehsana,,Dosaj,May-18,0.0097,0.147,0.0573,0.0132,0.0
