Well No.,District,Taluka,Location,Date,pH,EC,TDS,CO3,HCO3,Cl,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K,SAR
W225620069045801,Kachchh,MANDVI,Bambhdai,May 2018,8.24,6916,4633.72,0,183,2130,2,280,1.1,150,500,36,1400,961,5.7,11.17
W225400069540001,Kachchh,MUNDRA,Bhadreshwar,May 2018,8.23,2625,1758.75,0,244,639,16,179,0.4,200,192,107,920,181,12.4,2.59
W231500069400002,Kachchh,BHUJ,Bhuj1,May 2018,8.28,811,543.37,0,171,121,14,91,0.7,140,100,10,290,60,11.5,1.53
W234450070404501,Kachchh,RAPAR,Deshalpur rapar,May 2018,8.01,5172,3465.24,0,146,1278,31,565,0.7,120,280,158,1350,557,35.7,6.59
W232410069194501,Kachchh,NAKHATRANA,Devisar,May 2018,8.17,3973,2661.91,0,232,994,4,332,1.15,190,104,122,760,553,13.0,8.72
W230300069300001,Kachchh,MANDVI,Dunai,May 2018,8.01,1144,766.48,0,281,156,7,115,1.15,230,60,51,360,102,2.6,2.34
W230500070083002,Kachchh,GANDHIDHAM,Gandhidham1,May 2018,8.44,2367,1585.89,54,329,497,60,65,1.2,360,136,58,580,280,30.6,5.05
W232130069520001,Kachchh,BHUJ,Haboi,May 2018,8.92,1201,804.67,30,122,199,8,153,1.53,150,56,39,300,140,9.9,3.51
W232747068410801,Kachchh,ABDASA,Kharai_1,May 2018,8.28,1084,726.28,0,122,170,12,160,0.45,100,60,34,290,106,19.5,2.71
W232715070210001,Kachchh,BHACHAU,Kharoi,May 2018,7.83,1290,864.3,0,183,256,1,141,0.28,150,72,68,460,94,5.4,1.91
W235020069435001,Kachchh,BHUJ,Khavada,May 2018,7.78,3810,2552.7,0,232,838,13,486,0.28,190,112,102,700,554,17.5,9.1
W232237069115701,Kachchh,NAKHATRANA,Kotada,May 2018,8.1,3256,2181.52,0,195,767,4,313,0.75,160,104,78,580,463,5.5,8.36
