Well No.,District,Taluka,Location,Date,pH,EC,TDS,CO3,HCO3,Cl,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K,SAR
W235105073181801,Sabarkantha,BHILODA,Takatuka_1,May 2018,7.55,2520,1688.4,0,281,603,96,75,1.2,230,160,96.0,800,207,1.2,3.18
W231813072575201,Sabarkantha,Talod,Umedpura,May 2018,7.81,1252,838.84,0,342,177,65,5,1.5,280,60,55.0,380,99,0.3,2.21
W240030073211501,Sabarkantha,VIJAYNAGAR,Vijaynagar1,May 2018,8.07,978,655.26,0,268,191,7,26,1.1,220,36,34.0,230,137,4.2,3.93
W233906072571401,Sabarkantha,HIMATNAGAR,Virpur_1(Himmat),May 2018,7.92,410,274.7,0,122,50,37,39,0.8,100,68,0.0,170,34,0.4,1.13
,Sabarkantha,Himmatnagar,Vaktapur,May 2018,7.68,3097,2074.99,0,207,851,115,72,1.15,170,180,156.0,1100,210,3.1,2.75
,Sabarkantha,Ider,Kesarpura(Ider),May 2018,7.41,1324,887.08,0,195,220,130,94,0.8,160,164,31.0,540,64,1.9,1.2
,Sabarkantha,Ider,Dhramali,May 2018,7.85,2004,1342.68,0,342,333,54,175,2.0,280,64,62.0,420,261,1.4,5.54
W235600073020001,Surat,VADALI,Wadali,May 2018,7.35,1462,979.54,0,220,276,180,15,1.47,180,80,41.0,370,170,3.5,3.84
W210345073113001,Surat,BARDOLI,Allu,May 2018,8.29,600,402.0,0,183,50,13,121,1.2,150,40,36.0,250,51,0.2,1.4
W205700073210501,Surat,VYARA,Bedchit,May 2018,7.64,1556,1042.52,0,317,277,27,89,0.98,260,84,97.0,610,75,0.2,1.32
W212249073001501,Surat,Mangrol,Bhatkol,May 2018,8.45,758,507.86,18,37,114,5,152,0.75,60,40,34.0,240,68,1.4,1.91
W211454073013201,Surat,Kemraj,Digas,May 2018,8.28,923,618.41,0,268,57,39,96,1.0,220,20,46.0,240,90,1.0,2.53
W212430073080002,Surat,MANGROL,Dungri,May 2018,8.29,1509,1011.03,0,403,199,33,96,1.15,330,68,61.0,420,149,7.2,3.16
W211015073331501,Surat,SONGADH,Jesingpura[sg],May 2018,7.87,573,383.91,0,293,36,3,42,0.23,240,44,36.0,260,36,1.0,0.97
W212730073293002,Surat,UMARPADA,Juna umarpada2,May 2018,8.08,389,260.63,0,134,36,4,62,0.27,110,40,45.0,160,32,0.9,1.1
W211317073130801,Surat,Bardoli,Kadod 1,May 2018,8.28,687,460.29,0,281,64,20,6,0.52,230,20,32.0,182,75,0.6,2.42
W210000073283001,Surat,VYARA,Karanjvel,May 2018,8.23,463,310.21,0,183,43,26,43,0.4,150,60,17.0,220,27,4.6,0.79
W211700073140001,Surat,MANDVI,Kasal,May 2018,8.01,716,479.72,0,159,107,26,51,0.22,130,48,39.0,280,36,1.0,0.94
W211730072554501,Surat,KAMREJ,Kathor,May 2018,8.19,1454,974.18,0,390,206,16,83,0.4,320,24,80.0,390,149,2.6,3.28
W210231073192401,Surat,Valod,Kelkui,May 2018,8.07,382,255.94,0,171,43,4,15,0.3,140,40,15.0,160,28,0.6,0.96
W211652073275501,Surat,Songarh,Kherwada,May 2018,7.81,532,356.44,0,210,57,17,22,0.45,172,52,22.0,220,33,0.1,0.97
W212200073210002,Surat,MANDVI,Malda,May 2018,8.45,1051,704.17,36,268,121,26,49,0.4,280,88,22.0,310,99,6.2,2.44
W211515073174501,Surat,MANDVI,Mandvi2,May 2018,8.2,839,562.13,0,159,107,85,56,0.47,130,36,44.0,270,65,0.4,1.72
W211013073040701,Surat,Bardoli,Mota,May 2018,8.29,2508,1680.36,0,439,497,16,139,0.1,360,72,117.0,660,261,1.9,4.42
W211245073214401,Surat,VYARA,Moti Chher,May 2018,8.13,600,402.0,0,134,57,53,61,0.3,110,84,2.0,220,36,0.5,1.06
W211645073205901,Surat,Mandavi,Moti Sarkui,May 2018,8.08,620,415.4,0,146,64,22,31,0.45,120,44,17.0,180,38,0.4,1.23
W211900073080001,Surat,MANDVI,Nogama,May 2018,8.1,551,369.17,0,171,64,39,21,0.45,140,40,22.0,190,44,0.1,1.39
W212030072453001,Surat,OLPAD,Olpad2,May 2018,8.71,1575,1055.25,24,342,192,25,62,1.38,320,24,22.0,150,238,62.7,8.45
W210440072593001,Surat,PALSANA,Palsana,May 2018,8.28,1022,684.74,0,354,92,15,40,0.3,290,32,17.0,150,150,18.0,5.32
W212715073115401,Surat,MANGROL,Paneshwar,May 2018,7.94,1442,966.14,0,110,334,6,140,0.8,90,104,22.0,350,170,2.3,3.95
W210530072523001,Surat,CHORASI,Sachin town,May 2018,7.81,3776,2529.92,0,232,1072,6,140,0.55,190,148,124.0,880,457,4.5,6.7
W210330073053001,Surat,BARDOLI,Sarbhon,May 2018,8.57,995,666.65,37,171,128,2,91,1.45,202,36,32.0,220,122,1.9,3.58
W210530072433001,Surat,CHORASI,Sultanabad,May 2018,8.57,840,562.8,24,110,114,24,86,0.3,130,32,39.0,240,75,24.0,2.1
W211820072543901,Surat,KAMREJ,Syan,May 2018,8.08,1735,1162.45,0,281,383,30,58,0.45,230,72,90.0,550,144,0.6,2.67
W211200072500005,Surat,UCHCHHAL,Uchchhal1,May 2018,8.0,784,525.28,0,244,99,55,5,0.4,200,48,41.0,290,47,0.4,1.2
W211850073093001,Surat,MANDVI,Ushker,May 2018,8.28,549,367.83,0,146,21,26,121,0.47,120,32,22.0,170,59,2.4,1.97
W205014073171601,Surat,Mahuva,Vaheval,May 2018,8.17,563,377.21,0,159,78,25,40,0.66,130,24,32.0,190,53,0.9,1.67
W210300073160001,Surat,VALOD,Valod,May 2018,8.2,440,294.8,0,146,43,19,44,0.24,120,32,19.0,160,38,0.3,1.31
W210630073234501,Surat,VYARA,Vyara1,May 2018,8.13,334,223.78,0,146,36,1,25,0.4,120,24,19.0,140,27,2.6,0.99
,Surat,Mandvi,Khata devi,May 2018,8.06,834,558.78,0,98,156,12,53,0.47,80,48,19.0,200,78,0.9,2.4
W224837071422101,Surendranagar,Wadhvan,Anindra,May 2018,7.81,700,469.0,0,171,64,7,111,1.27,140,80,17.0,270,35,5.4,0.93
W230700071470001,Surendranagar,DASADA,Bajana,May 2018,7.52,1083,725.61,0,220,170,8,105,0.62,180,78,40.0,360,80,5.7,1.83
W222500071023001,Surendranagar,CHOTILA,Bamanbor,May 2018,7.75,1362,912.54,0,354,184,115,38,0.63,290,152,41.0,550,59,2.2,1.09
W224630071440001,Surendranagar,WADHWAN,Dedadra,May 2018,8.0,1043,698.81,0,464,78,14,25,4.55,380,40,47.0,295,102,5.0,2.58
W232307071404601,Surendranagar,Dasada,Dhama,May 2018,7.65,2911,1950.37,0,329,489,180,335,1.16,270,60,229.0,1090,128,68.4,1.69
W230115071111501,Surendranagar,HALVAD,Halvad,May 2018,7.59,5109,3423.03,0,171,1312,130,440,2.32,140,320,122.0,1300,580,15.7,6.99
W232100071393001,Surendranagar,DASADA,Jhinjhuwada,May 2018,7.74,1313,879.71,0,342,184,35,85,1.019,280,80,64.0,465,81,14.1,1.63
W225846071003201,Surendranagar,Halvad,Juna Devliya 1,May 2018,8.06,1439,964.13,0,317,241,37,90,0.85,260,42,94.0,490,105,6.8,2.06
W230015071444501,Surendranagar,DASADA,Kherwa,May 2018,7.88,855,572.85,0,195,128,7,30,1.0,160,44,24.0,210,73,6.3,2.19
W230722071284701,Surendranagar,Dhangadhara,Kukavati,May 2018,7.51,2230,1494.1,0,244,532,120,65,1.09,200,60,168.0,840,129,2.8,1.94
W225130071470001,Surendranagar,LAKHTAR,Lakhtar,May 2018,7.61,910,609.7,0,256,121,8,65,1.96,210,42,44.0,285,73,9.6,1.88
W225253071440801,Surendranagar,Lakhtar,Modhvana,May 2018,7.62,753,504.51,0,183,92,78,16,0.92,150,6,51.0,225,65,8.7,1.88
W222515071063701,Surendranagar,Chotila,Moti Moladi,May 2018,7.47,5020,3363.4,0,220,1418,130,215,0.44,180,320,340.0,2200,150,0.9,1.39
W223900071280001,Surendranagar,MULI,Muli,May 2018,7.94,4010,2686.7,0,415,1028,70,151,4.4,340,240,24.0,700,600,0.9,9.86
W224431071154201,Surendranagar,Muli,Nava Raisangpur,May 2018,7.6,4320,2894.4,0,171,1170,135,260,0.42,140,288,117.0,1200,440,0.7,5.52
W225507071514801,Surendranagar,Lakhtar,Olak,May 2018,7.65,2348,1573.16,0,317,440,46,250,0.87,260,102,72.0,550,269,36.9,4.99
W230336071440301,Surendranagar,Dasada,Pipli,May 2018,7.84,1111,744.37,0,354,106,24,95,0.65,290,56,60.0,390,69,12.3,1.52
W225030071353001,Surendranagar,DHRANGADHRA,Rajsitapur,May 2018,8.01,965,646.55,0,342,106,23,35,1.12,280,34,47.42,280,91,4.2,2.36
W224000071494501,Surendranagar,LIMBDI,Shiyani,May 2018,7.66,4182,2801.94,0,134,887,16,655,1.19,110,180,97.28,850,550,10.6,8.2
W222715071290601,Surendranagar,Sayla,Sudamda,May 2018,7.35,4777,3200.59,0,183,1170,50,525,0.37,150,320,206.0,1650,341,2.0,3.65
W230030071170001,Surendranagar,HALVAD,Sukhpar,May 2018,7.84,6062,4061.54,0,403,1418,310,425,5.25,330,160,308.0,1670,621,1.1,6.61
W224300071363001,Surendranagar,WADHWAN,Surendranagar,May 2018,7.72,4131,2767.77,0,439,1064,90,135,1.21,360,120,121.0,800,588,2.2,9.04
W222600071551501,Surendranagar,CHUDA,Vanala,May 2018,7.77,457,306.19,0,183,43,11,10,0.55,150,24,19.0,140,38,4.0,1.4
W204130073370001,The dangs,The dangs,Aherdi,May 2018,8.21,352,235.84,0,134,43,10,63,0.23,110,44,22.0,200,21,0.4,0.65
W204839073301101,The dangs,The Dangs,Bori Goatha 1,May 2018,8.16,362,242.54,0,134,28,34,32,0.35,110,48,12.0,170,19,0.3,0.63
W203824073412901,The dangs,The Dang,Boripada,May 2018,8.02,301,201.67,0,146,21,4,65,0.4,120,48,12.0,170,24,0.4,0.8
