DISTRICT,LOCATION,PH,EC,TDS,TH,CA,MG,NA,K,CO3,HCO3,CL,NO3,SO4,F,ALK,YEAR,SAR,WQI,WQI_CLASSIF,EWQI,EWQI_CLASSIF,CCME-WQI,CCME-WQI_CLASSIF
Amreli,Kunkavav,7.8,2390.0,1601.0,720.0,124.0,100.0,250.0,1.5,0.0,85.0,680.0,190.0,65.0,0.4,70.0,2017,,59.32988000741778,Poor,232.45655659437332,Unsuitable,287.83852856275826,
Amreli,Lathi,7.9,1258.0,843.0,280.0,36.0,46.0,177.0,0.4,0.0,354.0,178.0,49.0,77.0,0.25,290.0,2017,,34.83331685856871,Good,104.04988201808098,Unsuitable,194.5653087099128,
Amreli,Lotpur,8.24,2368.0,1587.0,340.0,48.0,54.0,390.0,3.2,0.0,305.0,497.0,13.0,206.0,0.89,250.0,2017,,71.59674784834608,Poor,162.1758384524915,Unsuitable,82.64868276870524,Good
Amreli,Luvariya,8.28,1085.0,727.0,140.0,28.0,17.0,221.0,7.2,0.0,549.0,50.0,29.0,68.0,2.0,450.0,2017,,122.54236291174496,Unsuitable,88.4653819709347,Very Poor,251.43426423169342,
Amreli,Mandal,7.77,2854.0,1912.0,820.0,136.0,117.0,266.0,5.1,0.0,256.0,639.0,165.0,136.0,0.5,210.0,2017,,67.03026008603304,Poor,252.4436435663221,Unsuitable,316.728234282735,
Amreli,Morjhar,8.0,734.0,492.0,230.0,28.0,39.0,66.0,0.8,0.0,244.0,107.0,18.0,5.0,0.31,200.0,2017,,34.23304324501536,Good,67.70833270254172,Poor,188.93202568741924,
Amreli,Nageshri,7.55,3189.0,2137.0,1100.0,184.0,157.0,215.0,9.9,0.0,232.0,639.0,320.0,198.0,0.15,190.0,2017,,62.85471103759559,Poor,324.82113717179936,Unsuitable,445.352687162577,
Amreli,Piyava,8.28,1484.0,994.0,180.0,12.0,36.0,280.0,0.3,0.0,549.0,78.0,41.0,185.0,0.65,450.0,2017,,57.75201455740007,Poor,109.56388444974505,Unsuitable,188.82639413495497,
Amreli,Punjapadar,8.42,993.0,665.0,70.0,24.0,2.0,189.0,4.7,96.0,256.0,43.0,8.0,38.0,1.25,370.0,2017,,81.718197660749,Very Poor,68.16177793669347,Poor,189.079088292169,
Amreli,Tajpur,8.07,332.0,222.0,130.0,32.0,12.0,24.0,2.2,0.0,146.0,28.0,10.0,13.0,0.2,120.0,2017,,24.06691618898128,Excellent,37.91839271878323,Good,362.25594231575434,
Amreli,Timbi2,7.72,2623.0,1757.0,420.0,32.0,83.0,404.0,18.4,0.0,378.0,582.0,30.0,126.0,0.7,310.0,2017,,62.5547057391788,Poor,179.9822778246698,Unsuitable,138.21913836135914,
Amreli,Trakuda,7.99,940.0,630.0,210.0,72.0,7.0,125.0,9.8,0.0,207.0,156.0,32.0,60.0,0.42,170.0,2017,,37.54700457319598,Good,77.34488707813308,Very Poor,246.59751422002137,
Amreli,Untvad,7.85,982.0,658.0,340.0,76.0,36.0,72.0,0.5,0.0,183.0,99.0,225.0,22.0,0.34,150.0,2017,,46.75083599082049,Good,134.22451588419852,Unsuitable,195.1662184244363,
