YEAR,WELL NO.,LOCATION,DISTRICT,TALUKA,SITE,HCO3,DATE,ALK,TDS,SO4,SAR,NO3,CO3,EC,ID,NA,TH,FE,CA,MG,CL,PH,K,F
2017,,Morjhar,Amreli,DHARI,,244.0,,200.0,492.0,5.0,,18.0,0.0,734.0,33.0,66.0,230.0,0,28.0,39.0,107.0,8,0.8,0.31
2017,,Nageshri,Amreli,JAFRABAD,,232.0,,190.0,2137.0,198.0,,320.0,0.0,3189.0,34.0,215.0,1100.0,0.042,184.0,157.0,639.0,7.55,9.9,0.15
2017,,Piyava,Amreli,KUNDLA-SAVAR,,549.0,,450.0,994.0,185.0,,41.0,0.0,1484.0,35.0,280.0,180.0,0.23,12.0,36.0,78.0,8.28,0.3,0.65
2017,,Punjapadar,Amreli,LILIA,,256.0,,370.0,665.0,38.0,,8.0,96.0,993.0,36.0,189.0,70.0,0.382,24.0,2.0,43.0,8.42,4.7,1.25
2017,,Tajpur,Amreli,LATHI,,146.0,,120.0,222.0,13.0,,10.0,0.0,332.0,37.0,24.0,130.0,1.618,32.0,12.0,28.0,8.07,2.2,0.2
2017,,Timbi2,Amreli,JAFRABAD,,378.0,,310.0,1757.0,126.0,,30.0,0.0,2623.0,38.0,404.0,420.0,Leaked,32.0,83.0,582.0,7.72,18.4,0.7
2017,,Trakuda,Amreli,KHAMBHA,,207.0,,170.0,630.0,60.0,,32.0,0.0,940.0,39.0,125.0,210.0,0,72.0,7.0,156.0,7.99,9.8,0.42
2017,,Untvad,Amreli,BABRA,,183.0,,150.0,658.0,22.0,,225.0,0.0,982.0,40.0,72.0,340.0,0.07,76.0,36.0,99.0,7.85,0.5,0.34
2017,,Vaghania juna,Amreli,BAGASARA,,500.0,,410.0,1196.0,88.0,,115.0,0.0,1785.0,41.0,276.0,280.0,0.097,40.0,44.0,199.0,7.9,8.4,0.64
2017,,Vankiya,Amreli,AMRELI,,378.0,,310.0,627.0,24.0,,31.0,0.0,936.0,42.0,181.0,110.0,0.234,24.0,12.0,99.0,8.21,1.2,0.87
2017,,Victor,Amreli,RAJULA,,403.0,,410.0,886.0,27.0,,4.0,48.0,1322.0,43.0,248.0,90.0,0,10.0,12.0,128.0,8.92,11.2,1.66
2017,,Virpur,Amreli,DHARI,,488.0,,400.0,686.0,48.0,,25.0,0.0,1024.0,44.0,61.0,450.0,0.329,104.0,46.0,78.0,8.07,14,0.5
2017,,Bhilidi,Amreli,Amreli,,207.0,,170.0,1251.0,121.0,,190.0,0.0,1867.0,45.0,169.0,610.0,0.234,96.0,90.0,369.0,7.7,0.4,0.34
2017,,Fifad,Amreli,Savar Kundla,,1025.0,,840.0,2840.0,138.0,,42.0,0.0,4239.0,46.0,799.0,360.0,0,16.0,78.0,753.0,8.28,0.7,1.4
2017,,Hinderana(Charnara),Amreli,Jafrabad,,854.0,,700.0,2941.0,160.0,,10.0,0.0,4390.0,47.0,937.0,180.0,0.06,24.0,29.0,937.0,8.28,11.7,1.52
2017,,Hipavadli,Amreli,Savar Kundla,,854.0,,1020.0,1619.0,10.0,,70.0,192.0,2417.0,48.0,429.0,280.0,0.098,24.0,54.0,85.0,9.24,0.5,1.45
2017,,Kadiyali,Amreli,Jafrabad,,232.0,,190.0,466.0,22.0,,6.0,0.0,695.0,49.0,79.0,200.0,0.103,60.0,12.0,107.0,8.05,5,0.5
2017,,Sanaria,Amreli,Lalia,,378.0,,310.0,4759.0,1863.0,,16.0,0.0,7103.0,50.0,1262.0,1300.0,0.194,160.0,219.0,1243.0,7.88,0.8,1.74
2017,,Adas_DW,Anand,ANAND,,539.0,,442.0,931.0,108.0,,88.0,0.0,1389.0,51.0,68.0,620.0,0,68.0,108.0,99.0,7.93,1.3,0.43
2017,,Anklav2,Anand,ANKLAV,,744.0,,610.0,1122.0,96.0,,50.0,0.0,1675.0,52.0,112.0,660.0,0,64.0,120.0,106.0,8.15,1.5,0.8
2017,,Bandhani,Anand,PETLAD,,512.0,,420.0,969.0,4.0,,42.0,0.0,1447.0,53.0,153.0,380.0,0.089,112.0,24.0,177.0,8.19,29,0.9
2017,,Bhadran (Utiyapara),Anand,BORSAD,,281.0,,230.0,401.0,86.0,,5.0,0.0,598.0,54.0,21.0,340.0,0.208,76.0,36.0,43.0,7.88,1.5,0.2
2017,,Boriyavi,Anand,Anand,,647.0,,530.0,966.0,25.0,,18.0,0.0,1442.0,55.0,172.0,390.0,0,72.0,50.0,135.0,8.09,25,0.1
2017,,Dali,Anand,CAMBAY,,1220.0,,1000.0,2722.0,42.0,,36.0,0.0,4063.0,56.0,501.0,950.0,0.013,200.0,108.0,674.0,8.2,19,1.38
2017,,Dharmaj,Anand,PETLAD,,1135.0,,930.0,1745.0,49.0,,100.0,0.0,2604.0,57.0,400.0,550.0,0,120.0,60.0,248.0,8.28,0.7,1.3
2017,,Ghora,Anand,UMRETH,,525.0,,430.0,1145.0,107.0,,36.0,0.0,1709.0,58.0,150.0,560.0,0.029,188.0,22.0,220.0,7.83,15,0.44
2017,,Kansari1,Anand,CAMBAY,,622.0,,510.0,2589.0,392.0,,32.0,0.0,3864.0,59.0,580.0,850.0,0.029,140.0,120.0,815.0,8.18,1.2,0.83
2017,,Laxmipura,Anand,CAMBAY,,598.0,,750.0,3069.0,449.0,,10.0,156.0,4580.0,60.0,780.0,650.0,0,100.0,96.0,780.0,8.4,3.4,2.2
2017,,Parvata,Anand,UMRETH,,573.0,,470.0,781.0,52.0,,30.0,0.0,1165.0,61.0,153.0,330.0,0,56.0,46.0,78.0,8.05,0.8,1.09
2017,,Ras,Anand,BORSAD,,220.0,,570.0,996.0,5.0,,22.0,234.0,1487.0,62.0,296.0,150.0,0,32.0,12.0,135.0,8.47,4.9,2.74
2017,,Tol,Anand,Tarapur,,354.0,,290.0,447.0,8.0,,7.0,0.0,667.0,63.0,58.0,240.0,0,56.0,24.0,42.0,8.12,5.5,0.68
2017,,Amirgadh,Banaskantha,AMIRGADH,,549.0,,450.0,2157.0,215.0,,84.0,0.0,3220.0,64.0,370.0,700.0,0.144,120.0,26.0,533.0,8.12,2.7,0.65
2017,,Bharol1,Banaskantha,THARAD,,329.0,,270.0,504.0,31.0,,4.0,0.0,752.0,65.0,68.0,220.0,0.061,68.0,12.0,43.0,8.15,9.9,0.3
2017,,Dantiwada1,Banaskantha,DANTIWADA,,183.0,,150.0,353.0,28.0,,22.0,0.0,527.0,66.0,37.0,180.0,0.143,44.0,17.0,43.0,7.88,0.7,0.65
